編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLLJOHLGFFP66CB,許厝寮段許厝寮小段,208.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02520010
RPPNMLSKNHLGFAP76CB,九老爺段,100.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,237600,10044,持分移轉,01080000
RPQNMLLLNHLGFAP88CB,海豐崙段朱丹灣小段,4.59,都市：住,10000,144,持分移轉,00160001
RPQNMLLLNHLGFAP88CB,海豐崙段朱丹灣小段,1.21,都市：住,10000,144,持分移轉,00160005
RPQNMLLLNHLGFAP88CB,海豐崙段朱丹灣小段,1.20,都市：住,10000,144,持分移轉,00160006
RPQNMLLLNHLGFAP88CB,海豐崙段朱丹灣小段,1.97,都市：住,10000,144,持分移轉,00160007
RPQNMLLLNHLGFAP88CB,海豐崙段朱丹灣小段,1.99,都市：住,10000,144,持分移轉,00160008
RPQNMLLLNHLGFAP88CB,海豐崙段朱丹灣小段,2.00,都市：住,10000,144,持分移轉,00160009
RPQNMLLLNHLGFAP88CB,海豐崙段朱丹灣小段,6.26,都市：住,10000,144,持分移轉,00160010
RPPNMLQLNHLGFAP66CB,雲林溪段,33.83,都市：住,1000000,19555,持分移轉,01280000
RPPNMLPLNHLGFAP56CB,水碓新段,97.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00250014
RPQNMLQLNHLGFAP76CB,雲林溪段,28.27,都市：住,1000000,16341,持分移轉,01280000
RPPNMLOKNHLGFAP98CB,海豐崙段朱丹灣小段,3.22,都市：住,10000,101,持分移轉,00160001
RPPNMLTLNHLGFAP96CB,海豐崙段海豐崙小段,27.54,都市：住,1000000,5046,持分移轉,04110009
RPPNMLOKNHLGFAP98CB,海豐崙段朱丹灣小段,.85,都市：住,10000,101,持分移轉,00160005
RPPNMLOKNHLGFAP98CB,海豐崙段朱丹灣小段,.84,都市：住,10000,101,持分移轉,00160006
RPPNMLOKNHLGFAP98CB,海豐崙段朱丹灣小段,1.38,都市：住,10000,101,持分移轉,00160007
RPPNMLOKNHLGFAP98CB,海豐崙段朱丹灣小段,1.39,都市：住,10000,101,持分移轉,00160008
RPPNMLOKNHLGFAP98CB,海豐崙段朱丹灣小段,1.40,都市：住,10000,101,持分移轉,00160009
RPPNMLOKNHLGFAP98CB,海豐崙段朱丹灣小段,4.39,都市：住,10000,101,持分移轉,00160010
RPPNMLMKNHLGFAP78CB,九老爺段,97.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,237600,9785,持分移轉,01080000
RPPNMLLLNHLGFAP78CB,海豐崙段朱丹灣小段,2.84,都市：住,10000,89,持分移轉,00160001
RPPNMLLLNHLGFAP78CB,海豐崙段朱丹灣小段,.75,都市：住,10000,89,持分移轉,00160005
RPPNMLLLNHLGFAP78CB,海豐崙段朱丹灣小段,.74,都市：住,10000,89,持分移轉,00160006
RPPNMLLLNHLGFAP78CB,海豐崙段朱丹灣小段,1.22,都市：住,10000,89,持分移轉,00160007
RPPNMLLLNHLGFAP78CB,海豐崙段朱丹灣小段,1.23,都市：住,10000,89,持分移轉,00160008
RPPNMLLLNHLGFAP78CB,海豐崙段朱丹灣小段,1.24,都市：住,10000,89,持分移轉,00160009
RPPNMLLLNHLGFAP78CB,海豐崙段朱丹灣小段,3.87,都市：住,10000,89,持分移轉,00160010
RPPNMLOJOHLGFCP56CB,大同段,100.61,都市：住,1,1,全筆移轉,01920006
RPPNMLMKNHLGFDP09CB,大學段,146.83,都市：住,1,1,全筆移轉,03320070
RPPNMLMKNHLGFDP09CB,大學段,16.05,都市：住,25,1,持分移轉,03320060
RPPNMLMKNHLGFDP09CB,大學段,1.46,都市：住,25,1,持分移轉,03320071
RPPNMLMKNHLGFDP09CB,大學段,.41,都市：住,25,1,持分移轉,03320061
RPPNMLMKOHLGFDP56CB,大屯段,83.93,非都市：鄉村區 ; 非都市編定：乙種建築用地,285705,8393,持分移轉,04050000
RPPNMLMKOHLGFDP56CB,大屯段,24.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,285705,2450,持分移轉,04050000
RPPNMLLJOHLGFDP98CB,廉使北段,33.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,213303,3330,持分移轉,03550024
RPPNMLLJOHLGFDP98CB,廉使北段,2.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,62205,271,持分移轉,03550025
RPPNMLQLNHLGFDP96CB,大學段,91.45,都市：住,1,1,全筆移轉,03320025
RPPNMLQLNHLGFDP96CB,大學段,16.01,都市：住,25,1,持分移轉,03320052
RPPNMLQLNHLGFDP96CB,大學段,1.45,都市：住,25,1,持分移轉,03320000
RPRNMLMKOHLGFDP76CB,大屯段,85.25,非都市：鄉村區 ; 非都市編定：乙種建築用地,285705,8525,持分移轉,04050000
RPPNMLQLNHLGFDP96CB,大學段,.41,都市：住,25,1,持分移轉,03320053
RPRNMLMKOHLGFDP76CB,大屯段,24.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,285705,2450,持分移轉,04050000
RPQNMLLKOHLGFDP56CB,廉使南段,28.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000000,13946,持分移轉,04420001
