鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
虎尾鎮,土地,北平段239地號,7373.84,其他,,,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,100000,14,,0.0,0,115/06/01-115/09/30：免租期115/10/01-120/09/30：每月租金100000元120/10/01-125/09/30：每月租金120000元125/10/01-130/09/30：每月租金150000元,RPQNMLLKNHLGFDP56CC,,,1150601~1300530,,,
虎尾鎮,租賃房屋,雲林縣虎尾鎮中正路２１１號,17.47,其他,,,1150512,土地1建物1車位0,一層,1,店面(店鋪),住宅、店舖,加強磚造、木石磚造,0570115,12.79,2,1,1,有,無,無,15000,1173,,0.0,0,,RPPNMLOKNHLGFDP76CC,,無,1150513~1160512,無,,
虎尾鎮,租賃房屋,雲林縣虎尾鎮興中里１５鄰清雲六街１０９之６號,0.0,,,,1150513,土地0建物1車位0,全,3,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1140115,199.39,4,2,5,有,有,無,36410,183,,0.0,0,租金總額含管理費；,RPSNMLOKNHLGFDP07CC,整棟(戶)出租,無,1150516~1180515,無,冷氣、熱水器,一般包租
斗六市,租賃房屋,雲林縣斗六市和平路３７號,0.0,,,,1150512,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0920308,15.0,20,1,21,有,無,有,5000,333,,0.0,0,含增建或未登記建物；,RPRNMLPKNHLGFAP76CC,分租套房,無,1150801~1160630,無,冷氣、冰箱,一般轉租
北港鎮,租賃房屋,雲林縣北港鎮文仁路１１８之４號５樓,0.0,,,,1150514,土地0建物1車位0,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860103,128.48,3,1,2,有,有,有,13360,104,,0.0,0,管理費1640元由出租人負擔。續租案件；,RPPNMLPKNHLGFEP96CC,整棟(戶)出租,有,1150601~1160531,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮八德街１０３號１２樓之１６,0.0,,,,1150515,土地0建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0960205,29.38,1,0,1,有,有,有,5500,187,,0.0,0,多人共同承租2；租金總額含管理費；網路費；續租案件；,RPPNMLQKNHLGFDP96CC,獨立套房,有,1150623~1170622,有,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般轉租
斗六市,租賃房屋,雲林縣斗六市長春路３９號８樓之１,0.0,,,,1150517,土地0建物1車位0,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831006,30.479999999999997,1,1,1,有,有,有,5000,164,,0.0,0,續租案件；,RPPNMLSKNHLGFAP86CC,獨立套房,無,1150501~1160430,有,冷氣、熱水器、洗衣機,
古坑鄉,租賃房屋,雲林縣古坑鄉文昌路１２８-７號,0.0,,,,1150515,土地0建物1車位0,全,1,透天厝,住家用,加強磚造,0781222,140.39,3,2,3,有,無,無,15000,107,,0.0,0,,RPQNMLSKNHLGFAP96CC,整棟(戶)出租,無,1150620~1160619,無,冷氣、熱水器,
斗六市,租賃房屋,雲林縣斗六市西平路２０９號６樓之１２,0.0,,,,1150515,土地0建物1車位0,六層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860515,114.80000000000001,3,2,2,有,有,有,12000,105,,0.0,0,,RPRNMLSKNHLGFAP07CC,整棟(戶)出租,有,1150515~1160514,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
斗六市,租賃房屋,雲林縣斗六市中山路１７８號,0.0,,,,1150518,土地0建物0車位0,四層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0831216,16.0,6,0,6,有,無,有,5000,313,,0.0,0,,RPSNMLSKNHLGFAP17CC,分租套房,無,1150701~1160630,有,冷氣、洗衣機、電視機、冰箱、瓦斯或天然氣,一般代管
虎尾鎮,租賃房屋,雲林縣虎尾鎮文化路１１１巷９號,0.0,,,,1150512,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0700401,106.39,3,2,3,有,無,有,18000,169,,0.0,0,多人共同承租2；續租案件；,RPPNMLSKNHLGFDP17CC,整棟(戶)出租,無,1150512~1160511,無,冷氣、熱水器,社會住宅代管
