編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLLKOHLGFDQ76DA,過溝段過溝小段,2260.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,16570003
RPTNMLNJOHLGFCQ96DA,秀林段,27.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,42120,1175,持分移轉,14430000
RPPNMLSJOHLGFCQ07DA,中林新段,117.44,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10330000
RPWNMLSJOHLGFCQ77DA,福南段,51.54,都市：其他:住宅區,10000,490,持分移轉,02020000
RPQNMLRJOHLGFCQ07DA,中工段,23.10,非都市：工業區 ; 非都市編定：丁種建築用地,1000,100,持分移轉,00500012
RPXNMLSJOHLGFCQ87DA,疊溪段,196.02,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,1792,持分移轉,10590000
RPSNMLSJOHLGFBQ27DA,和順南段,265.10,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00710000
RPSNMLSJOHLGFBQ27DA,和順段,153.65,非都市：鄉村區 ; 非都市編定：乙種建築用地,11408,817,持分移轉,03860000
RPSNMLSJOHLGFBQ27DA,和順段,5.05,非都市：一般農業區 ; 非都市編定：交通用地,4,1,持分移轉,04840000
RPSNMLSJOHLGFBQ27DA,和順段,.13,非都市：一般農業區 ; 非都市編定：農牧用地,20345824,190944,持分移轉,18900000
RPSNMLSJOHLGFBQ27DA,和順段,.39,非都市：一般農業區 ; 非都市編定：養殖用地,2752478,23868,持分移轉,20450000
RPSNMLSJOHLGFBQ27DA,和順段,4.66,非都市：一般農業區 ; 非都市編定：養殖用地,2752478,23868,持分移轉,20460000
RPSNMLSJOHLGFBQ27DA,和順段,676.40,非都市：一般農業區 ; 非都市編定：農牧用地,20345824,190944,持分移轉,21060000
RPSNMLSJOHLGFBQ27DA,和順段,244.83,非都市：一般農業區 ; 非都市編定：農牧用地,20345824,190944,持分移轉,21340000
RPSNMLPKOHLGFBQ07DA,過溝新段,632.17,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,05840000
RPSNMLPKOHLGFBQ07DA,過溝新段,563.09,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,05860000
RPSNMLPKOHLGFBQ07DA,過溝新段,31.70,非都市：一般農業區 ; 非都市編定：水利用地,3,1,持分移轉,05880000
RPSNMLPKOHLGFBQ07DA,過溝新段,22.49,非都市：一般農業區 ; 非都市編定：水利用地,3,1,持分移轉,05890000
RPRNMLPJOHLGFCQ96DA,民興段,132.62,都市：其他:住宅區,1,1,全筆移轉,00890000
RPRNMLTJOHLGFBQ27DA,五間厝段五厝小段,1098.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05200000
RPSNMLRJOHLGFCQ27DA,中工段,23.10,非都市：工業區 ; 非都市編定：丁種建築用地,1000,100,持分移轉,00500012
RPPNMLPKOHLGFDQ07EA,下寮新段,175.95,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07070003
RPPNMLPKOHLGFDQ07EA,下寮新段,14.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,07070006
SPPNMLPKOHLGFDQ17EA,下寮新段,78.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,2,持分移轉,07070000
SPPNMLPKOHLGFDQ17EA,下寮新段,11.78,非都市：鄉村區 ; 非都市編定：交通用地,12,2,持分移轉,07140000
RPPNMLQLNHLGFBQ86DA,嘉朴段,5.36,都市：其他:商業區,100000,329,持分移轉,01850020
RPVNMLSJOHLGFCQ67DA,坪頂段,393.29,都市：其他:農業區,1,1,全筆移轉,11580001
RPPNMLLKOHLGFBQ09EA,下揖子寮新段,59.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,20,1,持分移轉,08280000
RPPNMLPKOHLGFBQ86EA,海埔段海埔小段,1316.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02130000
RPQNMLSJOHLGFCQ27EA,好收段好收小段,1186.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,05910000
RPQNMLPJOHLGFBQ76DA,新生段,99.45,都市：其他:住宅區,1,1,全筆移轉,00380054
RPRNMLMKOHLGFCQ86EA,平林段,22.62,都市：其他:住宅區,1,1,全筆移轉,01590001
RPRNMLPKOHLGFBQ96DA,過溝新段,632.17,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,05840000
RPQNMLTJOHLGFDQ47EA,檨仔林段,1326.62,非都市：山坡地保育區 ; 非都市編定：農牧用地,2,1,持分移轉,06440000
RPTNMLTJOHLGFBQ47DA,大德興段,21.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,14,1,持分移轉,10450013
RPTNMLRJNHLGFBQ17DA,港尾寮段豐美小段,1831.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00670000
RPTNMLTJOHLGFBQ47DA,大德興段,9.68,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10450032
RPTNMLTJOHLGFBQ47DA,大德興段,131.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,10450033
RPPNMLKKOHLGFBQ98EA,湖底段湖底小段,25.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04880001
RPPNMLNLNHLGFBQ56DA,岸腳段,340.00,都市：其他:住宅區,1,1,全筆移轉,03740000
RPUNMLOKNHLGFDQ27DA,牛稠埔段,5145.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01050000
RPWNMLLJOHLGFBQ96DA,港尾寮段,1.08,非都市：特定農業區 ; 非都市編定：水利用地,12,1,持分移轉,05550001
RPPOMLLJOHLGFBQ98DA,港尾寮段,3.62,非都市：特定農業區 ; 非都市編定：水利用地,16,1,持分移轉,05450004
RPROMLLJOHLGFBQ56DA,港尾寮段豐美小段,66.00,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,04740001
RPXNMLLJOHLGFBQ07DA,港尾寮段,1.08,非都市：特定農業區 ; 非都市編定：水利用地,12,1,持分移轉,05550001
RPOOMLLJOHLGFBQ88DA,港尾寮段,2.50,非都市：特定農業區 ; 非都市編定：水利用地,18,1,持分移轉,05460003
RPQOMLLJOHLGFBQ09DA,港尾寮段,3.62,非都市：特定農業區 ; 非都市編定：水利用地,16,1,持分移轉,05450004
RPUOMLLJOHLGFBQ86DA,港尾寮段豐美小段,42.50,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,04110001
RPSOMLLJOHLGFBQ66DA,港尾寮段豐美小段,216.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04640002
RPTOMLLJOHLGFBQ76DA,港尾寮段豐美小段,42.50,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,04110001
RPOPMLLJOHLGFBQ98DA,港尾寮段豐美小段,7.00,非都市：特定農業區 ; 非都市編定：農牧用地,9,1,持分移轉,04070001
RPVOMLLJOHLGFBQ96DA,港尾寮段豐美小段,99.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04060001
RPPPMLLJOHLGFBQ09DA,港尾寮段豐美小段,7.00,非都市：特定農業區 ; 非都市編定：農牧用地,9,1,持分移轉,04070001
RPWOMLLJOHLGFBQ07DA,港尾寮段豐美小段,21.00,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,04070001
RPXOMLLJOHLGFBQ17DA,港尾寮段豐美小段,21.00,非都市：特定農業區 ; 非都市編定：農牧用地,3,1,持分移轉,04070001
RPPNMLTJOHLGFCQ17DA,崙子段崙子小段,898.50,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03030000
RPPNMLPJOHLGFEQ96DA,新內甕段,699.82,都市：其他:河川區,1,1,全筆移轉,09080001
RPQPMLLJOHLGFBQ56DA,港尾寮段豐美小段,7.00,非都市：特定農業區 ; 非都市編定：農牧用地,9,1,持分移轉,04070001
SPPNMLPJOHLGFEQ07DA,新內甕段,116.01,都市：其他:河川區,1,1,全筆移轉,09000000
RPRPMLLJOHLGFBQ66DA,港尾寮段豐美小段,112.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03340001
RPSPMLLJOHLGFBQ76DA,三姓寮段,22.00,非都市：特定農業區 ; 非都市編定：水利用地,2,1,持分移轉,01070004
RPTPMLLJOHLGFBQ86DA,三姓寮段,16.50,非都市：特定農業區 ; 非都市編定：水利用地,8,3,持分移轉,01070004
RPUPMLLJOHLGFBQ96DA,三姓寮段,1.99,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930004
RPUPMLLJOHLGFBQ96DA,三姓寮段,7.24,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930005
RPUPMLLJOHLGFBQ96DA,三姓寮段,.75,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930006
RPUPMLLJOHLGFBQ96DA,三姓寮段,6.19,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930007
RPOQMLLJOHLGFBQ09DA,三姓寮段三義小段,63.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00460001
RPVPMLLJOHLGFBQ07DA,三姓寮段,1.99,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930004
RPVPMLLJOHLGFBQ07DA,三姓寮段,7.24,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930005
RPVPMLLJOHLGFBQ07DA,三姓寮段,.75,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930006
RPVPMLLJOHLGFBQ07DA,三姓寮段,6.19,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930007
RPPNMLPJOHLGFDQ86DA,安家厝段,132.53,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,16050007
RPPQMLLJOHLGFBQ56DA,三姓寮段三義小段,234.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00290001
RPSNMLMJOHLGFDQ86DA,太頂珠段,17.72,都市：其他:住宅區,100000,108,持分移轉,00700000
RPQQMLLJOHLGFBQ66DA,三姓寮段三義小段,69.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00470001
RPQQMLLJOHLGFBQ66DA,三姓寮段三義小段,82.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00480001
RPQQMLLJOHLGFBQ66DA,三姓寮段三義小段,117.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00490001
RPQQMLLJOHLGFBQ66DA,三姓寮段三義小段,81.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00500001
RPWPMLLJOHLGFBQ17DA,三姓寮段,1.99,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930004
RPWPMLLJOHLGFBQ17DA,三姓寮段,7.24,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930005
RPWPMLLJOHLGFBQ17DA,三姓寮段,.75,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930006
RPWPMLLJOHLGFBQ17DA,三姓寮段,6.19,非都市：特定農業區 ; 非都市編定：水利用地,80,3,持分移轉,00930007
RPRNMLSJOHLGFBQ17DA,景山段,82.46,都市：其他:住宅區,1,1,全筆移轉,06610012
RPQNMLLKOHLGFBQ09DA,中興段,511.59,都市：其他:農業區,1,1,全筆移轉,08180000
RPSNMLSJOHLGFEQ57DA,九芎坑段,95.00,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00370010
RPSNMLSJOHLGFEQ57DA,九芎坑段,13.00,非都市：一般農業區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,00370012
RPPNMLRJOHLGFDQ07DA,十一指厝段圳西小段,1057.33,非都市：特定農業區 ; 非都市編定：農牧用地,3,2,持分移轉,08490000
RPPNMLMKOHLGFBQ09DA,德安段,157.51,都市：其他:住宅區,1,1,全筆移轉,00540038
RPTNMLOJOHLGFBQ96DA,嘉朴段,12.47,都市：其他:住宅區,10000,187,持分移轉,01560039
RPTNMLMJOHLGFBQ76DA,港尾寮段豐美小段,173.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04620002
RPQNMLNJOHLGFCQ66DA,番婆段安和小段,923.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08220002
RPRNMLNJOHLGFCQ76DA,秀林段,261.26,非都市：一般農業區 ; 非都市編定：農牧用地,540,27,持分移轉,02740000
RPRNMLNJOHLGFCQ76DA,秀林段,77.64,非都市：一般農業區 ; 非都市編定：農牧用地,540,27,持分移轉,02750000
RPRNMLNJOHLGFCQ76DA,秀林段,214.36,非都市：一般農業區 ; 非都市編定：農牧用地,540,27,持分移轉,02770000
RPPNMLKKOHLGFDQ09DA,義興段,7012.93,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13290001
RPPNMLTJOHLGFDQ27DA,佳興段,6.83,,88,9,持分移轉,00100000
RPPNMLKKOHLGFDQ09DA,義興段,524.78,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13300000
RPPNMLTJOHLGFDQ27DA,佳興段,49.79,,88,9,持分移轉,00110000
RPSNMLMJOHLGFBQ66DA,三姓寮段三義小段,44.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00620001
RPSNMLMJOHLGFBQ66DA,三姓寮段三義小段,35.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00630001
RPPNMLKKOHLGFEQ56DA,瓦厝埔段,3022.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,09930002
RPRPMLKKOHLGFDQ86DA,光興段,11.22,都市：其他:道路,2,1,持分移轉,09390000
RPTNMLSJOHLGFEQ67DA,大草埔段,178.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03830010
RPTNMLSJOHLGFEQ67DA,大草埔段,1625.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,03850000
RPRQMLLJOHLGFBQ76DA,三姓寮段三義小段,74.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00600001
RPPNMLLKOHLGFEQ66DA,灣北段,75.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,05250000
RPRNMLLKOHLGFDQ86EA,寬士段,72.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02990000
RPPNMLLKOHLGFDQ66EA,梅子厝段梅厝小段,485.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05470000
RPUNMLKKOHLGFBQ76DA,港尾寮段,1.75,非都市：特定農業區 ; 非都市編定：水利用地,12,1,持分移轉,05550003
RPVNMLKKOHLGFBQ86DA,港尾寮段,1.75,非都市：特定農業區 ; 非都市編定：水利用地,12,1,持分移轉,05550003
RPTNMLLKOHLGFBQ76DA,龍蛟潭段龍蛟小段,930.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06780000
RPSNMLLKOHLGFDQ96EA,牛稠埔段,2775.75,非都市：山坡地保育區 ; 非都市編定：農牧用地,8,6,持分移轉,00630002
RPWNMLLKOHLGFBQ07DA,嘉朴段,5.87,都市：其他:住宅區,100000,102,持分移轉,02620000
RPPOMLKKOHLGFDQ56DA,新番子寮段,1017.28,非都市：特定農業區 ; 非都市編定：農牧用地,100,35,持分移轉,18990000
RPOOMLLKOHLGFBQ98DA,嘉朴段,5.87,都市：其他:住宅區,100000,102,持分移轉,02620000
RPTNMLLJOHLGFCQ76DA,內林段內林小段,3528.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06150000
