編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLPKOHLGFCT57DA,55,29.20,住家用,磚造,60年1月1日,一層,一層,全筆移轉
RPTNMLQKOHLGFCT67DA,23,14.93,見使用執照,鋼筋混凝土造,92年5月1日,五層,四層 雨遮,全筆移轉
RPTNMLQKOHLGFCT67DA,23,4.95,共同部份,鋼筋混凝土造,92年5月1日,五層,,持分移轉
RPTNMLQKOHLGFCT67DA,23,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,,持分移轉
RPUNMLSJOHLGFCT87DA,4,37.12,本共有部分之項目有停車空間、公共梯間、電信室及樓梯間等四項。,鋼筋混凝土構造,111年10月17日,五層,,持分移轉
RPUNMLSJOHLGFCT87DA,4,88.53,集合住宅,鋼筋混凝土構造,111年10月17日,五層,三層 陽台,全筆移轉
RPQNMLKKOHLGFCT76DA,22,6.32,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPQNMLKKOHLGFCT76DA,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPQNMLKKOHLGFCT76DA,22,.88,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPQNMLKKOHLGFCT76DA,22,12.46,見使用執照,鋼筋混凝土造,93年7月12日,六層,五層 陽台,全筆移轉
RPRNMLKKOHLGFCT86DA,22,5.97,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPRNMLKKOHLGFCT86DA,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPRNMLKKOHLGFCT86DA,22,12.06,見使用執照,鋼筋混凝土造,93年7月12日,六層,五層 陽台,全筆移轉
RPPNMLMKOHLGFAT66DA,13,234.24,住家用,鋼筋混凝土造,102年6月21日,三層,一層 二層 三層 陽台,全筆移轉
RPRNMLPJOHLGFAT07DA,3,77.84,集合住宅,鋼筋混凝土造,111年11月11日,五層,五層 陽台,全筆移轉
RPQNMLKKOHLGFAT56DA,31,34.76,住家用,鋼筋混凝土造,84年10月6日,十二層,十二層,全筆移轉
RPWNMLSJOHLGFAT87DA,50,115.20,住家用,鋼筋混凝土加強磚造,65年8月9日,二層,一層 二層 騎樓,全筆移轉
RPRNMLPJOHLGFAT07DA,3,53.92,停車空間、電梯間、樓梯間、梯廳,鋼筋混凝土造,111年11月11日,五層,,持分移轉
RPQNMLKKOHLGFAT56DA,31,13.33,停車空間，集合住宅，防空避難室,鋼筋混凝土造,84年10月6日,十二層,,持分移轉
RPPNMLTLNHLGFAT37DA,32,230.99,住商用,鋼筋混凝土造,83年2月26日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 騎樓,全筆移轉
RPQNMLPKOHLGFAT07DA,32,23.93,住家用,鋼筋混凝土造,83年11月4日,十三層,八層 陽台,全筆移轉
RPQNMLPKOHLGFAT07DA,32,12.53,避難室，公眾通行，公共設施,鋼筋混凝土造,83年11月4日,十三層,,持分移轉
RPQNMLSLNHLGFAT37DA,41,78.09,住家用,鋼筋混凝土造,74年1月9日,五層,四層,全筆移轉
RPQNMLSLNHLGFAT37DA,41,17.71,樓梯、地下室,鋼筋混凝土造,74年1月9日,五層,,持分移轉
RPVNMLTJOHLGFAT87DA,35,127.23,住家用,鋼筋混凝土造,80年11月1日,七層,六層 陽台,全筆移轉
RPVNMLTJOHLGFAT87DA,35,56.13,共同部份,鋼筋混凝土造,80年11月1日,七層,,持分移轉
RPTOMLKKOHLGFAT96DA,18,9.78,辦公室,鋼筋混凝土造,97年3月5日,四層,二層 陽台 雨遮,全筆移轉
RPTOMLKKOHLGFAT96DA,18,4.83,辦公室、機電空間、梯廳,鋼筋混凝土造,97年3月5日,四層,,持分移轉
RPRNMLKKOHLGFAT66DA,37,155.85,住家用,鋼筋混凝土造,78年7月10日,二層,一層 二層 陽台 平台 屋頂突出物 夾層,全筆移轉
RPXNMLLKOHLGFAT37DA,24,148.87,住家用,鋼筋混凝土造,91年10月28日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮,全筆移轉
RPQPMLLKOHLGFCT07DA,26,80.13,集合住宅,鋼筋混凝土造,88年12月22日,十層,五層 陽台 雨遮,全筆移轉
RPQPMLLKOHLGFCT07DA,26,53.07,車道頂蓋、公共空間、梯間、樓梯間、水箱、機械室,鋼筋混凝土造,88年12月22日,十層,,持分移轉
RPQOMLMKOHLGFCT07DA,2,31.57,本共有部分之項目有停車空間、公共梯間、樓梯間及電梯機械房等四項。,鋼筋混凝土造,113年8月5日,五層,,持分移轉
RPQOMLMKOHLGFCT07DA,2,71.67,集合住宅,鋼筋混凝土造,113年8月5日,五層,五層 陽台,全筆移轉
RPPNMLPKOHLGFCT17DA,11,239.38,門廊、住宅,鋼筋混凝土構造,104年2月2日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPTOMLNJOHLGFAT17DA,33,162.15,住家用,鋼筋混凝土造,82年5月24日,三層,一層 二層 三層 陽台 平台 屋頂突出物,全筆移轉
RPSOMLMKOHLGFAT07DA,33,178.19,住家用,鋼筋混凝土造,82年9月11日,三層,一層 二層 三層,全筆移轉
RPUNMLKKOHLGFCT17DA,11,44.89,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,持分移轉
RPUNMLKKOHLGFCT17DA,11,56.79,集合住宅,鋼筋混凝土構造,103年12月17日,七層,五層 陽台,全筆移轉
RPSNMLOKNHLGFDT37DA,32,41.48,水箱　機械室　公共設施　樓梯間,鋼筋混凝土造,83年3月25日,,,持分移轉
RPSNMLOKNHLGFDT37DA,32,101.64,住家用,鋼筋混凝土造,83年3月25日,八層,五層 陽台,全筆移轉
RPQNMLNJOHLGFET17DA,31,10.76,共同部份,鋼筋混凝土造,84年11月17日,十二層,,持分移轉
RPQNMLNJOHLGFET17DA,31,29.80,住家用,鋼筋混凝土造,84年11月17日,十二層,十層 陽台,全筆移轉
RPQNMLRLNHLGFDT57DA,1,74.11,集合住宅,鋼筋混凝土造,114年5月23日,五層,二層 陽台,全筆移轉
RPQNMLRLNHLGFDT57DA,1,33.09,本共有部分之項目有停車空間、門廊、公共梯間、樓梯間、電梯機械房等５項,鋼筋混凝土造,114年5月23日,五層,,持分移轉
RPRNMLSJOHLGFDT67DA,1,77.75,集合住宅,鋼筋混凝土造,114年3月25日,七層,五層 陽台,全筆移轉
RPRNMLSJOHLGFDT67DA,1,40.90,本共有部分之項目有無障礙昇降機、管委會、停車空間、機電空間、安全梯、梯廳、樓梯間等７項,鋼筋混凝土造,114年3月25日,七層,,持分移轉
RPROMLRLNHLGFAT47DA,3,52.19,集合住宅,鋼筋混凝土造,112年8月3日,五層,二層 陽台,全筆移轉
