編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLSKNHLGFCT57CC,23,14.93,見使用執照,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLKLNHLGFCT76CC,31,37.50,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,84年1月19日,五層,,
RPQNMLSKNHLGFCT57CC,23,4.95,共同部份,鋼筋混凝土造,92年5月1日,五層,,
RPRNMLTKNHLGFCT77CC,45,103.20,住商用,加強磚造,70年3月18日,二層,,
RPQNMLSKNHLGFCT57CC,23,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLSKNHLGFCT47CC,23,14.93,見使用執照,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLSKNHLGFCT47CC,23,4.95,共同部份,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLSKNHLGFCT47CC,23,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,,
RPSNMLSKNHLGFCT77CC,3,23.14,騎樓、住宅,鋼筋混凝土造,112年8月3日,三層,,
RPQNMLKLNHLGFCT86CC,31,34.00,騎樓、停車空間、樓梯間、門廳及車道、集合住宅,鋼筋混凝土構造,84年1月19日,五層,,
RPWNMLLLNHLGFCT57CC,11,18.76,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPWNMLLLNHLGFCT57CC,11,14.82,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPSNMLLLNHLGFCT17CC,11,18.74,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPSNMLLLNHLGFCT17CC,11,14.81,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPUNMLLLNHLGFCT37CC,11,18.88,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPUNMLLLNHLGFCT37CC,11,14.92,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPPNMLLLNHLGFCT86CC,6,73.28,集合住宅,鋼筋混凝土構造,109年3月11日,五層,,
RPPNMLLLNHLGFCT86CC,6,35.88,本共有部分之項目有停車空間、門廊、及樓梯間等三項。,鋼筋混凝土構造,109年3月11日,五層,,
RPVNMLLLNHLGFCT47CC,11,19.11,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPVNMLLLNHLGFCT47CC,11,15.10,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPUOMLLLNHLGFCT47CC,11,18.93,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPUOMLLLNHLGFCT47CC,11,14.96,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPTOMLLLNHLGFCT37CC,11,18.88,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPTOMLLLNHLGFCT37CC,11,14.92,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPXNMLLLNHLGFCT67CC,11,18.76,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPXNMLLLNHLGFCT67CC,11,14.82,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPWOMLLLNHLGFCT67CC,11,18.79,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPWOMLLLNHLGFCT67CC,11,14.84,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPPPMLLLNHLGFCT07CC,11,19.32,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPPPMLLLNHLGFCT07CC,11,15.27,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPXOMLLLNHLGFCT77CC,11,18.76,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPXOMLLLNHLGFCT77CC,11,14.83,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPQPMLLLNHLGFCT17CC,11,16.31,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPQPMLLLNHLGFCT17CC,11,12.89,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPSPMLLLNHLGFCT37CC,11,18.76,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPSPMLLLNHLGFCT37CC,11,14.82,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPVPMLLLNHLGFCT67CC,11,18.76,集合住宅,鋼筋混凝土構造,103年12月17日,七層,,
RPVPMLLLNHLGFCT67CC,11,14.83,本共有部分之項目有停車空間、樓梯間、水箱間及電梯機械室等四項。,鋼筋混凝土構造,103年12月17日,七層,,
RPPQMLLLNHLGFCT17CC,10,19.34,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPPQMLLLNHLGFCT17CC,10,11.48,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPWPMLLLNHLGFCT77CC,10,19.82,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPWPMLLLNHLGFCT77CC,10,11.75,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPSQMLLLNHLGFCT47CC,10,19.37,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPSQMLLLNHLGFCT47CC,10,11.48,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPVQMLLLNHLGFCT77CC,10,18.79,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPVQMLLLNHLGFCT77CC,10,11.20,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPUQMLLLNHLGFCT67CC,10,18.79,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPUQMLLLNHLGFCT67CC,10,11.20,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPXQMLLLNHLGFCT97CC,10,18.69,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPXQMLLLNHLGFCT97CC,10,11.07,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPTRMLLLNHLGFCT67CC,10,18.79,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPTRMLLLNHLGFCT67CC,10,11.20,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPSRMLLLNHLGFCT57CC,10,19.06,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPSRMLLLNHLGFCT57CC,10,11.34,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPVRMLLLNHLGFCT87CC,10,19.31,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPVRMLLLNHLGFCT87CC,10,11.48,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPORMLLLNHLGFCT17CC,10,19.37,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPORMLLLNHLGFCT17CC,10,11.48,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPURMLLLNHLGFCT77CC,10,18.69,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPURMLLLNHLGFCT77CC,10,11.07,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPQSMLLLNHLGFCT47CC,32,172.88,住家用,鋼筋混凝土造,83年1月19日,五層,,
RPRSMLLLNHLGFCT57CC,33,155.61,住商用,鋼筋混凝土造,82年5月1日,四層,,
RPRSMLLLNHLGFCT57CC,33,74.90,辦公室、水箱、防公避難室通道、停車空間、廁所、樓梯、車道．通道,鋼筋混凝土造,82年5月1日,三層,,
RPXRMLLLNHLGFCT08CC,10,19.31,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPXRMLLLNHLGFCT08CC,10,11.48,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPPNMLOLNHLGFDT27CC,2,66.95,集合住宅,鋼筋混凝土造,113年7月4日,六層,,
RPPNMLOLNHLGFDT27CC,2,17.09,本共有部分之項目有停車空間、電信機房、發電機兼消防泵室、梯間、樓梯間、水箱、電梯間等７項,鋼筋混凝土造,113年7月4日,六層,,
RPPNMLPLNHLGFCT27CC,10,18.69,集合住宅,鋼筋混凝土構造,105年11月4日,七層,,
RPPNMLPLNHLGFCT27CC,10,11.07,停車空間、管理委員會使用空間、消房機房（發電機室）、樓梯間、水箱間、電梯機械室,鋼筋混凝土構造,105年11月4日,七層,,
RPQNMLQLNHLGFCT47CC,23,14.00,見使用執照,鋼筋混凝土造,92年5月1日,五層,,
RPQNMLQLNHLGFCT47CC,23,4.32,共同部份,鋼筋混凝土造,92年5月1日,五層,,
RPQNMLQLNHLGFCT47CC,23,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,,
RPRNMLQLNHLGFCT57CC,23,14.93,見使用執照,鋼筋混凝土造,92年5月1日,五層,,
RPRNMLQLNHLGFCT57CC,23,4.95,共同部份,鋼筋混凝土造,92年5月1日,五層,,
RPRNMLQLNHLGFCT57CC,23,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLQLNHLGFCT37CC,23,13.44,集合住宅,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLQLNHLGFCT37CC,23,4.51,共同部份,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLQLNHLGFCT37CC,23,5.35,共同部份,鋼筋混凝土造,92年5月1日,五層,,
RPPNMLQLNHLGFCT37CC,23,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,,
RPSNMLQLNHLGFCT67CC,22,12.33,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPSNMLQLNHLGFCT67CC,22,6.50,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPSNMLQLNHLGFCT67CC,22,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPTNMLSKNHLGFAT67CC,32,32.00,集合住宅,鋼筋混凝土造,83年5月7日,六層,,
RPTNMLSKNHLGFAT67CC,32,11.97,冰箱，受電室，停車場,鋼筋混凝土造,83年5月7日,六層,,
RPQNMLLLNHLGFAT76CC,22,12.57,辦公室,鋼筋混凝土造,93年6月30日,六層,,
RPQNMLLLNHLGFAT76CC,22,7.13,停車空間,鋼筋混凝土造,93年6月30日,六層,,
RPQNMLLLNHLGFAT76CC,22,3.39,電樓梯間、蓄水池、台電配電室、馬達間、受電箱、交誼廳,鋼筋混凝土造,93年6月30日,六層,,
RPQNMLKLNHLGFAT66CC,26,99.38,集合住宅,鋼筋混凝土造,88年12月4日,十四層,,
RPQNMLLLNHLGFAT76CC,22,7.58,停車空間,鋼筋混凝土造,93年6月30日,六層,,
