鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
富里鄉,土地,學園段550-1地號,0.0,,,,1150610,土地0建物0車位0,,,其他,,,,0.0,0,0,0,無,無,550000,0,,0.0,0,,RPPNMLPKOHLGFCU27DA,0.0,0.0,0.0,無,
玉里鎮,土地,玉城段1331-1地號,30.0,,,,1150610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,771375,25713,,0.0,0,,RPRNMLPKOHLGFCU47DA,0.0,0.0,0.0,無,
富里鄉,土地,新莊段896地號,235.69,,山坡地保育區,丙種建築用地,1150604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,3182,,0.0,0,未登記建物；,RPPNMLQKOHLGFCU37DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,瑞良段45地號,162.0,農,,,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,800000,4938,,0.0,0,未登記建物；,RPSNMLQKOHLGFCU67DA,0.0,0.0,0.0,無,
卓溪鄉,土地,清水段77地號,2473.5,,山坡地保育區,農牧用地,1150615,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,283,,0.0,0,,RPPNMLRKOHLGFCU47DA,0.0,0.0,0.0,無,
瑞穗鄉,土地,瑞新段135地號,148.0,住,,,1150609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2900000,19595,,0.0,0,,RPQNMLPKOHLGFCU37DA,0.0,0.0,0.0,無,
富里鄉,土地,蚊子洞段362地號,263.0,,鄉村區,乙種建築用地,1150606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,11407,,0.0,0,未登記建物；,RPQNMLRKOHLGFCU57DA,0.0,0.0,0.0,無,01
萬榮鄉,土地,萬利段1662地號,4091.08,,山坡地保育區,農牧用地,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250000,61,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLKOHLGFBU86EA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市華安街７０號,149.51,住,,,1150521,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1131224,300.97,5,2,5,有,無,27800000,92368,,0.0,0,,RPWNMLSJOHLGFAU97DA,282.09,0.0,18.88,有,
秀林鄉,土地,三棧段6地號,1690.0,,風景區,農牧用地,1150515,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,306735,182,,0.0,0,,RPXNMLSJOHLGFAU08DA,0.0,0.0,0.0,無,
吉安鄉,土地,仁廉段250-1地號,8.07,住,,,1150504,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,300000,37175,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLSJOHLGFAU57DA,0.0,0.0,0.0,無,
花蓮市,房地(土地+建物),花蓮縣花蓮市南京街１巷８號,68.67,住,,,1150525,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0580904,62.4,2,2,2,有,無,3800000,60897,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLTJOHLGFAU87DA,62.4,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉吉祥一街３７號五樓之二,31.0,住,,,1150531,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130906,86.64,1,2,1,有,有,7700000,88873,,0.0,0,其他增建；,RPWNMLTJOHLGFAU08DA,56.82,0.0,6.45,有,02
光復鄉,土地,馬佛段808-1地號,1977.32,,一般農業區,農牧用地,1150525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1900000,961,,0.0,0,農作物；,RPQNMLSJOHLGFBU47DA,0.0,0.0,0.0,無,
