鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
成功鎮,土地,三民段761地號,30.47,住,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250000,8205,,0.0,0,畸零地或有合併使用效益；,RPPNMLOJOHLGFBV07DA,0.0,0.0,0.0,無,
鹿野鄉,土地,水源段345地號,14389.73,,一般農業區,農牧用地,1150605,土地4建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8370000,582,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKOHLGFCV86DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市中興路二段４５０巷２８弄５２號七樓,6.0,住,,,1150604,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850628,39.24,1,1,1,有,有,2200000,56065,,0.0,0,含傢俱設備費；,RPRNMLPJOHLGFAV27DA,25.36,0.0,3.99,有,01
鹿野鄉,房地(土地+建物),臺東縣鹿野鄉瑞景路一段２２５號,96.18,,鄉村區,乙種建築用地,1150602,土地2建物1車位0,全,二層,透天厝,住商用,鐵筋水泥磚,,101.6,2,1,1,有,無,3800000,37402,,0.0,0,,RPPNMLMKOHLGFCV07DA,101.6,0.0,0.0,無,02
台東市,土地,北南王段739地號,85.54,農,,,1150518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,162175,1896,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLNJOHLGFAV37DA,0.0,0.0,0.0,無,03
台東市,土地,北南王段739地號,85.54,農,,,1150518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,157549,1842,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLNJOHLGFAV47DA,0.0,0.0,0.0,無,03
台東市,房地(土地+建物),臺東縣台東市中華路三段２０８巷１２弄１４號,67.66,,鄉村區,乙種建築用地,1150525,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0781226,92.71,4,1,3,有,無,5180000,55873,,0.0,0,,RPPNMLSJOHLGFAV37DA,86.06,6.65,0.0,無,
台東市,房地(土地+建物),臺東縣台東市吉林路一段２巷１８號,104.09,,風景區,丙種建築用地,1150519,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0840104,124.33,5,2,2,有,無,4050000,32575,,0.0,0,其他增建；,RPRNMLSJOHLGFAV57DA,115.24,0.0,9.09,無,
關山鎮,土地,隆盛段222地號,261.86,,特定農業區,甲種建築用地,1150521,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3400000,12984,,0.0,0,,RPQNMLPLNHLGFCV47DA,0.0,0.0,0.0,無,
