編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLPLNHLGFAV17CB,梧州段,20.60,都市：住,100000,3813,持分移轉,04730000
RPPNMLPLNHLGFAV17CB,梧州段,.28,都市：住,100000,3813,持分移轉,04720011
RPQNMLPLNHLGFAV27CB,梧州段,31.66,都市：住,100000,5862,持分移轉,04730000
RPQNMLPLNHLGFAV27CB,梧州段,.43,都市：住,100000,5862,持分移轉,04720011
RPRNMLPLNHLGFAV37CB,豐富段,43.93,都市：住,10000,794,持分移轉,00310011
RPPNMLSKNHLGFAV37CB,岩灣段,36.56,都市：住,100000,8676,持分移轉,01090004
RPTNMLSKNHLGFAV77CB,馬蘭段,3.95,都市：住,100000,948,持分移轉,19020001
RPTNMLSKNHLGFAV77CB,馬蘭段,34.35,都市：住,100000,948,持分移轉,19030000
RPPNMLTLNHLGFAV57CB,豐年段,29.99,都市：住,100000,1909,持分移轉,09480000
