鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金湖鎮,土地,湖前段756地號,188.03,農,,,1150606,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1880300,10000,,0.0,0,土增稅由買方負擔,RPSNMLSJOHLGFAW77DA,0.0,0.0,0.0,無,
金沙鎮,土地,北九十劃段649地號,500.0,農,,,1150605,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1680000,3360,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKOHLGFAW86EA,0.0,0.0,0.0,無,
金寧鄉,土地,后沙劃測段747地號,426.5,農,,,1150605,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,7034,,0.0,0,親友、員工或其他特殊關係間之交易。；親友、員工、共有人或其他特殊關係間之交易；,RPRNMLPKOHLGFAW47DA,0.0,0.0,0.0,無,
烈嶼鄉,土地,烈濱劃測段1344地號,1008.0,農,,,1150601,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,5952,,0.0,0,包含公共設施保留地用地；,RPRNMLKKOHLGFAW96DA,0.0,0.0,0.0,無,
金湖鎮,土地,漁村段767地號,476.93,都市：其他:風景區,,,1150610,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1200000,2516,,0.0,0,,RPPNMLSKOHLGFAW57DA,0.0,0.0,0.0,無,
金城鎮,房地(土地+建物),金門縣金城鎮西海路二段１３號,584.11,農,,,1150514,土地2建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土造,1070903,297.38,8,3,5,有,無,14000000,47078,,0.0,0,包含公共設施保留地用地；,RPRNMLKLNHLGFAW96DA,277.08,0.0,20.3,無,
金城鎮,土地,賢厝段718地號,1198.0,農,,,1150526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,1252,,0.0,0,,RPQNMLTJOHLGFAW67DA,0.0,0.0,0.0,無,
金城鎮,房地(土地+建物),金門縣金城鎮珠浦南路７４巷２１號二樓,23.29,住,,,1150527,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1000607,55.22,1,1,1,有,無,3000000,54338,,0.0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；,RPQNMLSLNHLGFAW67DA,39.14,0.0,5.98,無,
金寧鄉,土地,青山段912地號,568.28,農,,,1150520,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3582000,6303,,0.0,0,,RPRNMLNJOHLGFAW17DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物),金門縣金寧鄉湖下２１１－９號五樓,31.85,都市：其他:自然村專用區,,,1150525,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1091223,76.9,2,1,1,有,有,6300000,81925,,0.0,0,含法定停車位約定專用１位。,RPTNMLLKOHLGFAW27DA,57.82,0.0,5.62,有,01
金寧鄉,土地,寧北一劃段261地號,978.18,農,,,1150525,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2800000,2862,,0.0,0,,RPTNMLSJOHLGFAW87DA,0.0,0.0,0.0,無,02
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路２２７號８樓之７,19.93,住,,,1150529,土地1建物1車位0,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041125,110.27,2,2,2,有,有,6900000,62574,,0.0,0,,RPTNMLTLNHLGFAW08DA,60.27,1.26,7.85,有,03
金湖鎮,房地(土地+建物),金門縣金湖鎮環島南路五段６０２號３樓,28.2,都市：其他:自然村專用區,,,1150515,土地1建物1車位0,三層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1081129,76.81,2,2,2,有,有,6000000,78115,,0.0,0,,RPPNMLKLNHLGFAW76DA,52.0,0.0,4.76,有,04
金寧鄉,土地,寧湖三劃段464地號,650.2,農,,,1150506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5800000,8920,,0.0,0,,RPSNMLKLNHLGFAW07DA,0.0,0.0,0.0,無,
金沙鎮,土地,北九十劃段243-1地號,488.49,農,,,1150519,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1580000,3234,,0.0,0,,RPPNMLPLNHLGFAW27DA,0.0,0.0,0.0,無,
金沙鎮,土地,沙東劃段111地號,500.11,農,,,1150526,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2680000,5359,,0.0,0,,RPUNMLLKOHLGFAW37DA,0.0,0.0,0.0,無,
金沙鎮,土地,沙港劃段303地號,2638.67,農,,,1150518,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,17330000,6568,,0.0,0,,RPSNMLTJOHLGFAW87DA,0.0,0.0,0.0,無,
金寧鄉,房地(土地+建物)+車位,金門縣金寧鄉安岐３８９之１號,61.51,都市：其他:自然村專用區,,,1150427,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140925,119.74,3,1,3,有,無,9180000,76666,一樓平面,2.27,0,價金比例:土地:新台幣2295000元整，建物:新台幣6885000元整停車位編號:5號,RPXNMLOJOHLGFAW87DA,94.77,0.0,0.0,有,05
金城鎮,房地(土地+建物),金門縣金城鎮賢聚４０之５號二樓,42.08,都市：其他:自然村專用區,,,1150402,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1070214,76.92,2,2,1,有,無,5200000,67603,,0.0,0,,RPPNMLPKOHLGFAW37EA,65.93,0.0,5.12,無,06
金寧鄉,房地(土地+建物),金門縣金寧鄉中堡３５之９號,41.61,都市：其他:自然村專用區,,,1150307,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1150210,95.47,3,2,2,有,無,7400000,77511,,0.0,0,本買賣標的另含6號車位使用權,RPUNMLPKNHLGFAW67DA,79.45,0.0,0.0,有,
金城鎮,房地(土地+建物),金門縣金城鎮金城鎮小古崗２之５號,44.4,都市：其他:自然村專用區,,,1150318,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140730,101.78,2,2,2,有,無,9800000,96286,,0.0,0,本買賣標的為信託財產，委託人：兆太建設有限公司建物、董漢根土地，受託人：僑馥建築經理股份有限公司,RPRNMLLLMHLGFAW96DA,76.46,0.0,6.12,有,
