編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLPKMHLGFAX37DA,42,182.77,住家用,鋼筋混凝土造,73年4月9日,四層,一層 二層 三層 四層 地下層,全筆移轉
RPRNMLSJNHLGFAX67DA,10,333.67,住家用,鋼筋混凝土造,105年1月13日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPTNMLLKOHLGFAX37DA,42,590.99,住家用,鋼筋混凝土加強磚造,73年7月30日,二層,一層 二層 電梯樓梯間,全筆移轉
RPTNMLLKOHLGFAX37DA,42,458.59,住工用,鋼筋混凝土加強磚造,73年7月30日,二層,一層 二層 電梯樓梯間,全筆移轉
RPTNMLLKOHLGFAX37DA,42,117.74,住家用,鋼筋混凝土加強磚造,73年7月30日,一層,一層,全筆移轉
RPPNMLQKOHLGFAX47DA,42,632.10,住商用,鋼筋混凝土造,72年9月29日,五層,一層 二層 三層 四層 五層 騎樓 電梯樓梯間 地下層,全筆移轉
RPSNMLKKOHLGFAX17DA,40,128.80,住家用,鋼筋混凝土加強磚造,74年12月21日,三層,一層 二層 三層,全筆移轉
RPQNMLNJOHLGFAX17DA,6,53.68,集合住宅,鋼筋混凝土造,109年5月5日,五層,四層 見其他登記事項,全筆移轉
RPQNMLNJOHLGFAX17DA,6,17.32,共用部份,鋼筋混凝土造,109年5月5日,五層,,持分移轉
RPQNMLLKOHLGFAX07DA,4,87.18,集合住宅,鋼筋混凝土造,110年12月7日,五層,五層 見其他登記事項,全筆移轉
RPQNMLLKOHLGFAX07DA,4,62.47,共用部份,鋼筋混凝土造,110年12月7日,五層,,持分移轉
RPRNMLPJNHLGFAX37DA,40,121.50,住家用,鋼筋混凝土加強磚造,74年7月20日,三層,一層 二層 三層,全筆移轉
RPQNMLPJNHLGFAX27DA,48,123.83,住家用,鋼筋混凝土加強空心磚造,66年6月21日,三層,一層 二層 三層 電梯樓梯間,全筆移轉
RPPOMLKLNHLGFAX96DA,32,189.17,住家用,鋼筋混凝土造,83年5月28日,五層,一層 二層 三層 四層 五層,全筆移轉
