編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLRKOHLGFAX67EA,安宅段,22.45,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14450001
SPPNMLRKOHLGFAX77EA,安宅段,9.63,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,14460001
RPVNMLOKMHLGFAX67DA,中屯新段,772.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,13630000
RPRNMLPKMHLGFAX37DA,馬公段,57.00,都市：其他:住宅區,1,1,全筆移轉,00660009
RPRNMLSJNHLGFAX67DA,六合段,22.38,非都市：一般農業區 ; 非都市編定：交通用地,6,1,持分移轉,01620004
RPRNMLSJNHLGFAX67DA,六合段,260.93,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,01620006
RPQNMLQKOHLGFAX57DA,鎖港南段,105.87,都市：其他:住宅區,1,1,全筆移轉,09830002
RPPNMLMKOHLGFAX07DA,井垵西段,194.24,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08630000
RPQNMLPJOHLGFAX37DA,講美段,24.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,3,1,持分移轉,09160000
RPTNMLLKOHLGFAX37DA,文石段,1801.98,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06850000
RPPNMLKKOHLGFAX86DA,東石新段,99.17,非都市：一般農業區 ; 非都市編定：農牧用地,136930,19834,持分移轉,07650000
RPSNMLMKOHLGFAX37DA,湖西北段,10.91,非都市：一般農業區 ; 非都市編定：農牧用地,60,3,持分移轉,03680000
RPSNMLMKOHLGFAX37DA,湖西南段,11.65,非都市：一般農業區 ; 非都市編定：農牧用地,60,3,持分移轉,07850000
RPSNMLMKOHLGFAX37DA,湖西南段,74.20,非都市：一般農業區 ; 非都市編定：農牧用地,60,3,持分移轉,08150000
RPSNMLMKOHLGFAX37DA,湖西南段,56.66,非都市：一般農業區 ; 非都市編定：農牧用地,60,3,持分移轉,17840000
RPTNMLLKOHLGFAX37DA,文石段,161.35,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06970000
RPTNMLLKOHLGFAX37DA,文石段,155.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06980000
RPTNMLLKOHLGFAX37DA,文石段,159.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06990000
RPTNMLLKOHLGFAX37DA,文石段,161.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,07000000
RPTNMLLKOHLGFAX37DA,文石段,125.00,非都市：一般農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,07010000
RPPNMLQKOHLGFAX47DA,馬公段,60.00,都市：其他:商業區,1,1,全筆移轉,01030125
RPPNMLQKOHLGFAX47DA,馬公段,60.00,都市：其他:商業區,1,1,全筆移轉,01030126
RPQNMLTJOHLGFAX77DA,竹篙灣段,54.00,非都市：一般農業區 ; 非都市編定：水利用地,1,1,全筆移轉,34160002
RPSNMLKKOHLGFAX17DA,內垵二段,62.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04500000
RPQNMLNJOHLGFAX17DA,安宅段,24.69,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,27,持分移轉,12350000
RPRNMLMKOHLGFAX27DA,湖西南段,292.92,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,10990000
RPRNMLMKOHLGFAX27DA,湖西南段,121.45,非都市：一般農業區 ; 非都市編定：農牧用地,5,1,持分移轉,22260000
RPTNMLSJOHLGFAX97DA,四維段,1401.33,都市：其他:農業區,1,1,全筆移轉,01580000
RPQNMLLKOHLGFAX07DA,西澳段,37.81,都市：其他:住宅區,10000,691,持分移轉,10230000
