鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
文山區,土地,博嘉段四小段197地號,2.02,都市：其他:道路用地(公共設施用地)。64/12/24,,,1150609,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,378374,187314,,0.0,0,包含公共設施保留地用地；協議價購；,RPQNMLPJOHLGFAA67DA,0.0,0.0,0.0,無,001
文山區,土地,興泰段三小段87-3地號,693.0,都市：其他:道路用地(公共設施用地)。,,,1150604,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,29848543,43071,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPSNMLKKOHLGFAA47DA,0.0,0.0,0.0,無,
萬華區,土地,華江段三小段542地號,0.18,都市：其他:道路用地(公共設施用地)。62/8/29,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11353,0,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPPOMLTJOHLGFBA18DA,0.0,0.0,0.0,無,002
內湖區,土地,大湖段二小段172地號,19.56,都市：其他:道路用地(公共設施用地)。65/2/13,,,1150604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,926498,47367,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPOPMLKKOHLGFCA47DA,0.0,0.0,0.0,無,003
內湖區,土地,碧湖段四小段567地號,10.11,都市：其他:道路用地(公共設施用地)。65/2/14,,,1150608,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,843417,83424,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPUNMLLKOHLGFCA97DA,0.0,0.0,0.0,無,004
南港區,車位,臺北市南港區市民大道八段１８１號等共有部分,0.31,,特定專用區,,1150604,土地1建物1車位1,,,其他,,,,41.09,0,0,0,無,有,3600000,,坡道平面,41.09,3600000,僅車位交易；,RPQNMLOJOHLGFDA87DA,0.0,0.0,0.0,有,
南港區,土地,南港段二小段650地號,3.05,,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4992850,1637000,,0.0,0,包含公共設施保留地用地；協議價購；,RPRNMLKKOHLGFDA67DA,0.0,0.0,0.0,無,005
松山區,土地,敦化段一小段597地號,41.0,都市：其他:道路用地(公共設施用地)。48/3/13,,,1150608,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6661372,162472,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPQOMLKKOHLGFDA67DA,0.0,0.0,0.0,無,006
松山區,土地,延吉段三小段253-4地號,1.45,都市：其他:道路用地(公共設施用地)。48/3/13,,,1150608,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,162633,112161,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPQNMLLKOHLGFDA67DA,0.0,0.0,0.0,無,007
信義區,土地,福德段一小段579地號,0.22,都市：其他:道路用地(公共設施用地)。51/9/1,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,24467,0,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPSNMLLKOHLGFDA87DA,0.0,0.0,0.0,無,008
信義區,土地,福德段一小段817地號,2.02,都市：其他:道路用地(公共設施用地)。51/9/1,,,1150604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,166095,82225,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPWNMLLKOHLGFDA28DA,0.0,0.0,0.0,無,008
信義區,土地,信義段一小段4-2地號,0.08,都市：其他:道路用地(公共設施用地)。51/9/1,,,1150604,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5064,0,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPPOMLLKOHLGFDA67DA,0.0,0.0,0.0,無,
松山區,土地,西松段三小段307地號,9.75,都市：其他:道路用地(公共設施用地)。62/12/31,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,941850,96600,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPQOMLLKOHLGFDA77DA,0.0,0.0,0.0,無,
士林區,房地(土地+建物),臺北市士林區承德路四段２８８號七樓,18.21,住,,,1150602,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0750616,138.74,3,2,2,有,有,27280000,196627,,0.0,0,,RPQNMLMJOHLGFEA77DA,98.78,7.04,9.36,有,
士林區,土地,天母段三小段182地號,2.31,都市：其他:道路用地(公共設施用地)。68/6/14,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,254606,110219,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPURMLKKOHLGFEA48DA,0.0,0.0,0.0,無,010
士林區,土地,光華段三小段250地號,2.0,都市：其他:道路用地(公共設施用地)。66/10/19,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,207000,103500,,0.0,0,115年度臺北市政府以容積代金基金採購私有公共設施保留地之交易包含公共設施保留地用地；協議價購；,RPWRMLKKOHLGFEA68DA,0.0,0.0,0.0,無,011
