編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOPMLKKOHLGFCA47DA,大湖段二小段,1.11,都市：其他:道路用地(公共設施用地)。65/2/13,270,75,持分移轉,01710000
RPOPMLKKOHLGFCA47DA,大湖段二小段,18.45,都市：其他:道路用地(公共設施用地)。65/2/13,4050,795,持分移轉,01720000
RPUNMLLKOHLGFCA97DA,碧湖段四小段,7.33,都市：其他:道路用地(公共設施用地)。65/2/14,45000,2556,持分移轉,05670000
RPUNMLLKOHLGFCA97DA,碧湖段四小段,2.79,都市：其他:道路用地(公共設施用地)。65/2/14,140000,10000,持分移轉,05680000
RPPOMLTJOHLGFBA18DA,華江段三小段,.18,都市：其他:道路用地(公共設施用地)。62/8/29,20000,102,持分移轉,05420000
RPURMLKKOHLGFEA48DA,天母段三小段,2.31,都市：其他:道路用地(公共設施用地)。68/6/14,96,3,持分移轉,01820000
RPQNMLMJOHLGFEA77DA,百齡段一小段,18.21,都市：其他:第三之二種住宅區。,10000,168,持分移轉,00930000
RPWRMLKKOHLGFEA68DA,光華段三小段,2.00,都市：其他:道路用地(公共設施用地)。66/10/19,72,9,持分移轉,02500000
RPTNMLLKOHLGFCA87DA,碧湖段四小段,7.33,都市：其他:道路用地(公共設施用地)。65/2/14,45000,2556,持分移轉,05670000
RPTNMLLKOHLGFCA87DA,碧湖段四小段,2.79,都市：其他:道路用地(公共設施用地)。65/2/14,140000,10000,持分移轉,05680000
RPQNMLLKOHLGFBA47DA,雙園段三小段,2.47,都市：其他:道路用地(公共設施用地)。56/8/25,15,1,持分移轉,05830000
RPQNMLLKOHLGFBA47DA,雙園段三小段,2.35,都市：其他:道路用地(公共設施用地)。56/8/25,13275,176,持分移轉,05960000
RPQNMLLKOHLGFBA47DA,華江段二小段,.15,都市：其他:道路用地(公共設施用地)。62/8/29,192,1,持分移轉,06830005
RPQNMLLKOHLGFBA47DA,華江段二小段,.01,都市：其他:道路用地(公共設施用地)。62/8/29,192,1,持分移轉,06840006
RPVNMLLKOHLGFCA08DA,碧湖段四小段,7.33,都市：其他:道路用地(公共設施用地)。65/2/14,45000,2556,持分移轉,05670000
RPVNMLLKOHLGFCA08DA,碧湖段四小段,2.79,都市：其他:道路用地(公共設施用地)。65/2/14,140000,10000,持分移轉,05680000
RPSPMLSKOHLGFCA68DA,榮星段七小段,83.46,都市：其他:第三種住宅區。,30000,2949,持分移轉,00190009
RPTOMLSJOHLGFBA48DA,大龍段三小段,30.27,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區)。,200000,4300,持分移轉,00410000
RPTOMLSJOHLGFBA48DA,大龍段三小段,.69,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第肆之壹種住宅區容積率依都市計畫書規定辦理)。,200000,4300,持分移轉,00410001
RPWSMLTJOHLGFDA86DA,美仁段一小段,3.50,都市：其他:道路用地(公共設施用地)。48/3/13,4,1,持分移轉,04400002
RPRNMLKKOHLGFDA67DA,南港段二小段,3.05,都市：其他:機關用地(公共設施用地)。58/8/22,4500,225,持分移轉,06500000
RPQNMLOJOHLGFDA87DA,南港段四小段,.31,非都市：特定專用區 ; 非都市編定：,200000,2,持分移轉,05660000
RPVOMLKKOHLGFDA18DA,延吉段一小段,28.25,都市：其他:道路用地(公共設施用地)。48/3/13,4,1,持分移轉,05130000
