編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSPMLSKOHLGFCA68DA,升降平面,2500000,,地下四樓
RPSPMLSKOHLGFCA68DA,升降平面,2500000,,地下四樓
RPSPMLSKOHLGFCA68DA,升降平面,2500000,,地下四樓
RPSPMLSKOHLGFCA68DA,升降平面,2500000,,地下四樓
RPSPMLSKOHLGFCA68DA,升降平面,2500000,,地下四樓
RPQNMLOJOHLGFDA87DA,坡道平面,3600000,41.09,地下一樓
RPRNMLMKOHLGFCA77DA,坡道平面,3300000,36.44,地下一樓
RPOOMLKKOHLGFCA37DA,坡道平面,1880000,40.33,地下二樓
RPTNMLSKOHLGFAA38DA,坡道平面,0,27.50,地下二樓
RPTNMLSKOHLGFAA38DA,坡道平面,0,27.50,地下二樓
RPQNMLSKOHLGFFA58DA,坡道平面,4250000,,地下三樓
RPSOMLPKOHLGFCA28DA,坡道平面,3600000,32.75,地下三樓
RPTPMLSJOHLGFDA78DA,坡道平面,0,47.84,地下一樓
RPTPMLSJOHLGFDA78DA,坡道平面,0,47.84,地下一樓
RPTPMLSJOHLGFDA78DA,坡道平面,0,47.84,地下一樓
RPWQMLMLOHLGFCA68DA,坡道平面,3800000,32.75,地下一樓
RPQQMLRKOHLGFDA58DA,坡道平面,3500000,44.03,地下二樓
RPRRMLMLOHLGFCA28DA,升降平面,2250000,24.92,地下一樓
RPWOMLSJOHLGFBA78DA,坡道平面,3000000,38.76,地下二樓
RPWOMLSJOHLGFBA78DA,坡道平面,3000000,38.76,地下二樓
RPXNMLQKOHLGFFA09DA,升降平面,0,45.24,地下二樓
RPSRMLMLOHLGFCA38DA,坡道機械,0,14.76,地下一樓
RPOPMLNLOHLGFCA87DA,坡道平面,1850000,34.20,地下三樓
RPQNMLQLNHLGFAA87DA,坡道平面,2300000,46.90,地下五樓含以下
RPTOMLPLNHLGFCA38DA,坡道平面,2500000,30.51,地下二樓
RPXOMLPKOHLGFCA78DA,塔式車位,2000000,20.23,
RPRNMLMJOHLGFAA47DA,坡道平面,2500000,44.91,地下三樓
RPWNMLTLNHLGFCA98DA,坡道平面,2700000,24.64,地下一樓
RPQOMLQKOHLGFCA18DA,坡道平面,0,,地下二樓
RPQOMLQKOHLGFCA18DA,坡道機械,0,,地下二樓
RPXOMLPJOHLGFDA78DA,坡道平面,2500000,33.77,地下一樓
RPSNMLRKOHLGFCA38DA,坡道平面,0,,地下一樓
RPSNMLRKOHLGFCA38DA,坡道平面,0,,地下二樓
RPSNMLRKOHLGFCA38DA,坡道平面,0,,地下二樓
RPWNMLMJOHLGFDA28DA,坡道平面,0,12.97,地下二樓
RPWNMLMJOHLGFDA28DA,坡道平面,0,12.97,地下二樓
RPWNMLMJOHLGFDA28DA,坡道平面,0,12.97,地下二樓
RPQNMLRKOHLGFAA08EA,坡道平面,0,,地下三樓
RPPNMLMLOHLGFBA67EA,升降平面,2000000,33.02,地下一樓
RPPNMLSJOHLGFFA38DA,升降機械,1800000,,地下二樓
RPPNMLRKOHLGFDA28EA,坡道平面,2800000,34.15,地下五樓含以下
RPTPMLLLNHLGFCA08DA,坡道平面,1800000,,地下一樓
RPTPMLLLNHLGFCA08DA,坡道平面,1800000,,地下一樓
RPORMLPKNHLGFCA08DA,坡道平面,0,35.46,地下二樓
RPORMLPKNHLGFCA08DA,坡道平面,0,35.46,地下二樓
RPRNMLRKOHLGFEA58EA,升降機械,2000000,16.37,地下二樓
RPRNMLQKOHLGFBA18EA,升降機械,0,,地下二樓
RPTNMLRJNHLGFBA18DA,坡道平面,0,36.92,地下三樓
RPTNMLRJNHLGFBA18DA,坡道平面,0,33.56,地下三樓
RPTNMLRJNHLGFBA18DA,坡道平面,0,36.92,地下三樓
RPPNMLRKOHLGFFA48EA,坡道平面,3500000,,地下三樓
RPTNMLKKOHLGFCA77DA,坡道平面,2500000,37.47,地下四樓
RPWNMLQLNHLGFEA88DA,塔式車位,1500000,,地下一樓
RPSNMLPJOHLGFEA28DA,坡道機械,2500000,28.07,地下三樓
RPPNMLSKOHLGFFA48DA,升降機械,2000000,20.60,地下二樓
RPSNMLSJNHLGFEA48DA,坡道平面,3000000,40.72,地下二樓
RPSNMLMKOHLGFCA87DA,坡道平面,2500000,27.70,地下一樓
RPUNMLOLOHLGFDA48DA,坡道平面,0,,地下二樓
RPRNMLMLOHLGFDA97DA,坡道平面,2500000,29.44,地下二樓
RPRNMLMLOHLGFDA97DA,坡道平面,2500000,29.44,地下二樓
RPRNMLMLOHLGFDA97DA,坡道平面,2500000,29.44,地下二樓
RPPNMLKLOHLGFCA47DA,坡道平面,3000000,28.82,地下五樓含以下
RPPNMLKLOHLGFCA47DA,坡道平面,3000000,28.82,地下五樓含以下
RPPNMLKLOHLGFCA47DA,坡道平面,3000000,28.82,地下五樓含以下
RPPNMLMLOHLGFCA67DA,坡道平面,0,33.47,地下二樓
RPPNMLTLNHLGFAA08DA,坡道平面,2500000,43.42,地下二樓
RPUNMLQKOHLGFAA28DA,塔式車位,1700000,1.52,
RPOOMLQKOHLGFFA28DA,坡道平面,3000000,42.93,地下四樓
RPQNMLMLOHLGFAA67EA,坡道平面,6000000,46.62,地下四樓
RPQNMLNLOHLGFBA87EA,坡道平面,0,25.58,地下一樓
