鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
松山區,房地(土地+建物)+車位,臺北市松山區延壽街,21.74,住,,,1150521,土地1建物1車位2,十八層,21,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,205.08,3,2,2,有,無,66260000,426432,坡道平面,67.52,7600000,雨遮面積  4.48平方公尺,RPPNMLMLNHLGFDA67CB,鳴森苑,B棟B9-18F號,
中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段與中山北路二段93巷交叉口,21.76,商,,,1150522,土地10建物1車位2,十一層,23,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,384.64,3,2,3,有,無,134980000,434921,坡道平面,89.0,6400000,,RPPNMLOLNHLGFCA87DB,璞真之道,A1-11F號,
中正區,房地(土地+建物),臺北市中正區水源路161-1號共13筆,9.73,住,,,1150522,土地10建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.17,2,2,2,有,無,29480000,334354,,0.0,0,,RPPNMLPLNHLGFAA67CB,鼎吉水岸,A3棟0號,
萬華區,房地(土地+建物)+車位,臺北市萬華區貴陽街二段與西寧南路口,5.14,商,,,1150521,土地14建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,76.85,2,1,1,有,無,24680000,340297,升降機械,10.79,2200000,,RPSNMLPLNHLGFBA08CB,橡樹貴麗,A棟4F號,
中山區,房地(土地+建物)+車位,臺北市中山區民權東路二段22號,17.73,商,,,1150521,土地39建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.83,4,1,2,有,無,66800000,411951,坡道平面,24.2,3100000,,RPXNMLPLNHLGFCA68CB,賦格對位,F-12F號,
松山區,房地(土地+建物),臺北市松山區南京東路五段253號,7.1,商,,,1150524,土地11建物1車位0,八層,21,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,84.84,2,2,2,有,無,40280000,474776,,0.0,0,,RPPNMLPLNHLGFDA97CB,睿泰曜,D號,
士林區,房地(土地+建物)+車位,臺北市士林區中山北路六段,60.79,住,,,1150524,土地14建物1車位2,二十層,25,住宅大樓(11層含以上有電梯),住商用,見其他登記事項,,432.58,0,0,0,無,無,181800000,478347,坡道平面,70.5,8600000,該戶室內專屬樓梯之樓中樓約189.59平方公尺,RPSNMLPLNHLGFEA38CB,文心天母,A棟A1號,
士林區,房地(土地+建物)+車位,臺北市士林區中山北路六段,39.26,住,,,1150523,土地14建物1車位2,十三層,25,住宅大樓(11層含以上有電梯),住商用,見其他登記事項,,304.38,0,0,0,無,無,111370000,441979,坡道平面,70.5,8000000,,RPOOMLPLNHLGFEA08CB,文心天母,A棟A5號,
大安區,房地(土地+建物)+車位,臺北市大安區正聲里光復南路240巷、260巷,24.35,住,,,1150523,土地11建物1車位2,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,246.65,3,1,2,有,無,122100000,643494,坡道平面,70.58,8800000,,RPQNMLPLNHLGFFA28CB,德運元鼎,A1-19F號,
松山區,房地(土地+建物)+車位,臺北市松山區民有里民生東路三段111號,22.09,商,,,1150522,土地2建物1車位2,十九層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,396.81,0,0,0,無,無,238480000,669932,坡道平面,59.94,12800000,,RPQNMLQLNHLGFDA18CB,西華璞園,B1-19F號,
松山區,房地(土地+建物)+車位,臺北市松山區民有里民生東路三段111號,17.06,商,,,1150522,土地2建物1車位2,十九層,25,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,320.57,0,0,0,無,無,187400000,669915,坡道平面,59.94,12800000,,RPRNMLQLNHLGFDA28CB,西華璞園,B2-19F號,
中山區,房地(土地+建物)+車位,臺北市中山區正得里中山北路一段53巷32號,8.13,商,,,1150524,土地2建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.69,2,1,1,有,無,32200000,442804,其他,18.94,2200000,,RPPNMLQLNHLGFCA08DB,睿泰?,B-10F號,
中山區,房地(土地+建物),臺北市中山區松江路23號之5號,7.36,商,,,1150527,土地7建物1車位0,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,77.53,2,2,2,有,無,33200000,428221,,0.0,0,,RPUNMLRLNHLGFCA58CB,澤暘松江,B1-7F號,
