編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLPLNHLGFEA38CB,三玉段四小段,1.48,都市：住,100000,1787,持分移轉,04490000
RPSNMLPLNHLGFEA38CB,三玉段四小段,1.61,都市：住,100000,1787,持分移轉,04500000
RPSNMLPLNHLGFEA38CB,三玉段四小段,1.63,都市：住,100000,1787,持分移轉,04510000
RPSNMLPLNHLGFEA38CB,三玉段四小段,1.89,都市：住,100000,1787,持分移轉,04530000
RPSNMLPLNHLGFEA38CB,三玉段四小段,1.89,都市：住,100000,1787,持分移轉,04540000
RPSNMLPLNHLGFEA38CB,三玉段四小段,1.89,都市：住,100000,1787,持分移轉,04550000
RPSNMLPLNHLGFEA38CB,三玉段四小段,1.59,都市：住,100000,1787,持分移轉,04560000
RPSNMLPLNHLGFEA38CB,三玉段四小段,1.22,都市：住,100000,1787,持分移轉,04590000
RPSNMLPLNHLGFEA38CB,三玉段四小段,25.66,都市：住,100000,1787,持分移轉,04900000
RPSNMLPLNHLGFEA38CB,三玉段四小段,.04,都市：住,100000,1787,持分移轉,04900001
RPSNMLPLNHLGFEA38CB,三玉段四小段,5.12,都市：住,100000,1787,持分移轉,04910002
RPSNMLPLNHLGFEA38CB,三玉段四小段,16.65,都市：住,100000,1787,持分移轉,04920000
RPSNMLPLNHLGFEA38CB,三玉段四小段,.09,都市：住,100000,1787,持分移轉,04920001
RPSNMLPLNHLGFEA38CB,三玉段四小段,.04,都市：住,100000,1787,持分移轉,04920002
RPQNMLPLNHLGFFA28CB,仁愛段一小段,2.09,都市：住,100000,1055,持分移轉,00920000
RPQNMLPLNHLGFFA28CB,仁愛段一小段,2.00,都市：住,100000,1055,持分移轉,00960000
RPQNMLPLNHLGFFA28CB,仁愛段一小段,2.06,都市：住,100000,1055,持分移轉,00970000
RPQNMLPLNHLGFFA28CB,仁愛段一小段,2.00,都市：住,100000,1055,持分移轉,00980000
RPQNMLPLNHLGFFA28CB,仁愛段一小段,2.06,都市：住,100000,1055,持分移轉,00990000
RPQNMLPLNHLGFFA28CB,仁愛段一小段,2.07,都市：住,100000,1055,持分移轉,01010000
RPQNMLPLNHLGFFA28CB,仁愛段一小段,1.99,都市：住,100000,1055,持分移轉,01020000
RPQNMLPLNHLGFFA28CB,仁愛段一小段,2.27,都市：住,100000,1055,持分移轉,01030000
RPQNMLPLNHLGFFA28CB,仁愛段一小段,2.35,都市：住,100000,1055,持分移轉,01040000
RPQNMLPLNHLGFFA28CB,仁愛段一小段,2.76,都市：住,100000,1055,持分移轉,01060000
RPQNMLPLNHLGFFA28CB,仁愛段一小段,2.69,都市：住,100000,1055,持分移轉,01070000
RPOOMLPLNHLGFEA08CB,三玉段四小段,.96,都市：住,100000,1154,持分移轉,04490000
RPOOMLPLNHLGFEA08CB,三玉段四小段,1.04,都市：住,100000,1154,持分移轉,04500000
RPOOMLPLNHLGFEA08CB,三玉段四小段,1.05,都市：住,100000,1154,持分移轉,04510000
RPOOMLPLNHLGFEA08CB,三玉段四小段,1.22,都市：住,100000,1154,持分移轉,04530000
RPOOMLPLNHLGFEA08CB,三玉段四小段,1.22,都市：住,100000,1154,持分移轉,04540000
RPOOMLPLNHLGFEA08CB,三玉段四小段,1.22,都市：住,100000,1154,持分移轉,04550000
RPOOMLPLNHLGFEA08CB,三玉段四小段,1.03,都市：住,100000,1154,持分移轉,04560000
RPOOMLPLNHLGFEA08CB,三玉段四小段,.78,都市：住,100000,1154,持分移轉,04590000
RPOOMLPLNHLGFEA08CB,三玉段四小段,16.57,都市：住,100000,1154,持分移轉,04900000
RPOOMLPLNHLGFEA08CB,三玉段四小段,.02,都市：住,100000,1154,持分移轉,04900001
RPOOMLPLNHLGFEA08CB,三玉段四小段,3.30,都市：住,100000,1154,持分移轉,04910002
RPOOMLPLNHLGFEA08CB,三玉段四小段,10.75,都市：住,100000,1154,持分移轉,04920000
RPOOMLPLNHLGFEA08CB,三玉段四小段,.06,都市：住,100000,1154,持分移轉,04920001
RPOOMLPLNHLGFEA08CB,三玉段四小段,.02,都市：住,100000,1154,持分移轉,04920002
RPPNMLOLNHLGFCA87DB,中山段三小段,2.18,都市：商,100000,1759,持分移轉,01110000
RPPNMLOLNHLGFCA87DB,中山段三小段,2.04,都市：商,100000,1759,持分移轉,01120000
RPPNMLOLNHLGFCA87DB,中山段三小段,2.25,都市：商,100000,1759,持分移轉,01130000
RPPNMLOLNHLGFCA87DB,中山段三小段,2.25,都市：商,100000,1759,持分移轉,01140000
RPPNMLOLNHLGFCA87DB,中山段三小段,4.29,都市：商,100000,1759,持分移轉,01150000
RPPNMLOLNHLGFCA87DB,中山段三小段,1.78,都市：商,100000,1759,持分移轉,01160000
RPPNMLOLNHLGFCA87DB,中山段三小段,1.46,都市：商,100000,1759,持分移轉,01380000
RPPNMLOLNHLGFCA87DB,中山段三小段,1.39,都市：商,100000,1759,持分移轉,01390000
RPPNMLOLNHLGFCA87DB,中山段三小段,1.88,都市：商,100000,1759,持分移轉,01400000
RPPNMLOLNHLGFCA87DB,中山段三小段,2.23,都市：商,100000,1759,持分移轉,01410000
RPRNMLRLNHLGFCA38DB,中山段三小段,1.92,都市：商,100000,1546,持分移轉,01110000
RPRNMLRLNHLGFCA38DB,中山段三小段,1.79,都市：商,100000,1546,持分移轉,01120000
RPRNMLRLNHLGFCA38DB,中山段三小段,1.98,都市：商,100000,1546,持分移轉,01130000
RPPNMLQLNHLGFCA08DB,正義段三小段,5.38,都市：商,100000,1520,持分移轉,05130000
RPRNMLRLNHLGFCA38DB,中山段三小段,1.98,都市：商,100000,1546,持分移轉,01140000
RPPNMLQLNHLGFCA08DB,正義段三小段,2.75,都市：商,100000,1520,持分移轉,05140000
RPRNMLRLNHLGFCA38DB,中山段三小段,3.77,都市：商,100000,1546,持分移轉,01150000
RPRNMLRLNHLGFCA38DB,中山段三小段,1.56,都市：商,100000,1546,持分移轉,01160000
RPRNMLRLNHLGFCA38DB,中山段三小段,1.28,都市：商,100000,1546,持分移轉,01380000
RPRNMLRLNHLGFCA38DB,中山段三小段,1.22,都市：商,100000,1546,持分移轉,01390000
RPRNMLRLNHLGFCA38DB,中山段三小段,1.65,都市：商,100000,1546,持分移轉,01400000
RPRNMLRLNHLGFCA38DB,中山段三小段,1.96,都市：商,100000,1546,持分移轉,01410000
RPSNMLRLNHLGFCA48DB,中山段三小段,1.83,都市：商,100000,1478,持分移轉,01110000
RPSNMLRLNHLGFCA48DB,中山段三小段,1.71,都市：商,100000,1478,持分移轉,01120000
RPSNMLRLNHLGFCA48DB,中山段三小段,1.89,都市：商,100000,1478,持分移轉,01130000
RPSNMLRLNHLGFCA48DB,中山段三小段,1.89,都市：商,100000,1478,持分移轉,01140000
RPSNMLRLNHLGFCA48DB,中山段三小段,3.61,都市：商,100000,1478,持分移轉,01150000
RPSNMLRLNHLGFCA48DB,中山段三小段,1.49,都市：商,100000,1478,持分移轉,01160000
RPSNMLRLNHLGFCA48DB,中山段三小段,1.23,都市：商,100000,1478,持分移轉,01380000
RPSNMLRLNHLGFCA48DB,中山段三小段,1.17,都市：商,100000,1478,持分移轉,01390000
RPSNMLRLNHLGFCA48DB,中山段三小段,1.58,都市：商,100000,1478,持分移轉,01400000
RPSNMLRLNHLGFCA48DB,中山段三小段,1.88,都市：商,100000,1478,持分移轉,01410000
RPPNMLRLNHLGFEA28CB,軟橋段,56.53,都市：住,100000,1500,持分移轉,00070000
RPPNMLRLNHLGFDA18CB,雅祥段一小段,.21,都市：商,100000,145,持分移轉,06140000
RPPNMLRLNHLGFDA18CB,雅祥段一小段,.02,都市：商,100000,145,持分移轉,06150000
RPPNMLRLNHLGFDA18CB,雅祥段一小段,.03,都市：住,100000,145,持分移轉,06150001
RPPNMLRLNHLGFDA18CB,雅祥段一小段,.18,都市：商,100000,145,持分移轉,06160000
RPPNMLRLNHLGFDA18CB,雅祥段一小段,.18,都市：商,100000,145,持分移轉,06170000
RPPNMLRLNHLGFDA18CB,雅祥段一小段,.00,都市：住,100000,145,持分移轉,06170001
RPPNMLRLNHLGFDA18CB,雅祥段一小段,2.17,都市：商,100000,145,持分移轉,06180000
RPPNMLRLNHLGFDA18CB,雅祥段一小段,.69,都市：住,100000,145,持分移轉,06180002
RPPNMLRLNHLGFDA18CB,雅祥段一小段,.14,都市：住,100000,145,持分移轉,06180003
RPPNMLRLNHLGFDA18CB,雅祥段一小段,1.46,都市：商,100000,145,持分移轉,06190000
RPUNMLRLNHLGFCA58CB,長安段四小段,1.39,都市：商,10000000,129472,持分移轉,01810001
RPUNMLRLNHLGFCA58CB,長安段四小段,1.06,都市：商,10000000,129472,持分移轉,01810002
RPUNMLRLNHLGFCA58CB,長安段四小段,.35,都市：商,10000000,129472,持分移轉,01810003
RPUNMLRLNHLGFCA58CB,長安段四小段,.32,都市：商,10000000,129472,持分移轉,01810005
RPUNMLRLNHLGFCA58CB,長安段四小段,1.35,都市：商,10000000,129472,持分移轉,01820000
RPUNMLRLNHLGFCA58CB,長安段四小段,1.39,都市：商,10000000,129472,持分移轉,01830000
RPUNMLRLNHLGFCA58CB,長安段四小段,1.51,都市：商,10000000,129472,持分移轉,01840000
RPPNMLPLNHLGFDA97CB,寶清段四小段,.96,都市：商,100000,719,持分移轉,04780000
RPPNMLPLNHLGFDA97CB,寶清段四小段,.16,都市：商,100000,719,持分移轉,04790000
RPPNMLPLNHLGFDA97CB,寶清段四小段,.45,都市：商,100000,719,持分移轉,04790001
RPPNMLPLNHLGFDA97CB,寶清段四小段,.96,都市：商,100000,719,持分移轉,04830000
RPPNMLPLNHLGFDA97CB,寶清段四小段,.96,都市：商,100000,719,持分移轉,04840000
RPPNMLPLNHLGFDA97CB,寶清段四小段,.16,都市：商,100000,719,持分移轉,04850000
RPQNMLQLNHLGFDA18CB,敦化段五小段,10.29,都市：商,100000,637,持分移轉,00210000
RPPNMLPLNHLGFDA97CB,寶清段四小段,.50,都市：商,100000,719,持分移轉,04850001
RPQNMLQLNHLGFDA18CB,敦化段五小段,11.80,都市：商,100000,637,持分移轉,00210009
RPPNMLPLNHLGFDA97CB,寶清段四小段,.26,都市：商,100000,719,持分移轉,04880000
RPPNMLPLNHLGFDA97CB,寶清段四小段,.75,都市：商,100000,719,持分移轉,04880001
RPQNMLRLNHLGFDA28CB,寶清段四小段,1.05,都市：商,100000,792,持分移轉,04780000
RPPNMLPLNHLGFDA97CB,寶清段四小段,.96,都市：商,100000,719,持分移轉,04890000
RPQNMLRLNHLGFDA28CB,寶清段四小段,.17,都市：商,100000,792,持分移轉,04790000
RPPNMLPLNHLGFDA97CB,寶清段四小段,1.00,都市：商,100000,719,持分移轉,04900000
RPQNMLRLNHLGFDA28CB,寶清段四小段,.50,都市：商,100000,792,持分移轉,04790001
RPQNMLRLNHLGFDA28CB,寶清段四小段,1.05,都市：商,100000,792,持分移轉,04830000
