編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUPMLPLNHLGFCA68CC,46,22.13,商業用,鋼筋混凝土造,69年7月21日,十二層,,
RPPQMLPLNHLGFCA28CC,2,129.08,多戶住宅（Ｈ２）,鋼筋混凝土造,113年7月15日,十五層,,
RPOOMLPLNHLGFBA87CC,37,12.00,住家用,鋼筋混凝土造,78年10月7日,五層,,
RPUPMLPLNHLGFCA68CC,46,8.68,共有部分,鋼筋混凝土造,69年7月21日,十二層,,
RPWPMLPLNHLGFCA88CC,42,97.62,住家用,鋼筋混凝土造,73年2月7日,七層,,
RPPQMLPLNHLGFCA28CC,2,35.11,本共有部分項目有：門廳、甲梯戶外安全梯、梯廳、儲藏室、無障礙電梯、緊急昇降機、機械室、排煙室兼梯廳、乙梯戶外安全梯、管委會使用空間（社區遊憩設施）、管委會使用空間（社區樂活空間）、陽台、進風機、進氣管道、安全梯、進風管道、排風管道、排氣機房、排煙室、排氣管道、電表室、機房、台電配電場所、污物處理設備空間、電力室、緊急發電機室、電信機房、消防機房、蓄水池、丙梯、水箱及電梯機房等３２項,鋼筋混凝土造,113年7月15日,十五層,,
RPWPMLPLNHLGFCA88CC,42,30.18,共有部分,鋼筋混凝土造,73年2月7日,七層,,
RPPQMLPLNHLGFCA28CC,2,20.78,本共有部分項目有：甲梯戶外安全梯、梯廳、無障礙電梯、緊急昇降機、排煙室兼梯廳及乙梯戶外安全梯等６項,鋼筋混凝土造,113年7月15日,十五層,,
RPPQMLPLNHLGFCA28CC,2,38.05,本共有部分項目有：停車空間兼防空避難室、車道及停車空間等３項,鋼筋混凝土造,113年7月15日,十五層,,
RPPOMLLLNHLGFBA57CC,51,37.26,住家用,鋼筋混凝土造,64年4月3日,五層,,
RPXNMLLLNHLGFCA38CC,46,109.23,住商用,鋼筋混凝土造,68年12月21日,五層,,
RPVNMLMLNHLGFCA28CC,56,17.00,住家用,鋼筋混凝土造,59年7月23日,四層,,
RPUNMLMLNHLGFAA97CC,41,118.97,住家用,鋼筋混凝土造,73年11月28日,四層,,
RPRPMLMLNHLGFCA08CC,53,75.55,住家用,鋼筋混凝土造,62年1月8日,四層,,
RPUNMLMLNHLGFAA97CC,41,13.29,共有部分,鋼筋混凝土造,73年11月28日,四層,,
RPVOMLMLNHLGFCA38CC,37,30.22,住家用,鋼筋混凝土造,78年9月20日,五層,,
RPRNMLPLNHLGFAA97CC,31,21.54,住家用,鋼筋混凝土造,84年3月3日,七層,,
RPRNMLPLNHLGFAA97CC,31,10.85,見使用執照,鋼筋混凝土造,84年3月3日,十一層,,
RPPNMLPLNHLGFBA87CC,,73.60,,加強磚造,,三層,,
RPOOMLQLNHLGFAA87CC,18,19.07,一般事務所,鋼筋混凝土造,97年11月17日,十二層,,
RPOOMLQLNHLGFAA87CC,18,6.57,共有部分,鋼筋混凝土造,97年11月17日,十二層,,
RPOOMLQLNHLGFAA87CC,18,2.34,共有部分,鋼筋混凝土造,97年11月17日,十二層,,
RPVNMLQLNHLGFBA58CC,43,81.32,住家用,鋼筋混凝土造,72年9月29日,十二層,,
RPVNMLQLNHLGFBA58CC,43,11.38,共有部分,鋼筋混凝土造,72年9月29日,十二層,,
RPRNMLQLNHLGFBA18CC,60,23.11,,加強磚造,55年11月10日,四層,,
RPOOMLQLNHLGFBA97CC,46,24.67,商業用,鋼筋混凝土造,69年8月12日,七層,,
RPOOMLQLNHLGFBA97CC,46,7.39,共有部分,鋼筋混凝土造,69年8月12日,七層,,
RPOOMLQLNHLGFBA97CC,46,9.19,共有部分,鋼筋混凝土造,69年8月12日,七層,,
RPPNMLQLNHLGFBA97CC,4,24.24,住家用,鋼筋混凝土造,111年4月22日,十三層,,
RPPNMLQLNHLGFBA97CC,4,6.19,本共有部分之項目有丁梯、管委會空間物管儲藏室、排煙室、梯廳、緊急昇降梯、無障礙昇降梯、管委會空間（中央監控室兼物管辦公室）、行動不便者廁所、飲水機區、掃具間、無障礙室內通道、住宅門廳、公共門廳、門廊Ｂ、甲梯、乙梯、弱電管道、消防管道、門廊Ａ、戊梯、陽臺、管委會使用空間（視聽室）、管委會使用空間（兒童遊戲室）、管委會使用空間（閱覽室）、公共梯廳、空調機房、茶水間、男廁、女廁、車道、發電機室、機房、防空避難室兼停車空間、排氣管道、一般安全梯、受電箱、台電配電室、電信室、機房（垃圾儲藏室兼掃具間）、機房（消防）、機房（汙、雨水）、泵浦區及樓梯間等４３項。,鋼筋混凝土造,111年4月22日,十三層,,
RPPNMLQLNHLGFBA97CC,4,5.74,本共有部分之項目有無障礙昇降梯、緊急昇降梯、排煙室、乙梯、電力管道、梯廳、丁梯、水表室、丙梯、戶外安全梯及戊梯等１１項。,鋼筋混凝土造,111年4月22日,十三層,,
RPPNMLQLNHLGFBA97CC,4,.40,本共有部分之項目有停車位及停車空間等共２項。,鋼筋混凝土造,111年4月22日,十三層,,
RPROMLQLNHLGFBA28CC,51,36.77,住家用,鋼筋混凝土造,64年5月8日,五層,,
RPSNMLQLNHLGFBA28CC,60,23.11,,加強磚造,55年11月10日,四層,,
RPVOMLQLNHLGFBA68CC,18,105.43,住家用,鋼筋混凝土造,97年1月3日,十四層,,
RPVOMLQLNHLGFBA68CC,18,71.14,共有部分,鋼筋混凝土造,97年1月3日,十四層,,
RPRNMLQLNHLGFCA28CC,42,19.80,商業用,鋼筋混凝土造,73年3月20日,五層,,
RPSNMLQLNHLGFCA38CC,41,23.40,住家用,鋼筋混凝土造,74年4月29日,六層,,
RPTNMLQLNHLGFCA48CC,45,155.89,住家用,鋼筋混凝土造,70年10月28日,五層,,
RPSNMLQLNHLGFCA38CC,41,4.94,共有部分,鋼筋混凝土造,74年4月29日,六層,,
RPVNMLQLNHLGFCA68CC,49,19.97,住家用,鋼筋混凝土造,66年6月25日,七層,,
RPUNMLQLNHLGFCA58CC,42,21.00,住家用,鋼筋混凝土造,73年3月23日,十二層,,
RPVNMLQLNHLGFCA68CC,49,4.13,共有部分,鋼筋混凝土造,66年6月25日,七層,,
RPWNMLQLNHLGFCA78CC,50,25.18,住家用,鋼筋混凝土造,65年8月23日,七層,,
RPWNMLQLNHLGFCA78CC,50,5.00,共有部分,鋼筋混凝土造,65年8月23日,七層,,
RPVPMLQLNHLGFCA88CC,44,34.02,住家用,鋼筋混凝土造,71年4月19日,七層,,
RPVPMLQLNHLGFCA88CC,44,5.85,共有部分,鋼筋混凝土造,71年4月19日,七層,,
RPWOMLQLNHLGFCA88CC,53,97.59,住家用,鋼筋混凝土造,62年1月10日,四層,,
RPPOMLQLNHLGFCA18CC,,19.53,住家用,加強磚造,,三層,,
RPXPMLQLNHLGFCA09CC,29,26.89,商業用,鋼筋混凝土造,85年11月29日,十一層,,
RPXPMLQLNHLGFCA09CC,29,14.33,共有部分,鋼筋混凝土造,85年11月29日,十一層,,
RPSQMLQLNHLGFCA68CC,43,15.00,住家用,鋼筋混凝土造,72年6月20日,十四層,,
RPTQMLQLNHLGFCA78CC,42,57.75,住家用,鋼筋混凝土造,73年1月24日,五層,,
RPTQMLQLNHLGFCA78CC,42,5.69,共有部分,鋼筋混凝土造,73年1月24日,五層,,
RPSPMLQLNHLGFCA58CC,30,42.65,住家用,鋼筋混凝土造,85年9月4日,十二層,,
RPSPMLQLNHLGFCA58CC,30,6.81,共有部分,鋼筋混凝土造,85年9月4日,十三層,,
RPXPMLPLNHLGFCA98CC,25,81.83,住家用,鋼筋混凝土造,90年4月10日,十四層,,
RPXPMLPLNHLGFCA98CC,25,8.26,共有部分,鋼筋混凝土造,90年4月10日,十四層,,
RPXPMLPLNHLGFCA98CC,25,16.18,共有部分,鋼筋混凝土造,90年4月10日,十四層,,
RPUNMLQLNHLGFAA38CC,59,25.63,,加強磚造,56年5月19日,五層,,
RPQOMLPLNHLGFDA28CC,41,111.80,住家用,鋼筋混凝土造,74年4月24日,七層,,
RPQOMLPLNHLGFDA28CC,41,4.56,共有部分,鋼筋混凝土造,74年4月24日,七層,,
RPVOMLPLNHLGFDA78CC,17,58.57,住家用,鋼筋混凝土造,98年6月11日,十四層,,
RPRNMLPLNHLGFDA28CC,51,15.71,防空避難室、會客室、宿舍,鋼筋混凝土造,64年10月16日,四層,,
RPVOMLPLNHLGFDA78CC,17,10.79,共有部分,鋼筋混凝土造,98年6月11日,十四層,,
RPVOMLPLNHLGFDA78CC,17,3.39,共有部分,鋼筋混凝土造,98年6月11日,十四層,,
RPVOMLPLNHLGFDA78CC,17,12.58,共有部分,鋼筋混凝土造,98年6月11日,十四層,,
RPUNMLPLNHLGFDA58CC,47,86.52,住家用,鋼筋混凝土造,68年1月11日,四層,,
RPRPMLPLNHLGFDA48CC,18,50.44,住家用,鋼筋混凝土造,97年9月10日,七層,,
