編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSNMLQKOHLGFGB78DA,47,137.20,住商用,鋼筋混凝土造,68年11月23日,三層,一層 二層 三層 騎樓,全筆移轉
RPQOMLMKOHLGFIB48DA,34,78.80,店舖．集合住宅,鋼筋混凝土造,81年4月30日,八層,平台 花台 地下一層,全筆移轉
RPQOMLMKOHLGFIB48DA,34,11.31,辦公室、停車空間,鋼筋混凝土造,81年4月30日,九層,見其他登記事項,持分移轉
RPQOMLMKOHLGFIB48DA,34,8.71,梯間、水塔、防空避難室、機房,鋼筋混凝土造,81年4月30日,九層,,持分移轉
RPWNMLMKOHLGFFB68DA,6,9.32,集合住宅,鋼筋混凝土造,109年8月25日,五層,五層 陽台,全筆移轉
RPWNMLMKOHLGFFB68DA,6,5.18,梯廳、安全梯、升降機、管道間、走廊、安全梯間、升降機機械室、水箱、停車空間、電信室、消防機室、發電機室、台電配電室、安全梯Ａ,鋼筋混凝土造,109年8月25日,五層,,持分移轉
RPQNMLPKOHLGFHB58DA,45,91.02,住家用,加強磚造,70年2月15日,二層,一層 二層 見其他登記事項,全筆移轉
RPRNMLOJOHLGFHB48DA,2,83.74,集合住宅,鋼筋混凝土造,112年12月28日,十二層,九層 陽台,全筆移轉
RPRNMLOJOHLGFHB48DA,2,70.38,本共有部分之項目有停車空間、消防機房、機房、梯廳、安全梯、無障礙電梯、水箱、排煙室、防空避難室兼停車空間、台電配電室、發電機房、台電通道、電信機房、管委會使用空間、梯間、資源回收空間、電梯及電梯機房等１８項,鋼筋混凝土造,112年12月28日,十二層,,持分移轉
RPXNMLPKOHLGFBB68DA,33,17.21,辦公室，停車空間，避難室,鋼筋混凝土造,82年8月31日,十四層,地下二層,持分移轉
RPXNMLPKOHLGFBB68DA,33,22.44,住家用,鋼筋混凝土造,82年8月31日,十四層,六層 花台,全筆移轉
RPXNMLPKOHLGFBB68DA,33,12.31,共有部份,鋼筋混凝土造,82年8月31日,十四層,,持分移轉
RPTPMLSJOHLGFCB78DA,41,174.54,住家用,加強磚造,74年7月11日,二層,一層 二層 陽台 平台 屋頂突出物 花台,全筆移轉
RPUPMLSJOHLGFCB88DA,32,21.73,住家用,鋼筋混凝土造,83年8月19日,十二層,十一層 陽台,全筆移轉
RPUPMLSJOHLGFCB88DA,32,7.36,共用部份,鋼筋混凝土造,83年8月19日,十二層,,持分移轉
RPTNMLTJOHLGFCB68DA,34,22.74,住家用,鋼筋混凝土造,80年12月6日,十二層,六層 陽台 花台,全筆移轉
RPTNMLTJOHLGFCB68DA,34,15.85,共有部分,鋼筋混凝土造,80年12月6日,十二層,,持分移轉
RPPNMLNLOHLGFGB28DA,54,105.27,住家用,加強磚造,61年11月1日,二層,一層 二層 騎樓,全筆移轉
RPPTMLOJOHLGFCB38DA,31,16.78,住家用,鋼筋混凝土造,84年11月10日,六層,六層,全筆移轉
RPPTMLOJOHLGFCB38DA,31,5.81,共有部分,鋼筋混凝土造,84年11月10日,六層,,持分移轉
RPPTMLOJOHLGFCB38DA,31,1.01,共有部分,鋼筋混凝土造,84年11月10日,六層,,持分移轉
RPPTMLOJOHLGFCB38DA,31,2.02,共有部分,鋼筋混凝土造,84年11月10日,六層,,持分移轉
RPQOMLPJOHLGFDB18DA,29,203.05,農舍,鋼筋混凝土造,86年8月6日,二層,一層 二層 陽台 見其他登記事項,全筆移轉
RPTNMLTJOHLGFDB78DA,3,229.61,人行道、停車空間、住宅、樓梯間,鋼筋混凝土造,112年5月31日,四層,一層 二層 三層 四層 陽台 騎樓 見其他登記事項,全筆移轉
RPWPMLPKOHLGFCB88DA,1,55.75,集合住宅,鋼骨鋼筋混凝土造、鋼筋混凝土造,114年6月18日,三十一層,八層 陽台,全筆移轉
RPWOMLQKOHLGFCB88DA,29,62.14,住家用,鋼筋混凝土造,85年12月14日,十四層,七層 陽台 花台,全筆移轉
RPWPMLPKOHLGFCB88DA,1,42.72,本共有部分係依使用執照之建築物概要表記載項目有：停車空間、梯廳、梯廳（排煙室）、樓梯間、管道間、水箱、車道、無障礙樓梯間、緊急昇降機電梯、無障礙電梯、消防機房、雨污水機房、機車停車空間、電信室、防空避難室兼停車空間、防空避難室兼機車停車空間、垃圾集中室（管委會使用空間）、台電配電室、發電機室、中繼機房、電錶區、台電通道、受電箱區、管委會使用空間、防災中心、電梯、機械室、水錶室、消防中繼機房、電梯機房、子母水箱等３１項。,鋼骨鋼筋混凝土造、鋼筋混凝土造,114年6月18日,三十一層,,持分移轉
RPWOMLQKOHLGFCB88DA,29,19.03,共有部分,鋼筋混凝土造,85年12月14日,十四層,,持分移轉
RPQOMLRKOHLGFCB38DA,5,354.52,集合住宅,鋼骨鋼筋混凝土造,110年1月26日,四十三層,二十八層 陽台 雨遮,全筆移轉
RPQOMLRKOHLGFCB38DA,5,127.88,本共有部分係依使用執照之建築概要表記載項目有：頂蓋型沿街步道式開放空間、管委會使用空間、社區門廳、防災中心、中繼機房、垃圾收集室、梯廳、樓梯間、緊急昇降機間排煙室、排煙室、走廊、機械室、陽台兼排煙室、廊道、水箱等十五項。,鋼骨鋼筋混凝土造,110年1月26日,四十三層,,持分移轉
RPQOMLRKOHLGFCB38DA,5,150.03,本共有部分係依使用執照之建築概要表記載項目有：防空避難室兼停車空間、電錶室、台電配電室、電信室、機車停車區、機電空間、梯廳、樓梯間、緊急昇降機間排煙室、停車空間、緊急發電機室、消防機械室、水箱室等十三項。,鋼骨鋼筋混凝土造,110年1月26日,四十三層,,持分移轉
RPQNMLRKOHLGFBB28EA,18,13.23,共有部份,鋼筋混凝土造,97年9月30日,十五層,,持分移轉
RPROMLQKOHLGFBB28DA,38,24.66,住家用,鋼筋混凝土造,77年10月7日,七層,三層,全筆移轉
