編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPSNMLQKOHLGFGB78DA,文昌段,53.92,都市：其他:住宅區,1,1,全筆移轉,11410000
RPQOMLMKOHLGFIB48DA,立新段,24.21,非都市：鄉村區 ; 非都市編定：乙種建築用地,50000,160,持分移轉,13060000
RPWNMLMKOHLGFFB68DA,興安西段,4.54,都市：其他:第四種住宅區,100000,461,持分移轉,04290000
RPPNMLSKOHLGFFB58DA,榜文段,384.10,都市：其他:保護區,80,21,持分移轉,01140000
RPQNMLPKOHLGFHB58DA,豐興段,91.53,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04000000
RPRNMLOJOHLGFHB48DA,清雅段,30.46,都市：其他:第二種住宅區,100000,651,持分移轉,02620000
RPROMLRKOHLGFIB09DA,五張犁西段,611.03,非都市：特定農業區 ; 非都市編定：農牧用地,4,2,持分移轉,04930000
RPPNMLQKOHLGFKB88DA,文昌段,21.00,都市：其他:農業區,1,1,全筆移轉,17620001
RPQNMLQKOHLGFKB98DA,龍田段,7.00,都市：其他:第四種住宅區,1,1,全筆移轉,15800000
RPVOMLRKOHLGFIB86DA,北柳段,27.87,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,01610003
RPVOMLRKOHLGFIB86DA,北柳段,6.85,非都市：鄉村區 ; 非都市編定：乙種建築用地,6,1,持分移轉,01610004
RPPNMLPKOHLGFJB78EA,麗園段,6.36,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,00300000
RPPNMLOKOHLGFBB77DA,青田段,37.00,都市：其他:排水道,1,1,全筆移轉,10220000
RPVOMLTJOHLGFBB88DA,新賴厝廍九段,3.84,都市：其他:第二種住宅區,1,1,全筆移轉,10350000
RPXNMLPKOHLGFBB68DA,文正段,6.32,都市：其他:第二種住宅區,10000,47,持分移轉,00840017
RPXNMLPKOHLGFBB68DA,水源段,1.13,都市：其他:第二種住宅區,10000,47,持分移轉,03440001
RPTPMLSJOHLGFCB78DA,民安段,149.91,都市：其他:第三之一種住宅區,1,1,全筆移轉,11160000
RPUPMLSJOHLGFCB88DA,西屯段,3.47,都市：其他:第二種住宅區,10000,42,持分移轉,20320001
RPTNMLTJOHLGFCB68DA,大進段,4.44,都市：其他:第二種住宅區,498400,444,持分移轉,10100000
RPRNMLMLOHLGFGB38DA,崁子下段,48.48,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06900000
RPPNMLRKOHLGFHB78EA,自強段,43.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07450001
RPPNMLNLOHLGFGB28DA,文昌段,60.45,都市：其他:住宅區,1,1,全筆移轉,06840000
RPPTMLOJOHLGFCB38DA,何厝段,3.36,都市：其他:市場用地,1000000,1514,持分移轉,02610010
RPQOMLPJOHLGFDB18DA,瓦磘腳段,845.32,都市：其他:農業區,2,1,持分移轉,12450000
RPQOMLPJOHLGFDB18DA,瓦磘腳段,8.41,都市：其他:農業區,2,1,持分移轉,12460000
RPTNMLQKOHLGFDB58DA,溪洲段,10.84,非都市：特定農業區 ; 非都市編定：農牧用地,72,9,持分移轉,02100000
RPTNMLTJOHLGFDB78DA,豐洲段,73.81,都市：其他:第三種住宅區。,1,1,全筆移轉,07850000
RPWPMLPKOHLGFCB88DA,惠順段,5.65,都市：其他:第四之一種商業區,100000,169,持分移轉,00060000
RPWOMLQKOHLGFCB88DA,惠信段,8.30,都市：其他:第三種住宅區。,100000,316,持分移轉,00550000
RPPOMLTJOHLGFDB48DA,新中社段,277.35,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05420000
RPQOMLRKOHLGFCB38DA,惠民段,38.53,都市：其他:第六種新市政中心專用區,100000,1250,持分移轉,01320000
RPWNMLPKOHLGFDB78DA,牛稠坑段,242.55,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,3505,持分移轉,00210080
RPQNMLRKOHLGFBB28EA,松昌段,.03,都市：其他:第二種住宅區,10000,4,持分移轉,04820000
RPQNMLRKOHLGFBB28EA,松昌段,1.31,都市：其他:第三之一種商業區,10000,4,持分移轉,04850000
RPPNMLNLOHLGFBB77DA,中清段,65.62,都市：其他:第三種住宅區。,16,6,持分移轉,01900000
RPROMLQKOHLGFBB28DA,新賴厝廍七段,5.66,都市：其他:第二種住宅區,10000,118,持分移轉,03460000
RPXNMLLKOHLGFIB98DA,樟公段,3.16,都市：其他:住宅區,672636,2131,持分移轉,03810000
RPOPMLSJOHLGFCB28DA,西屯段,2.50,都市：其他:第二種住宅區,100000,193,持分移轉,20320041
RPQNMLPKOHLGFCB08DA,永林段,21.33,都市：其他:農業區,1,1,全筆移轉,04920002
