編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLSLNHLGFFB68CB,西社段,27.87,都市：住,10000,105,持分移轉,01540000
RPPNMLPLNHLGFDB08CB,后樟段,22.45,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,5425,持分移轉,02810000
RPSOMLPLNHLGFBB28CB,碧柳段,9.22,都市：商,100000,325,持分移轉,02790000
RPRNMLLJOHLGFBB57CB,文北段,22.92,都市：住,100000,524,持分移轉,01120000
RPTNMLLJOHLGFBB77CB,溝背段,13.98,都市：住,100000,290,持分移轉,00110000
RPTNMLLJOHLGFBB77CB,溝背段,1.80,都市：住,100000,290,持分移轉,00160000
RPROMLPLNHLGFBB18CB,碧柳段,10.44,都市：商,100000,368,持分移轉,02790000
RPXNMLLJOHLGFIB88CB,新站南段,21.19,都市：住,10000,69,持分移轉,00540000
RPTNMLLJOHLGFCB87CB,惠民段,16.48,都市：其他:第一種新市政中心專用區,100000,1391,持分移轉,00880000
RPTNMLLJOHLGFCB87CB,惠民段,22.15,都市：其他:第一種新市政中心專用區,100000,1391,持分移轉,00910000
RPVNMLRLNHLGFCB78CB,昌明段,39.18,都市：住,10000000,86962,持分移轉,04750000
RPPNMLTLNHLGFCB38CB,三富段,.16,都市：住,100000,784,持分移轉,00990000
RPPNMLTLNHLGFCB38CB,三富段,1.82,都市：住,100000,784,持分移轉,01000000
RPPNMLTLNHLGFCB38CB,三富段,1.82,都市：住,100000,784,持分移轉,01010000
RPPNMLTLNHLGFCB38CB,三富段,11.30,都市：住,100000,784,持分移轉,01020000
RPPNMLTLNHLGFCB38CB,三富段,10.50,都市：住,100000,784,持分移轉,01030000
RPPNMLTLNHLGFCB38CB,三富段,2.84,都市：住,100000,784,持分移轉,01050000
RPPNMLTLNHLGFCB38CB,三富段,3.10,都市：住,100000,784,持分移轉,01060000
RPPNMLTLNHLGFCB38CB,三富段,1.24,都市：住,100000,784,持分移轉,01070000
RPPNMLTLNHLGFCB38CB,三富段,1.40,都市：住,100000,784,持分移轉,01080000
RPPNMLTLNHLGFCB38CB,三富段,1.70,都市：住,100000,784,持分移轉,01090000
RPPNMLTLNHLGFCB38CB,三富段,3.47,都市：住,100000,784,持分移轉,01100000
RPQNMLKMNHLGFIB28CB,新榮和段,18.45,都市：住,10000,19,持分移轉,01380000
RPPNMLKMNHLGFIB18CB,新榮和段,28.16,都市：住,10000,29,持分移轉,01380000
RPTNMLRLNHLGFCB58CB,昌明段,36.93,都市：住,10000000,81964,持分移轉,04750000
RPQNMLLJOHLGFKB38CB,瑞井段,7.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4626,持分移轉,06750000
RPQNMLLJOHLGFKB38CB,瑞井段,7.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4626,持分移轉,06760000
RPQNMLLJOHLGFKB38CB,瑞井段,7.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4626,持分移轉,06770000
RPQNMLLJOHLGFKB38CB,瑞井段,7.91,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,4626,持分移轉,06780000
RPROMLRLNHLGFCB48CB,惠民段,2.73,都市：其他:第六種新市政中心,100000,91,持分移轉,00070000
RPROMLRLNHLGFCB48CB,惠民段,1.20,都市：其他:第六種新市政中心,100000,91,持分移轉,00090000
RPROMLRLNHLGFCB48CB,惠民段,.00,都市：其他:第六種新市政中心,100000,91,持分移轉,00090001
RPROMLRLNHLGFCB48CB,惠民段,1.20,都市：其他:第六種新市政中心,100000,91,持分移轉,00090002
RPPNMLPLNHLGFCB97CB,三塊厝段,14.40,都市：住,100000,365,持分移轉,12860003
RPPNMLPLNHLGFCB97CB,三塊厝段,4.43,都市：住,100000,365,持分移轉,12900000
RPPNMLPLNHLGFCB97CB,永定段,.04,都市：住,100000,365,持分移轉,06730002
RPPNMLPLNHLGFCB97CB,永定段,.08,都市：住,100000,365,持分移轉,06730006
RPQNMLMJOHLGFBB57CB,敦和段,37.24,都市：住,70000,451,持分移轉,06710000
RPTNMLMJOHLGFBB87CB,敦和段,24.19,都市：住,70000,293,持分移轉,06710000
RPUNMLMJOHLGFBB97CB,敦和段,31.13,都市：住,70000,377,持分移轉,06710000
RPRNMLKMNHLGFIB38CB,新榮和段,18.45,都市：住,10000,19,持分移轉,01380000
RPRNMLMJOHLGFCB77CB,惠民段,2.70,都市：其他:第六種新市政中心,100000,90,持分移轉,00070000
RPRNMLMJOHLGFCB77CB,惠民段,1.19,都市：其他:第六種新市政中心,100000,90,持分移轉,00090000
RPRNMLMJOHLGFCB77CB,惠民段,.00,都市：其他:第六種新市政中心,100000,90,持分移轉,00090001
RPQNMLMJOHLGFCB67CB,昌明段,30.54,都市：住,10000,105,持分移轉,01980000
RPRNMLMJOHLGFCB77CB,惠民段,1.19,都市：其他:第六種新市政中心,100000,90,持分移轉,00090002
RPUNMLPLNHLGFCB48CB,文商段,6.45,都市：商,100000,323,持分移轉,00390000
RPUNMLPLNHLGFCB48CB,文商段,6.42,都市：商,100000,323,持分移轉,00400000
RPPNMLMJOHLGFFB87CB,武秀段,66.00,都市：住,1,1,全筆移轉,07890031
RPPNMLMJOHLGFFB87CB,武秀段,12.63,都市：住,10000,385,持分移轉,07890032
RPQOMLRLNHLGFCB38CB,惠民段,2.73,都市：其他:第六種新市政中心,100000,91,持分移轉,00070000
RPQOMLRLNHLGFCB38CB,惠民段,1.20,都市：其他:第六種新市政中心,100000,91,持分移轉,00090000
RPQOMLRLNHLGFCB38CB,惠民段,.00,都市：其他:第六種新市政中心,100000,91,持分移轉,00090001
RPQOMLRLNHLGFCB38CB,惠民段,1.20,都市：其他:第六種新市政中心,100000,91,持分移轉,00090002
RPSNMLMJOHLGFBB77CB,敦和段,24.19,都市：住,70000,293,持分移轉,06710000
RPRNMLLJOHLGFCB67CB,惠國段,9.74,都市：其他:第四種新市政中心專用區,100000,486,持分移轉,01780000
RPRNMLLJOHLGFCB67CB,惠國段,15.58,都市：其他:第四種新市政中心專用區,100000,486,持分移轉,01790000
RPRNMLLJOHLGFCB67CB,惠國段,12.93,都市：其他:第四種新市政中心專用區,100000,486,持分移轉,01810000
RPVNMLMJOHLGFBB08CB,敦和段,31.13,都市：住,70000,377,持分移轉,06710000
RPQNMLMJOHLGFIB28CB,新高鐵段,9.24,都市：商,100000,61,持分移轉,00280000
RPPNMLMJOHLGFIB18CB,新高鐵段,14.70,都市：商,100000,97,持分移轉,00280000
RPPNMLNJOHLGFBB57CB,溝背段,11.57,都市：商,100000,163,持分移轉,00560000
RPUNMLNJOHLGFBB08CB,太祥段,19.85,都市：住,10000,117,持分移轉,01050000
RPRNMLNJOHLGFBB77CB,溝背段,7.24,都市：商,100000,102,持分移轉,00560000
RPQNMLNJOHLGFCB77CB,永豐段,33.20,都市：住,100000,691,持分移轉,00010000
