編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLSLNHLGFFB68CB,坡道平面,1500000,31.74,地下一樓
RPPNMLPLNHLGFDB08CB,升降機械,0,14.01,地下一樓
RPSOMLPLNHLGFBB28CB,坡道平面,2850000,32.95,地下二樓
RPRNMLLJOHLGFBB57CB,坡道平面,2050000,26.29,地下三樓
RPTNMLLJOHLGFBB77CB,坡道平面,2100000,28.09,地下三樓
RPROMLPLNHLGFBB18CB,坡道平面,2350000,32.95,地下五樓含以下
RPXNMLLJOHLGFIB88CB,坡道平面,1960000,34.25,地下一樓
RPTNMLLJOHLGFCB87CB,坡道平面,4300000,37.25,地下一樓
RPTNMLLJOHLGFCB87CB,坡道平面,3800000,31.07,地下二樓
RPVNMLRLNHLGFCB78CB,坡道平面,2500000,31.27,地下二樓
RPVNMLRLNHLGFCB78CB,坡道平面,2500000,31.27,地下二樓
RPPNMLTLNHLGFCB38CB,坡道平面,2400000,39.34,地下三樓
RPPNMLTLNHLGFCB38CB,坡道平面,2400000,39.34,地下三樓
RPQNMLKMNHLGFIB28CB,坡道平面,1900000,28.16,地下三樓
RPPNMLKMNHLGFIB18CB,坡道平面,2210000,28.16,地下二樓
RPTNMLRLNHLGFCB58CB,坡道平面,2300000,31.27,地下二樓
RPTNMLRLNHLGFCB58CB,坡道平面,2300000,31.27,地下二樓
RPQNMLLJOHLGFKB38CB,坡道機械,1100000,12.90,地下一樓
RPROMLRLNHLGFCB48CB,坡道平面,2800000,15.81,地下四樓
RPPNMLPLNHLGFCB97CB,坡道平面,2600000,37.36,地下三樓
RPQNMLMJOHLGFBB57CB,坡道平面,2250000,36.33,地下三樓
RPQNMLMJOHLGFBB57CB,坡道平面,2150000,36.33,地下三樓
RPTNMLMJOHLGFBB87CB,坡道平面,2000000,36.33,地下三樓
RPUNMLMJOHLGFBB97CB,坡道平面,2250000,36.33,地下三樓
RPUNMLMJOHLGFBB97CB,坡道平面,2150000,36.33,地下三樓
RPRNMLKMNHLGFIB38CB,坡道平面,2100000,28.16,地下二樓
RPQNMLMJOHLGFCB67CB,坡道平面,2300000,35.50,地下二樓
RPRNMLMJOHLGFCB77CB,坡道平面,2400000,15.81,地下五樓含以下
RPUNMLPLNHLGFCB48CB,坡道平面,2600000,20.63,地下三樓
RPQOMLRLNHLGFCB38CB,坡道平面,2600000,15.81,地下五樓含以下
RPSNMLMJOHLGFBB77CB,坡道平面,2150000,36.33,地下三樓
RPRNMLLJOHLGFCB67CB,坡道平面,3400000,27.24,地下三樓
RPRNMLLJOHLGFCB67CB,坡道平面,3400000,27.24,地下三樓
RPRNMLLJOHLGFCB67CB,坡道平面,3400000,27.24,地下三樓
RPVNMLMJOHLGFBB08CB,坡道平面,2250000,36.33,地下三樓
RPQNMLMJOHLGFIB28CB,坡道平面,1900000,27.30,地下二樓
RPPNMLMJOHLGFIB18CB,坡道平面,1850000,27.30,地下二樓
RPPNMLNJOHLGFBB57CB,坡道平面,2330000,29.80,地下四樓
RPUNMLNJOHLGFBB08CB,坡道平面,1890000,33.36,地下三樓
RPRNMLNJOHLGFBB77CB,坡道平面,2330000,29.80,地下四樓
RPQNMLNJOHLGFCB77CB,坡道平面,2550000,31.97,地下一樓
RPQNMLNJOHLGFCB77CB,坡道平面,2550000,31.97,地下一樓
RPPNMLNJOHLGFCB67CB,坡道平面,2550000,31.97,地下一樓
RPPNMLNJOHLGFCB67CB,坡道平面,2550000,31.97,地下一樓
RPSNMLNJOHLGFBB87CB,坡道平面,2230000,29.80,地下五樓含以下
RPPNMLMJOHLGFEB77CB,坡道平面,1500000,26.50,地下二樓
RPRNMLNJOHLGFIB48CB,坡道平面,2100000,42.00,地下三樓
RPPNMLNJOHLGFKB48CB,坡道機械,1100000,12.90,地下一樓
RPUNMLLJOHLGFBB87CB,坡道平面,1800000,33.01,地下五樓含以下
RPQNMLNJOHLGFIB38CB,坡道機械,1200000,12.42,地下三樓
RPSNMLLJOHLGFBB67CB,坡道平面,2100000,28.09,地下三樓
RPQNMLNJOHLGFBB67CB,坡道平面,2330000,29.80,地下四樓
RPRNMLOJOHLGFCB97CB,坡道平面,3150000,31.25,地下三樓
RPRNMLOJOHLGFDB08CB,坡道平面,2150000,29.49,地下三樓
RPSNMLOJOHLGFDB18CB,坡道平面,2400000,29.49,地下二樓
RPUNMLPJOHLGFDB48CB,坡道平面,1900000,29.49,地下三樓
RPTNMLPJOHLGFBB18CB,坡道平面,2300000,33.90,地下二樓
