編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWOMLMLNHLGFCB58CC,坡道平面,0,28.01,地下一樓
RPPOMLLLNHLGFFB08CC,坡道機械,1500,22.03,地下四樓
RPUNMLPLNHLGFCB58CC,坡道平面,0,27.50,地下三樓
RPRNMLPLNHLGFBB18CC,坡道平面,1600,21.58,地下二樓
RPQOMLPLNHLGFCB28CC,坡道平面,0,33.17,地下一樓
RPTOMLPLNHLGFIB56CC,坡道平面,2000,24.76,地下二樓
RPWOMLPLNHLGFIB86CC,坡道平面,0,24.57,地下四樓
RPOOMLPLNHLGFFB38CC,坡道平面,1230,24.74,地下三樓
RPTNMLPLNHLGFJB56CC,坡道平面,3000,26.01,地下三樓
RPUNMLQLNHLGFBB58CC,坡道平面,0,21.53,地下二樓
RPXNMLMLNHLGFBB48CC,坡道平面,0,28.10,地下四樓
RPSNMLMLNHLGFDB18CC,坡道機械,0,6.00,地下三樓
RPPOMLMLNHLGFFB18CC,坡道平面,0,24.74,一樓
RPROMLMLNHLGFFB38CC,坡道平面,2500,27.25,地下四樓
RPVPMLQLNHLGFIB96CC,坡道平面,0,32.54,地下五樓含以下
RPVPMLQLNHLGFIB96CC,坡道平面,0,32.54,地下五樓含以下
RPOOMLQLNHLGFFB48CC,坡道平面,0,24.74,二樓含以上
RPOOMLMLNHLGFFB08CC,坡道平面,0,24.74,地下三樓
RPTNMLQLNHLGFJB66CC,坡道平面,0,30.03,地下三樓
RPQOMLQLNHLGFFB68CC,坡道平面,0,24.74,二樓含以上
RPRQMLQLNHLGFIB66CC,坡道平面,0,32.54,地下四樓
RPRQMLQLNHLGFIB66CC,坡道平面,0,32.54,地下四樓
RPWPMLRLNHLGFBB09CC,坡道平面,0,28.74,地下二樓
RPPNMLRLNHLGFHB78CC,坡道平面,0,30.32,地下二樓
RPPNMLSLNHLGFCB38CC,坡道機械,0,6.79,地下二樓
RPTNMLSLNHLGFCB78CC,升降機械,0,,地下二樓
RPRNMLSLNHLGFIB56CC,坡道平面,0,27.91,地下二樓
RPUPMLSLNHLGFCB09CC,坡道平面,0,,地下二樓
RPSOMLSLNHLGFBB68CC,坡道平面,3000,42.60,地下二樓
RPPNMLSLNHLGFCB48DC,坡道機械,0,19.87,地下五樓含以下
RPSNMLTLNHLGFBB68CC,坡道平面,3000,27.60,地下三樓
RPXNMLTLNHLGFCB66CC,坡道機械,0,14.73,地下五樓含以下
RPSNMLSLNHLGFFB98CC,坡道平面,3000,31.04,地下三樓
RPTOMLTLNHLGFCB98CC,坡道機械,0,13.55,地下二樓
RPTNMLSLNHLGFIB76CC,坡道平面,0,24.76,地下一樓
RPWNMLTLNHLGFIB17CC,坡道平面,500,28.73,地下二樓
RPPNMLTLNHLGFJB56CC,坡道平面,4000,35.34,地下一樓
RPPNMLTLNHLGFKB66CC,坡道機械,2500,14.30,地下一樓
RPQNMLKMNHLGFJB48CC,坡道平面,0,27.36,地下三樓
RPOOMLTLNHLGFKB66CC,升降機械,3000,18.22,地下二樓
RPPNMLLMNHLGFIB38CC,坡道平面,3000,17.58,地下一樓
RPSNMLLMNHLGFCB08CC,坡道機械,3000,,地下三樓
RPTNMLLJOHLGFCB97CC,坡道平面,0,33.13,地下三樓
RPPNMLLMNHLGFDB87CC,坡道平面,0,,地下一樓
RPPNMLLJOHLGFCB57CC,坡道平面,2500,23.17,地下一樓
RPWOMLLJOHLGFCB38CC,坡道機械,3000,13.02,地下五樓含以下
RPURMLLJOHLGFCB48CC,坡道機械,0,,地下二樓
RPUNMLLJOHLGFJB78CC,坡道平面,0,32.24,地下三樓
RPTNMLLJOHLGFJB68CC,坡道機械,2500,9.39,地下二樓
RPTNMLMJOHLGFCB08CC,坡道平面,0,20.10,地下四樓
RPTNMLMJOHLGFCB08CC,坡道平面,0,17.63,地下五樓含以下
RPTNMLMJOHLGFCB08CC,坡道平面,0,17.63,地下五樓含以下
RPUPMLLJOHLGFFB58CC,坡道平面,1490,24.74,二樓含以上
RPRPMLLJOHLGFFB28CC,坡道平面,1990,21.00,地下一樓
RPVPMLLJOHLGFFB68CC,坡道平面,3000,25.47,地下三樓
RPPQMLMJOHLGFCB97CC,坡道平面,0,24.82,地下一樓
RPRRMLMJOHLGFCB28CC,坡道機械,0,,地下二樓
RPPNMLMJOHLGFCB77DC,坡道機械,0,20.90,地下五樓含以下
RPQNMLMJOHLGFIB38CC,坡道平面,0,28.73,地下三樓
RPSOMLNJOHLGFCB18CC,坡道平面,0,14.76,地下五樓含以下
RPRNMLMJOHLGFHB38CC,一樓平面,0,,一樓
RPQNMLMJOHLGFFB08CC,坡道平面,0,25.21,地下一樓
RPQNMLNJOHLGFIB48CC,坡道機械,0,13.22,地下二樓
RPSPMLMJOHLGFFB48CC,坡道平面,0,24.94,地下二樓
RPVNMLNJOHLGFIB98CC,坡道平面,3500,32.54,地下二樓
RPVNMLNJOHLGFIB98CC,坡道平面,3500,32.54,地下二樓
RPVNMLNJOHLGFIB98CC,坡道平面,3500,32.54,地下三樓
RPVNMLNJOHLGFIB98CC,坡道平面,3500,32.54,地下三樓
RPTPMLOJOHLGFCB48CC,坡道平面,0,16.61,地下四樓
RPTPMLOJOHLGFCB48CC,坡道平面,0,19.56,地下四樓
RPVNMLOJOHLGFIB09CC,坡道平面,0,26.89,地下二樓
RPTNMLOJOHLGFJB98CC,坡道平面,0,31.68,地下二樓
RPWNMLOJOHLGFIB56CC,坡道平面,0,28.21,地下二樓
RPSOMLPJOHLGFCB38CC,坡道平面,0,40.26,地下三樓
RPOPMLPJOHLGFCB08CC,坡道平面,0,32.11,地下五樓含以下
RPOQMLPJOHLGFCB18CC,坡道機械,0,20.90,地下五樓含以下
RPTNMLSJOHLGFCB68CC,坡道平面,0,20.99,地下二樓
RPQNMLSJOHLGFHB88CC,坡道平面,0,30.95,地下二樓
RPUNMLSJOHLGFIB76CC,坡道平面,0,24.76,地下二樓
