編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLKLNHLGFDC28DA,17,114.70,住家用,鋼筋混凝土造,98年6月24日,十四層,六層 陽台,全筆移轉
RPVNMLKLNHLGFDC28DA,17,52.26,共用部份,鋼筋混凝土造,98年6月24日,十四層,,持分移轉
RPVNMLKLNHLGFDC28DA,17,21.62,共用部份,鋼筋混凝土造,98年6月24日,十四層,,持分移轉
RPUOMLSLNHLGFDC09DA,43,91.03,住家用,鋼筋混凝土造,72年7月12日,五層,四層 陽台,全筆移轉
RPWNMLRKOHLGFDC09DA,44,74.33,住家用,鋼筋混凝土造,71年6月3日,五層,四層 陽台,全筆移轉
RPUOMLLJOHLGFDC28DA,3,91.62,集合住宅,鋼筋混凝土造,112年9月26日,二十九層,十二層 陽台 雨遮,全筆移轉
RPUOMLLJOHLGFDC28DA,3,61.65,本建物共有部分之項目有：梯廳．排煙室．緊急昇降機．排煙室兼梯廳．管委會使用空間．陽台．雨遮．中繼消防機房．樓梯間．機械室．電梯機械室．水箱．防空避難室兼停車空間．車道．安全梯．防災中心．排風機房．垃圾儲藏室．垃圾車專用車位．台電配電場所．停車空間．機房．生活水箱．進風機房．機車停車空間．緊急發電室．污水機房．消防水池．消防泵浦機房等共２９項。,鋼筋混凝土造,112年9月26日,二十九層,,持分移轉
RPQOMLRKOHLGFDC58DA,27,29.30,住家用,鋼筋混凝土造,87年12月10日,十二層,六層 陽台,全筆移轉
RPQOMLRKOHLGFDC58DA,27,5.04,共用部份,鋼筋混凝土造,87年12月10日,十二層,,持分移轉
RPQOMLRKOHLGFDC58DA,27,1.54,共用部份,鋼筋混凝土造,87年12月10日,十二層,,持分移轉
RPQOMLRKOHLGFDC58DA,27,2.89,共用部份,鋼筋混凝土造,87年12月10日,十二層,,持分移轉
RPVNMLLKOHLGFDC38DA,57,46.86,住家用,加強磚造,58年1月6日,二層,一層,全筆移轉
