編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPVNMLKLNHLGFDC28DA,源遠段,33.90,都市：其他:住宅區(住二),100000,177,持分移轉,11250000
RPUOMLSLNHLGFDC09DA,觀音段,21.40,都市：其他:住宅區,1650,214,持分移轉,00680012
RPWNMLRKOHLGFDC09DA,新城段,19.73,都市：其他:住宅區(住二),10000,54,持分移轉,08380000
RPUOMLLJOHLGFDC28DA,港灣段三小段,12.19,都市：其他:商業區,100000,648,持分移轉,00040000
RPQOMLRKOHLGFDC58DA,新會段,2.91,都市：其他:住宅區(住二),10000,8,持分移轉,00720000
RPQOMLRKOHLGFDC58DA,新會段,.31,都市：其他:道路用地,10000,8,持分移轉,00760001
RPQOMLRKOHLGFDC58DA,新會段,.83,都市：其他:鄰里公園用地,10000,8,持分移轉,01000000
RPQOMLRKOHLGFDC58DA,新會段,.09,都市：其他:住宅區(住二),10000,8,持分移轉,01000001
RPQOMLRKOHLGFDC58DA,新會段,1.91,都市：其他:住宅區(住二),10000,8,持分移轉,01010000
RPVNMLLKOHLGFDC38DA,延年段,30.50,都市：其他:住宅區(住三),2,1,持分移轉,14990000
RPOOMLKKOHLGFDC67DA,調和段,40.98,都市：其他:住宅區(住二),10000,109,持分移轉,03900000
RPSOMLTJOHLGFDC88DA,調和段,.00,都市：其他:道路用地,100000,20,持分移轉,13590000
RPSOMLTJOHLGFDC88DA,調和段,.00,都市：其他:道路用地,100000,20,持分移轉,13590001
RPSOMLTJOHLGFDC88DA,調和段,6.79,都市：其他:住宅區(住二),100000,20,持分移轉,14150000
RPSOMLTJOHLGFDC88DA,調和段,.00,都市：其他:住宅區(住二),100000,20,持分移轉,14150001
RPSOMLTJOHLGFDC88DA,調和段,.00,都市：其他:住宅區(住一),100000,20,持分移轉,14150002
RPUNMLPLOHLGFDC78DA,培德段,71.89,都市：其他:住宅區(住二),1,1,全筆移轉,01540000
RPSNMLPLNHLGFDC48DA,東信段一小段,27.00,都市：其他:住宅區,216,27,持分移轉,00370015
