編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLKLNHLGFDC28DA,坡道平面,0,32.04,地下一樓
RPUOMLLJOHLGFDC28DA,坡道機械,1600000,17.04,地下四樓
RPROMLNLOHLGFDC38DA,坡道平面,951000,,地下一樓
RPPPMLTKNHLGFDC68DA,坡道平面,0,,地下一樓
RPUNMLTLNHLGFDC09DA,坡道平面,0,32.04,地下三樓
RPVNMLMKOHLGFDC48DA,坡道平面,0,,地下一樓
RPPNMLOLNHLGFDC08DA,坡道機械,300000,20.77,地下三樓
RPSNMLLKOHLGFDC08DA,坡道平面,0,,地下一樓
RPRNMLRKOHLGFDC58DA,坡道平面,1900000,,地下二樓
RPTNMLRJOHLGFDC68DA,坡道平面,0,,地下三樓
RPRNMLMLOHLGFDC18DA,坡道平面,0,,地下二樓
RPROMLRKOHLGFDC68DA,坡道平面,0,35.96,地下二樓
RPTNMLTKNHLGFDC88DA,坡道機械,0,17.52,地下四樓
RPTOMLSLNHLGFDC98DA,坡道機械,0,9.82,地下一樓
RPTOMLSLNHLGFDC98DA,坡道機械,0,9.82,地下一樓
RPQNMLOLOHLGFDC28DA,坡道平面,0,29.66,地下一樓
RPSOMLPKOHLGFDC58DA,坡道平面,0,33.36,地下二樓
RPPNMLQKNHLGFDC18DA,坡道平面,1500000,,地下二樓
RPVNMLPKNHLGFDC68DA,坡道平面,0,,地下一樓
RPTNMLKMMHLGFDC08DA,坡道平面,2200000,26.54,地下三樓
RPTNMLKMMHLGFDC08DA,坡道機械,1600000,17.04,地下四樓
RPUOMLQJNHLGFDC68DA,坡道平面,0,,地下一樓
RPOOMLMKOHLGFDC87DA,坡道機械,0,18.48,地下二樓
RPUOMLMKOHLGFDC48DA,坡道平面,1300000,,地下二樓
RPPNMLSKOHLGFDC48DA,坡道平面,0,,地下一樓
RPVOMLLJOHLGFDC38DA,坡道平面,1450000,20.02,地下一樓
RPWNMLLJOHLGFDC38DA,坡道平面,2100000,20.02,地下一樓
RPOOMLLJOHLGFDC67DA,坡道平面,1450000,20.02,地下一樓
RPSOMLLJOHLGFDC08DA,坡道平面,1800000,20.02,地下一樓
RPTOMLLJOHLGFDC18DA,坡道平面,1550000,20.02,地下一樓
RPPOMLLJOHLGFDC77DA,坡道平面,1400000,20.02,地下一樓
RPWOMLLJOHLGFDC48DA,坡道平面,1500000,20.02,地下一樓
RPVNMLLJOHLGFDC28DA,坡道平面,1450000,20.02,地下一樓
RPXOMLLJOHLGFDC58DA,坡道平面,1450000,20.03,地下一樓
RPXOMLLJOHLGFDC58DA,坡道平面,1450000,20.03,地下一樓
