編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUPMLMLNHLGFDC68CC,56,55.87,住家用,加強磚造,59年1月26日,二層,,
RPSNMLQLNHLGFDC68CC,27,83.06,住家用,鋼筋混凝土造,88年1月22日,五層,,
RPSNMLQLNHLGFDC68CC,27,7.72,共用部份,鋼筋混凝土造,88年1月22日,五層,,
RPSNMLQLNHLGFDC68CC,27,5.32,共用部份,鋼筋混凝土造,88年1月22日,七層,,
RPSNMLQLNHLGFDC68CC,27,34.92,共用部份,鋼筋混凝土造,88年1月22日,七層,,
RPSNMLQLNHLGFDC68CC,27,2.11,共用部份,鋼筋混凝土造,88年1月22日,七層,,
RPQNMLQLNHLGFDC48CC,29,24.89,住家用,鋼筋混凝土造,85年11月29日,二十三層,,
RPQNMLQLNHLGFDC48CC,29,4.19,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPPNMLQLNHLGFDC38CC,27,57.41,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLQLNHLGFDC48CC,29,1.54,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPPNMLQLNHLGFDC38CC,27,10.05,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPQNMLQLNHLGFDC48CC,29,1.93,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPSOMLQLNHLGFDC78CC,5,93.75,集合住宅,鋼筋混凝土造,110年10月14日,九層,,
RPPNMLQLNHLGFDC38CC,27,4.42,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPWPMLMLNHLGFDC88CC,27,67.72,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLQLNHLGFDC38CC,27,1.46,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPSOMLQLNHLGFDC78CC,5,49.46,本建物共有部分之項目有行動不便者電梯、管委會使用空間、樓電梯間、梯廳、中控警衛室、大廳、樓梯間、機械室、水箱、防空避難室兼停車空間、停車空間、走廊、配電室、警衛室、消防泵浦室、汽車坡道、機車停車空間、發電機室、電信室、防空避難室、車道、垃圾儲藏室、機房等共２３項。,鋼筋混凝土造,110年10月14日,九層,,
RPWPMLMLNHLGFDC88CC,27,15.54,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPPNMLQLNHLGFDC38CC,27,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPWPMLMLNHLGFDC88CC,27,.83,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTNMLQLNHLGFDC78CC,27,59.73,住家用,鋼筋混凝土造,88年6月5日,七層,,
RPWPMLMLNHLGFDC88CC,27,3.87,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTNMLQLNHLGFDC78CC,27,8.27,共用部份,鋼筋混凝土造,88年6月5日,七層,,
RPWPMLMLNHLGFDC88CC,27,48.96,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTNMLQLNHLGFDC78CC,27,9.14,共用部份,鋼筋混凝土造,88年6月5日,七層,,
RPWPMLMLNHLGFDC88CC,27,1.62,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPWPMLMLNHLGFDC88CC,27,.79,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTOMLQLNHLGFDC88CC,30,99.91,住家用,鋼筋混凝土造,85年11月19日,五層,,
RPWNMLMLNHLGFDC68CC,27,23.65,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPWNMLMLNHLGFDC68CC,27,5.59,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPTOMLQLNHLGFDC88CC,30,29.80,共用部份,鋼筋混凝土造,85年11月19日,五層,,
RPWNMLMLNHLGFDC68CC,27,.29,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPWNMLMLNHLGFDC68CC,27,1.35,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXNMLQLNHLGFDC56CC,45,84.20,住家用,鋼筋混凝土造,70年1月19日,五層,,
RPWNMLMLNHLGFDC68CC,27,.63,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXPMLMLNHLGFDC98CC,13,56.49,集合住宅,鋼筋混凝土造,102年3月29日,十二層,,
RPWNMLMLNHLGFDC68CC,27,.26,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPXPMLMLNHLGFDC98CC,13,23.76,本共有部分之項目有安全梯、電梯、供行動不便者使用電梯、門廳、梯廳、公共服務空間、陽台、出入口雨遮、排風、男廁、女廁、消防水箱、供管委會使用空間、機房、水錶、電錶室、受電箱室、電錶間、水電、台電配電室、污水、進風、發電機室、泳池機房、電信機房、垃圾儲存空間、受電箱通道、防空避難室兼停車空間、獎勵停車位、法定停車位、變電室、消防泵浦室及停車空間等３３項,鋼筋混凝土造,102年3月29日,十三層,,
RPOOMLQLNHLGFDC38CC,27,61.32,辦公室,鋼筋混凝土造,88年11月4日,九層,,
RPROMLQLNHLGFDC68CC,,83.00,住家用,加強磚造,,二層,,
RPOOMLQLNHLGFDC38CC,27,22.36,共用部份,鋼筋混凝土造,88年11月4日,九層,,
RPWOMLPLNHLGFDC09CC,29,41.75,住家用,鋼筋混凝土造,86年5月8日,十一層,,
RPWOMLPLNHLGFDC09CC,29,.92,共用部份,鋼筋混凝土造,86年5月8日,十一層,,
RPWOMLPLNHLGFDC09CC,29,10.02,共用部份,鋼筋混凝土造,86年5月8日,十一層,,
RPUNMLQLNHLGFDC88CC,31,86.69,住家用,鋼筋混凝土造,84年1月17日,五層,,
RPWOMLPLNHLGFDC09CC,29,.47,共用部份,鋼筋混凝土造,86年5月8日,十一層,,
RPUNMLQLNHLGFDC88CC,31,13.09,共用部份,鋼筋混凝土造,84年1月17日,五層,,
RPXNMLTLNHLGFDC86CC,33,79.99,住家用,鋼筋混凝土造,82年11月24日,四層,,
RPXNMLTLNHLGFDC86CC,33,5.94,共用部份,鋼筋混凝土造,82年11月24日,四層,,
RPPNMLTLNHLGFDC68CC,30,31.07,住家用,鋼筋混凝土造,85年4月26日,十六層,,
RPPNMLTLNHLGFDC68CC,30,6.02,共用部份,鋼筋混凝土造,85年4月26日,十六層,,
RPPNMLTLNHLGFDC68CC,30,3.75,共用部份,鋼筋混凝土造,85年4月26日,十六層,,
RPUNMLTLNHLGFDC56CC,42,60.35,住家用,鋼筋混凝土造,73年9月14日,四層,,
RPSNMLTLNHLGFDC98CC,46,80.00,住家用,鋼筋混凝土造,68年12月31日,四層,,
RPQNMLTLNHLGFDC78CC,25,31.78,商業用,鋼骨鋼筋混凝土造,90年2月21日,三十三層,,
RPQNMLTLNHLGFDC78CC,25,8.21,共用部份,鋼骨鋼筋混凝土造,90年2月21日,三十三層,,
RPQNMLTLNHLGFDC78CC,25,12.48,共用部份,鋼骨鋼筋混凝土造,90年2月21日,三十三層,,
RPVNMLTLNHLGFDC66CC,29,66.86,住家用,鋼筋混凝土造,86年6月7日,六層,,
RPVNMLTLNHLGFDC66CC,29,7.49,共用部份,鋼筋混凝土造,86年6月7日,六層,,
RPVNMLTLNHLGFDC66CC,29,3.81,共用部份,鋼筋混凝土造,86年6月7日,六層,,
RPVNMLTLNHLGFDC66CC,29,38.13,共用部份,鋼筋混凝土造,86年6月7日,六層,,
RPTNMLTLNHLGFDC09CC,56,20.09,住家用,加強磚造,59年3月18日,四層,,
RPWNMLTLNHLGFDC76CC,46,82.29,住家用,鋼筋混凝土造,69年3月8日,五層,,
RPPOMLTLNHLGFDC78CC,31,39.28,住家用,鋼筋混凝土造,84年8月21日,九層,,
RPPOMLTLNHLGFDC78CC,31,6.98,共用部份,鋼筋混凝土造,84年8月21日,九層,,
RPPNMLLJOHLGFDC77CC,46,66.64,住家用,鋼筋混凝土造,69年7月14日,五層,,
RPWNMLLJOHLGFDC48CC,44,71.64,住家用,鋼筋混凝土造,70年12月28日,五層,,
RPSNMLLJOHLGFDC08CC,28,20.91,住家用,鋼筋混凝土造,87年5月21日,五層,,
RPUNMLLJOHLGFDC28CC,30,64.73,住家用,鋼筋混凝土造,85年5月3日,五層,,
RPUNMLLJOHLGFDC28CC,30,5.87,共用部份,鋼筋混凝土造,85年5月3日,五層,,
RPUNMLLJOHLGFDC28CC,30,8.03,共用部份,鋼筋混凝土造,85年5月3日,五層,,
RPRNMLLJOHLGFDC97CC,54,200.59,住商用,加強磚造,61年8月21日,三層,,
RPTNMLLJOHLGFDC18CC,29,53.01,住家用,鋼筋混凝土造,86年5月8日,十一層,,
RPTNMLLJOHLGFDC18CC,29,1.15,共用部份,鋼筋混凝土造,86年5月8日,十一層,,
RPTNMLLJOHLGFDC18CC,29,12.38,共用部份,鋼筋混凝土造,86年5月8日,十一層,,
RPTNMLLJOHLGFDC18CC,29,.59,共用部份,鋼筋混凝土造,86年5月8日,十一層,,
RPOOMLTLNHLGFDC68CC,19,90.92,住家用,鋼筋混凝土造,96年11月16日,十層,,
RPOOMLTLNHLGFDC68CC,19,12.42,共用部份,鋼筋混凝土造,96年11月16日,十層,,
RPOOMLTLNHLGFDC68CC,19,18.03,共用部份,鋼筋混凝土造,96年11月16日,十層,,
RPXNMLLJOHLGFDC58CC,38,61.78,住家用,鋼筋混凝土造,77年7月28日,五層,,
RPROMLLJOHLGFDC08CC,30,108.60,住家用,鋼筋混凝土造,85年1月4日,十二層,,
RPROMLLJOHLGFDC08CC,30,12.37,共用部份,鋼筋混凝土造,85年1月4日,十二層,,
RPPOMLLJOHLGFDC87CC,46,108.98,住家用,鋼筋混凝土造,69年7月30日,五層,,
RPQOMLLJOHLGFDC97CC,31,75.77,住家用,鋼筋混凝土造,84年1月17日,五層,,
RPQOMLLJOHLGFDC97CC,31,15.54,共用部份,鋼筋混凝土造,84年1月17日,五層,,
RPPNMLMJOHLGFDC87CC,45,98.91,住家用,鋼筋混凝土造,70年8月21日,五層,,
RPPNMLNJOHLGFDC97CC,3,54.97,集合住宅,鋼筋混凝土造,112年6月30日,十三層,,
RPPNMLNJOHLGFDC97CC,3,24.33,本建物共有部分之項目有停車塔、緊急昇降機、排煙室、無障礙電梯、管委會使用、梯廳、機車昇降機、緊急發電機室、鋼瓶室、電信機房、水箱、防空避難室兼停車空間、消防泵浦室、台電配電場所、梯廳兼排煙室、走道、樓梯間、電梯機房、水錶室、屋頂水箱等共２０項。,鋼筋混凝土造,112年6月30日,十三層,,
RPQNMLNJOHLGFDC08CC,42,31.23,住家用,鋼筋混凝土造,73年8月30日,四層,,
RPSNMLMJOHLGFDC18CC,39,77.95,集合住宅,鋼筋混凝土造,75年12月20日,五層,,
RPRNMLMJOHLGFDC08CC,45,54.15,住家用,鋼筋混凝土造,70年7月22日,五層,,
RPPNMLLJOHLGFDC87DC,30,47.53,商業用,鋼筋混凝土造,85年3月9日,十七層,,
RPPNMLLJOHLGFDC87DC,30,.07,共用部份,鋼筋混凝土造,85年3月9日,十七層,,
RPSNMLNJOHLGFDC28CC,44,92.54,住家用,鋼筋混凝土造,70年12月7日,五層,,
RPPNMLLJOHLGFDC87DC,30,1.69,共用部份,鋼筋混凝土造,85年3月9日,十七層,,
RPPNMLLJOHLGFDC87DC,30,9.77,共用部份,鋼筋混凝土造,85年3月9日,十七層,,
RPVNMLNJOHLGFDC58CC,45,49.38,住家用,鋼筋混凝土造,70年7月30日,五層,,
RPUNMLNJOHLGFDC48CC,33,52.65,住家用,鋼筋混凝土造,82年1月11日,十二層,,
RPUNMLNJOHLGFDC48CC,33,4.01,共用部份,鋼筋混凝土造,82年1月11日,十二層,,
RPUNMLNJOHLGFDC48CC,33,9.74,共用部份,鋼筋混凝土造,82年1月11日,十二層,,
RPUNMLNJOHLGFDC48CC,33,4.38,共用部份,鋼筋混凝土造,82年1月11日,十二層,,
RPTNMLNJOHLGFDC38CC,27,77.84,住家用,鋼筋混凝土造,87年12月10日,十二層,,
RPTNMLNJOHLGFDC38CC,27,18.93,共用部份,鋼筋混凝土造,87年12月10日,十二層,,
RPTNMLNJOHLGFDC38CC,27,11.53,共用部份,鋼筋混凝土造,87年12月10日,十二層,,
RPTOMLNJOHLGFDC48CC,5,64.99,集合住宅,鋼筋混凝土造,110年10月14日,九層,,
RPTOMLNJOHLGFDC48CC,5,36.41,本建物共有部分之項目有行動不便者電梯、管委會使用空間、樓電梯間、梯廳、中控警衛室、大廳、樓梯間、機械室、水箱、防空避難室兼停車空間、停車空間、走廊、配電室、警衛室、消防泵浦室、汽車坡道、機車停車空間、發電機室、電信室、防空避難室、車道、垃圾儲藏室、機房等共２３項。,鋼筋混凝土造,110年10月14日,九層,,
RPXNMLNJOHLGFDC78CC,46,52.11,住家用,鋼筋混凝土造,69年6月11日,四層,,
RPPOMLNJOHLGFDC08CC,30,21.30,住家用,鋼筋混凝土造,85年11月29日,二十三層,,
RPPOMLNJOHLGFDC08CC,30,2.81,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPPOMLNJOHLGFDC08CC,30,1.22,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPPOMLNJOHLGFDC08CC,30,1.70,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPWNMLNJOHLGFDC68CC,29,74.35,住家用,鋼筋混凝土造,86年11月21日,十九層,,
RPWNMLNJOHLGFDC68CC,29,12.64,共用部份,鋼筋混凝土造,86年11月21日,十九層,,
RPWNMLNJOHLGFDC68CC,29,6.55,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,
RPOOMLNJOHLGFDC97CC,33,125.98,住家用,鋼筋混凝土造,81年12月16日,十二層,,
RPOOMLNJOHLGFDC97CC,33,23.85,共用部份,鋼筋混凝土造,81年12月16日,十二層,,
RPOOMLNJOHLGFDC97CC,33,3.50,共用部份,鋼筋混凝土造,81年12月16日,十八層,,
RPSOMLNJOHLGFDC38CC,31,68.36,住家用,鋼筋混凝土造,84年8月8日,六層,,
RPSOMLNJOHLGFDC38CC,31,11.61,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPSOMLNJOHLGFDC38CC,31,11.33,共用部份,鋼筋混凝土造,84年8月8日,六層,,
RPROMLNJOHLGFDC28CC,43,91.23,,鋼筋混凝土造,72年7月15日,五層,,
RPUOMLNJOHLGFDC58CC,27,65.98,住家用,鋼筋混凝土造,88年1月14日,十四層,,
RPUOMLNJOHLGFDC58CC,27,14.50,共用部份,鋼筋混凝土造,88年1月14日,十四層,,
RPUOMLNJOHLGFDC58CC,27,4.94,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPUOMLNJOHLGFDC58CC,27,1.62,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPUOMLNJOHLGFDC58CC,27,.79,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPVOMLNJOHLGFDC68CC,62,95.69,住家用,加強磚造,53年5月1日,二層,,
RPWOMLNJOHLGFDC78CC,29,24.03,住家用,鋼筋混凝土造,85年11月29日,二十三層,,
RPWOMLNJOHLGFDC78CC,29,3.89,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPWOMLNJOHLGFDC78CC,29,1.34,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPWOMLNJOHLGFDC78CC,29,1.79,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPXOMLNJOHLGFDC88CC,30,57.91,住家用,鋼筋混凝土造,85年3月9日,十五層,,
RPXOMLNJOHLGFDC88CC,30,9.82,共用部份,鋼筋混凝土造,85年3月9日,十五層,,
RPRPMLNJOHLGFDC38CC,29,22.30,住家用,鋼筋混凝土造,86年1月17日,二十層,,
RPRPMLNJOHLGFDC38CC,29,5.80,共用部份,鋼筋混凝土造,86年1月17日,二十層,,
RPRPMLNJOHLGFDC38CC,29,.42,共用部份,鋼筋混凝土造,86年1月17日,二十層,,
RPOPMLNJOHLGFDC08CC,27,57.41,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPOPMLNJOHLGFDC08CC,27,10.05,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPOPMLNJOHLGFDC08CC,27,4.42,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPOPMLNJOHLGFDC08CC,27,1.46,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPOPMLNJOHLGFDC08CC,27,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPVNMLPJOHLGFDC78CC,45,135.64,住家用,鋼筋混凝土造,70年11月16日,五層,,
RPRNMLOJOHLGFDC28CC,46,81.99,住家用,鋼筋混凝土造,69年7月29日,五層,,
RPUNMLOJOHLGFDC58CC,19,96.29,一層及夾層：店鋪，騎樓：人行道,鋼筋混凝土造,96年3月23日,八層,,
RPUNMLOJOHLGFDC58CC,19,63.30,一層及夾層：店鋪，騎樓：人行道,鋼筋混凝土造,96年3月23日,八層,,
RPTNMLPJOHLGFDC58CC,29,28.38,住家用,鋼筋混凝土造,86年11月21日,十八層,,
RPTNMLPJOHLGFDC58CC,29,6.83,共用部份,鋼筋混凝土造,86年11月21日,十八層,,
RPTNMLPJOHLGFDC58CC,29,2.50,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,
RPTNMLOJOHLGFDC48CC,18,91.41,住家用,鋼筋混凝土造,97年7月1日,七層,,
RPTNMLOJOHLGFDC48CC,18,10.59,共用部份,鋼筋混凝土造,97年7月1日,七層,,
RPTNMLOJOHLGFDC48CC,18,3.14,共用部份,鋼筋混凝土造,97年7月1日,七層,,
RPTNMLOJOHLGFDC48CC,18,15.49,共用部份,鋼筋混凝土造,97年7月1日,七層,,
RPSNMLPJOHLGFDC48CC,30,24.89,住家用,鋼筋混凝土造,85年11月29日,二十三層,,
RPSNMLPJOHLGFDC48CC,30,4.19,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPSNMLPJOHLGFDC48CC,30,1.69,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPSNMLPJOHLGFDC48CC,30,1.93,共用部份,鋼筋混凝土造,85年11月29日,二十三層,,
RPRNMLSJOHLGFDC68CC,30,56.31,住家用,鋼筋混凝土造,85年2月17日,十層,,
RPRNMLSJOHLGFDC68CC,30,6.66,共用部份,鋼筋混凝土造,85年2月17日,十層,,
RPRNMLSJOHLGFDC68CC,30,38.62,共用部份,鋼筋混凝土造,85年2月17日,十層,,
RPRNMLKKOHLGFDC97CC,43,79.29,住家用,鋼筋混凝土造,72年10月15日,五層,,
RPROMLPJOHLGFDC48CC,30,106.04,住家用,鋼筋混凝土造,85年3月9日,十六層,,
RPROMLPJOHLGFDC48CC,30,44.31,共用部份,鋼筋混凝土造,85年3月9日,十七層,,
RPROMLPJOHLGFDC48CC,30,2.87,共用部份,鋼筋混凝土造,85年3月9日,十七層,,
RPROMLPJOHLGFDC48CC,30,17.41,共用部份,鋼筋混凝土造,85年3月9日,十六層,,
RPPNMLNKOHLGFDC18DC,37,57.65,住家用,加強磚造,77年12月5日,二層,,
RPVOMLPJOHLGFDC88CC,48,54.96,住家用,鋼筋混凝土造,67年8月25日,四層,,
RPTOMLPJOHLGFDC68CC,30,105.51,住家用,鋼筋混凝土造,85年3月9日,十六層,,
RPTOMLPJOHLGFDC68CC,30,44.31,共用部份,鋼筋混凝土造,85年3月9日,十七層,,
RPTOMLPJOHLGFDC68CC,30,3.04,共用部份,鋼筋混凝土造,85年3月9日,十七層,,
RPTOMLPJOHLGFDC68CC,30,17.84,共用部份,鋼筋混凝土造,85年3月9日,十六層,,
RPQNMLSLNHLGFDC68CC,31,90.53,住家用,鋼筋混凝土造,84年11月22日,九層,,
RPQNMLSLNHLGFDC68CC,31,48.76,共用部份,鋼筋混凝土造,84年11月22日,九層,,
RPQOMLSLNHLGFDC78CC,46,61.64,住家用,鋼筋混凝土造,69年8月13日,五層,,
RPSNMLSLNHLGFDC88CC,2,58.81,集合住宅,鋼筋混凝土造,113年7月16日,十一層,,
RPUNMLSLNHLGFDC09CC,30,96.85,住家用,鋼筋混凝土造,84年12月27日,十四層,,
RPPOMLSLNHLGFDC68CC,29,74.35,住家用,鋼筋混凝土造,86年11月21日,十九層,,
RPRNMLSLNHLGFDC78CC,33,99.08,住家用,鋼筋混凝土造,82年6月18日,十五層,,
RPUNMLSLNHLGFDC09CC,30,15.71,共用部份,鋼筋混凝土造,84年12月27日,十四層,,
RPSNMLSLNHLGFDC88CC,2,61.64,本建物共有部分之項目有：管委會使用空間，辦公室，台電配電場所，受電箱室，電錶室，行動不便者電梯，安全梯，梯廳，汙水處理機房，資源回收空間，消防泵浦室，水箱，受水室，管理員室，樓梯間，電梯間，機械室，機車停車空間，停車空間，緊急發電機室，機電設備空間，電信機房，防空避難室兼停車空間等共２３項。,鋼筋混凝土造,113年7月16日,十一層,,
RPVNMLSLNHLGFDC56CC,10,49.55,集合住宅,鋼筋混凝土造,105年1月24日,二十二層,,
RPPOMLSLNHLGFDC68CC,29,12.64,共用部份,鋼筋混凝土造,86年11月21日,十九層,,
RPRNMLSLNHLGFDC78CC,33,21.69,共用部份,鋼筋混凝土造,82年6月18日,十五層,,
RPPOMLSLNHLGFDC68CC,29,6.55,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,
RPVNMLSLNHLGFDC56CC,10,.48,本共有部分之項目為受水池、安全梯、受水池機房、社區水箱、迴廊等共５項。,鋼筋混凝土造,105年1月24日,二十三層,,
RPPOMLSLNHLGFDC68CC,29,34.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,,
RPVNMLSLNHLGFDC56CC,10,20.25,本共有部分之項目為排煙室、特別安全梯、緊急昇降機、機房、樓梯間、消防水箱、水箱、電梯機房、消防中繼機房、陽台、中繼室、中繼自來水箱、雨遮、中繼消防水箱、消防泵浦室、機電空間、安全梯  、發電機室、電信室、台電配電場所、大廳、行動不便者電梯、電梯  、１Ｆ門廳、２Ｆ門廳、３Ｆ門廳、台電管道間、消防幫浦室、泵浦  、走道、停車空間、配電箱、資源回收區、４Ｆ門廳、廚餘冷藏室、  不可回收垃圾區、緊急升降機、梯廳、電信機房、５Ｆ門廳、防空避難室兼停車空間、台電專用管道、雨水回收區、雨水收集槽、雨水回收及噴灌機房、６Ｆ門廳、游泳池及中庭景觀池機房、消防幫浦機房  、電信機房室、垃圾處理空間、７Ｆ門廳、機車位、社區中心、防災中心、水景機房等共５５項。,鋼筋混凝土造,105年1月24日,二十五層,,
RPROMLSLNHLGFDC88CC,28,82.63,住家用,鋼筋混凝土造,87年10月6日,十三層,,
RPROMLSLNHLGFDC88CC,28,11.88,共用部份,鋼筋混凝土造,87年10月6日,十三層,,
RPOOMLSLNHLGFDC58CC,25,33.86,住家用,鋼筋混凝土造,90年3月8日,四層,,
RPROMLSLNHLGFDC88CC,28,14.10,共用部份,鋼筋混凝土造,87年10月6日,十四層,,
RPOOMLSLNHLGFDC58CC,25,4.23,共用部份,鋼筋混凝土造,90年3月8日,四層,,
RPPNMLSLNHLGFDC58CC,4,69.98,第五層：集合住宅；突出物一層：樓梯間,鋼筋混凝土造,111年2月19日,五層,,
RPPNMLSLNHLGFDC58CC,4,37.74,本建物共有部分之項目有停車空間、管委會使用空間、管理員室、無障礙電梯、梯廳、無障礙安全梯、樓梯間、水箱、台電配電場所、消防機房、汙水機房、機房、電信機房、發電機房等共１４項。,鋼筋混凝土造,111年2月19日,五層,,
RPSNMLRLNHLGFDC78CC,48,93.44,住家用,鋼筋混凝土加強磚造,66年12月6日,四層,,
RPTNMLSLNHLGFDC98CC,42,82.72,住家用,鋼筋混凝土造,73年2月23日,五層,,
RPTOMLTJOHLGFDC09CC,56,18.00,住家用,加強磚造,59年8月4日,二層,,
RPVNMLSKOHLGFDC56CC,45,106.80,住家用,鋼筋混凝土造,70年7月30日,五層,,
RPRNMLSKOHLGFDC78CC,27,91.37,住家用,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLSKOHLGFDC78CC,27,12.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLSKOHLGFDC78CC,27,1.11,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLSKOHLGFDC78CC,27,3.30,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLSKOHLGFDC78CC,27,41.38,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLSKOHLGFDC78CC,27,2.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
RPRNMLSKOHLGFDC78CC,27,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,,
