鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
安平區,土地,漁港段105地號,20.76,都市：其他:特定住宅專用區,,,1150611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,33719,,0.0,0,賣方賣清.土地增值稅由買方負擔.未登記建物；,RPXNMLQKOHLGFAD88DA,0.0,0.0,0.0,無,001
北區,房地(土地+建物),臺南市北區北園街８７巷１５１弄１６號,67.9,住,,,1150606,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0680728,128.57,3,2,3,有,無,6500000,50556,,0.0,0,未登記建物；,RPPRMLRKOHLGFAD58DA,128.57,0.0,0.0,無,
安南區,土地,佃西段158-13地號,15.45,住,,,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,613365,39700,,0.0,0,政府機關標讓售；,RPRNMLPKOHLGFBD28DA,0.0,0.0,0.0,無,
南區,房地(土地+建物),臺南市南區永成路二段８６３巷３３號,88.0,住,,,1150604,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0831001,175.04,5,2,3,有,無,7000000,39991,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；其他增建；未登記建物；,RPROMLQKOHLGFCD58DA,162.12,0.0,12.92,無,
鹽水區,房地(土地+建物),臺南市鹽水區土庫８４號一樓之三,9.78,,鄉村區,乙種建築用地,1150607,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820401,30.28,1,0,1,有,無,1180000,38970,,0.0,0,,RPRNMLSJOHLGFDD68DA,21.73,1.29,0.0,無,002
鹽水區,房地(土地+建物),臺南市鹽水區武廟路７０巷２號,166.59,住,,,1150604,土地1建物1車位0,全,一層,透天厝,住家用,磚木造,0601115,49.8,2,2,1,有,無,2060000,41365,,0.0,0,兄弟關係親友、員工、共有人或其他特殊關係間之交易；,RPUNMLQKOHLGFDD88DA,49.8,0.0,0.0,無,
白河區,土地,埤子頭段五汴頭小段348地號,424.0,,一般農業區,交通用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,581810,1372,,0.0,0,,RPTNMLQKOHLGFED88DA,0.0,0.0,0.0,無,
學甲區,土地,興善段88地號,61.77,商,,,1150606,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2075484,33600,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPUNMLLKOHLGFGD68DA,0.0,0.0,0.0,無,
將軍區,土地,口寮段213地號,62.0,,鄉村區,乙種建築用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1590000,25645,,0.0,0,未登記建物；,RPWNMLPKOHLGFGD66DA,0.0,0.0,0.0,無,
