編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLQKOHLGFGD66DA,43,95.85,住家用,加強磚造,72年5月26日,二層,一層 二層 陽台 騎樓,全筆移轉
RPUNMLQKOHLGFDD88DA,55,49.80,住家用,磚木造,60年11月15日,一層,一層,持分移轉
RPRNMLSJOHLGFDD68DA,33,23.02,住家用,鋼筋混凝土造,82年4月1日,四層,一層 平台,全筆移轉
RPRNMLSJOHLGFDD68DA,33,7.26,共有部分,鋼筋混凝土造,82年4月14日,四層,,持分移轉
RPTNMLSKOHLGFID86DA,,51.84,集合住宅,鋼筋混凝土造,114年12月31日,十三層,七層 陽台,全筆移轉
RPTNMLSKOHLGFID86DA,,11.36,本共有部分之項目有樓梯間、電梯間等２項,鋼筋混凝土造,114年12月31日,十三層,,持分移轉
RPTNMLSKOHLGFID86DA,,49.56,本共有部分之項目有防空避難室兼停車空間、停車空間、汽車昇降車道、管委會使用空間、集合住宅（公共空間）、樓梯間、電梯間及水箱等８項,鋼筋混凝土造,114年12月31日,十三層,,持分移轉
RPQNMLRKOHLGFED68DA,51,125.79,住宅,加強磚造,64年11月27日,三層,一層 二層 三層 陽台 夾層,全筆移轉
RPQNMLLKOHLGFID48DA,2,25.02,本共有部分之項目有停車空間等１項,鋼筋混凝土造,113年6月24日,十四層,,持分移轉
RPVNMLKKOHLGFBD18DA,1,87.99,集合住宅,鋼筋混凝土造,114年4月25日,十四層,十四層 陽台,全筆移轉
RPVNMLKKOHLGFBD18DA,1,66.70,本共有部分之項目有防空避難室兼停車空間、停車空間、管委會使用空間、電信室、門廊、安全梯空間、車道、樓梯間、排煙室、水箱、昇降機房、昇降機空間、梯廳等１３項,鋼筋混凝土造,114年4月25日,十四層,,持分移轉
RPSOMLMLOHLGFKD56DA,32,212.26,住家用,鋼筋混凝土造,83年10月22日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLMLOHLGFGD58EA,13,161.55,住家用,鋼筋混凝土造,102年6月11日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPVNMLRKOHLGFKD17DA,33,63.90,住家用,鋼筋混凝土造,82年1月20日,三層,一層 二層 三層 陽台,持分移轉
RPPRMLRKOHLGFAD58DA,47,128.57,住商用,鋼筋混凝土造,68年7月28日,三層,一層 二層 三層 地下層,全筆移轉
RPPPMLRKOHLGFAD38DA,42,8.49,共有部分,鋼筋混凝土造,73年6月13日,五層,,持分移轉
RPPPMLRKOHLGFAD38DA,42,24.90,住家用,鋼筋混凝土造,73年6月13日,五層,三層 陽台,全筆移轉
RPXNMLSKOHLGFAD09DA,45,13.09,共有部分,鋼筋混凝土造,70年10月27日,五層,,持分移轉
RPXNMLSKOHLGFAD09DA,44,34.96,住家用,鋼筋混凝土造,71年1月20日,五層,五層 陽台,全筆移轉
RPTNMLLLOHLGFID88DA,31,106.39,住家用,鋼筋混凝土造,84年9月15日,五層,三層 陽台,全筆移轉
RPTNMLLLOHLGFID88DA,31,40.28,共有部分,鋼筋混凝土造,84年9月15日,五層,,持分移轉
RPWNMLKKOHLGFAD18DA,35,19.12,住家用,鋼筋混凝土造,80年5月17日,八層,六層 陽台,全筆移轉
RPWNMLKKOHLGFAD18DA,35,8.02,共有部分,鋼筋混凝土造,80年5月17日,八層,,持分移轉
RPPNMLTJOHLGFAD28DA,23,97.02,集合住宅,鋼筋混凝土造,91年12月27日,十二層,三層 陽台,全筆移轉
RPPNMLTJOHLGFAD28DA,23,47.38,共有部分,鋼筋混凝土造,91年12月27日,十二層,,持分移轉
RPRNMLOLOHLGFID98DA,30,175.67,住家用,鋼筋混凝土造,85年1月10日,三層,一層 二層 三層 陽台 騎樓,持分移轉
RPPOMLNLOHLGFKD98DA,37,225.21,辦公室．廠房,鋼造,78年8月10日,一層,一層,全筆移轉
RPSNMLOLOHLGFAD28DA,28,10.53,共有部分,鋼筋混凝土造,87年2月19日,二十一層,,持分移轉
RPSNMLOLOHLGFAD28DA,28,30.69,住家用,鋼筋混凝土造,87年2月19日,二十一層,十八層 陽台 花台,全筆移轉
RPUNMLMKOHLGFBD28DA,3,72.71,店舖,鋼筋混凝土造,112年9月11日,十五層,一層,全筆移轉
RPUNMLMKOHLGFBD28DA,3,68.02,共有部分包括：梯廳、梯間、管委會使用空間、公共服務空間、水錶箱室、電梯機房、水箱、電信室、台電配電室、水景機房、緊急發電機室、雨水機房、停車空間、防空避難室兼停車空間、污水機房、消防機房、垃圾集中室、資源回收中心、外廊、車道、樓梯間、安全梯、無障礙樓梯、機房等２４項。,鋼筋混凝土造,112年9月11日,十五層,,持分移轉
RPSOMLOLOHLGFKD76DA,29,95.59,住商用,鋼筋混凝土造,86年1月28日,十九層,一層 二層 陽台,全筆移轉
RPSOMLOLOHLGFKD76DA,29,24.02,共有部分,鋼筋混凝土造,86年1月28日,十九層,,持分移轉
RPSOMLOLOHLGFKD76DA,29,3.79,共有部分,鋼筋混凝土造,86年1月28日,十九層,,持分移轉
RPTNMLNLOHLGFKD66DA,3,62.53,集合住宅,鋼筋混凝土構造,112年8月18日,十五層,十層 陽台,全筆移轉
RPTNMLNLOHLGFKD66DA,3,.01,店舖,鋼筋混凝土構造,112年8月18日,十五層,一層,持分移轉
RPTNMLNLOHLGFKD66DA,3,11.84,本共有部分之項目有：停車空間，防空避難室兼停車空間，公共空間，專用汙水處理設施，消防蓄水池，管委會，梯廳，環保室，車道，無障礙廁所，門廊等１１項,鋼筋混凝土構造,112年8月18日,十五層,,持分移轉
RPTNMLNLOHLGFKD66DA,3,34.40,本共有部分之項目有：停車空間，防空避難室兼停車空間，公共空間，專用汙水處理設施，消防蓄水池，管委會，梯廳，環保室，車道，無障礙廁所，門廊等１１項,鋼筋混凝土構造,112年8月18日,十五層,,持分移轉
RPTNMLNLOHLGFKD66DA,3,14.81,本共有部分之項目有：安全梯、戶外安全梯、機電空間、排煙室、梯廳、緊急升降機、電梯、管道間、電梯機械室、水箱等１０項,鋼筋混凝土構造,112年8月18日,十五層,,持分移轉
RPTNMLOLOHLGFCD58DA,2,57.69,集合住宅,鋼筋混凝土造,113年8月16日,十五層,十五層 陽台,全筆移轉
RPTNMLOLOHLGFCD58DA,2,57.28,本共有部份之項目有：防空避難室兼停車空間、停車空間、管委會使用空間、樓梯間、昇降機間、機械室、水箱、梯間、門廊、車道共１０項。,鋼筋混凝土造,113年8月16日,十五層,,持分移轉
RPROMLQKOHLGFCD58DA,32,175.04,住宅、停車空間,鋼筋混凝土造,83年10月1日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPQNMLNLOHLGFCD18DA,35,15.73,住家用,鋼筋混凝土造,80年1月22日,九層,二層 陽台 花台,全筆移轉
RPOOMLLKOHLGFCD77DA,57,85.78,住家用,補強磚造,58年8月30日,二層,一層 二層,全筆移轉
