編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTNMLSKOHLGFID86DA,坡道平面,0,33.58,地下三樓
RPQNMLLKOHLGFID48DA,坡道平面,1200000,25.02,地下二樓
RPVNMLKKOHLGFBD18DA,坡道平面,0,22.07,地下一樓
RPTNMLLLOHLGFID88DA,坡道平面,0,,地下一樓
RPPNMLTJOHLGFAD28DA,坡道平面,0,,地下一樓
RPUNMLMKOHLGFBD28DA,坡道平面,0,29.98,地下三樓
RPSOMLOLOHLGFKD76DA,坡道機械,0,,地下二樓
RPTNMLNLOHLGFKD66DA,坡道平面,0,,地下三樓
RPTNMLOLOHLGFCD58DA,坡道平面,1670000,26.25,地下一樓
RPOOMLPKOHLGFCD18DA,坡道平面,1700000,24.05,地下一樓
RPRNMLMLOHLGFCD18DA,坡道平面,0,,地下一樓
RPSNMLLKOHLGFCD08DA,坡道平面,1820000,30.34,地下一樓
RPWNMLPKOHLGFAD68DA,坡道平面,0,33.87,地下三樓
RPRNMLRKOHLGFBD48DA,坡道平面,0,34.07,地下二樓
RPRNMLRKOHLGFDD68DA,坡道平面,1830000,26.67,地下二樓
RPPNMLNJNHLGFAD57DA,坡道機械,0,,地下二樓
RPQNMLQKOHLGFKD56DA,坡道平面,0,,地下一樓
RPSNMLRKOHLGFKD86DA,坡道平面,0,,地下一樓
RPOOMLQKOHLGFKD09DA,坡道機械,0,,地下一樓
RPRPMLSLNHLGFKD07DA,坡道平面,0,25.59,地下二樓
RPQOMLLKOHLGFAD77DA,坡道機械,0,23.35,地下三樓
RPOOMLQLNHLGFKD09DA,一樓平面,1700000,23.14,一樓
RPXQMLRKOHLGFAD66DA,坡道平面,0,27.92,地下四樓
RPXOMLPKOHLGFAD88DA,坡道平面,1300000,,地下二樓
RPPNMLQKOHLGFCD38EA,坡道平面,0,,地下一樓
RPRNMLMLOHLGFBD08DA,坡道平面,0,28.13,地下二樓
RPUNMLLKOHLGFCD28DA,坡道平面,0,,地下一樓
RPQNMLMKOHLGFID58DA,坡道平面,0,,地下一樓
RPUOMLSJOHLGFAD78DA,坡道平面,0,27.75,地下二樓
RPTNMLSKOHLGFAD68DA,坡道平面,0,38.74,地下四樓
RPTNMLLLNHLGFBD08DA,一樓平面,1400000,10.73,一樓
RPTOMLMLOHLGFGD88DA,一樓平面,1000000,14.65,一樓
RPWNMLKKOHLGFKD56DA,坡道平面,0,19.23,地下三樓
RPTOMLRKOHLGFKD07DA,坡道平面,0,,地下一樓
RPVRMLRKOHLGFAD56DA,坡道平面,0,36.02,地下二樓
RPPNMLKKOHLGFBD57DA,一樓平面,1500000,21.65,一樓
RPWOMLQLNHLGFID07DA,坡道平面,1550000,33.58,地下一樓
RPUNMLLJOHLGFAD97DA,坡道平面,0,29.73,地下一樓
RPUOMLNJOHLGFAD28DA,坡道機械,750000,29.19,地下三樓
RPWNMLNKNHLGFCD58DA,其他,1150000,8.94,一樓
RPPNMLSLNHLGFID09DA,坡道平面,1520000,32.27,地下一樓
RPUNMLPKNHLGFID56DA,坡道平面,1520000,32.27,地下一樓
RPPNMLPKNHLGFID68DA,坡道平面,1850000,19.18,地下一樓
RPPNMLPKNHLGFID68DA,坡道平面,1650000,19.18,地下一樓
RPROMLRKOHLGFKD86DA,坡道平面,0,,地下二樓
RPROMLRKOHLGFKD86DA,坡道平面,0,,地下二樓
RPRNMLOJOHLGFCD18DA,坡道平面,0,33.74,地下三樓
RPPNMLLJNHLGFAD37DA,坡道平面,1000000,27.59,地下二樓
RPSOMLSKOHLGFKD07DA,坡道平面,0,22.39,地下二樓
RPPNMLKMNHLGFAD57DA,坡道平面,0,17.40,地下一樓
RPQNMLSKOHLGFAD38DA,升降機械,0,,地下二樓
RPQNMLSKOHLGFAD38DA,升降機械,0,,地下二樓
RPOOMLMKNHLGFAD57DA,坡道機械,800000,12.10,地下五樓含以下
RPXNMLSKOHLGFBD56DA,一樓平面,1300000,14.89,一樓
RPPOMLPJNHLGFKD88DA,坡道平面,0,,地下二樓
RPROMLNLOHLGFBD28DA,一樓平面,1000000,14.89,一樓
RPQNMLMLOHLGFCD08DA,一樓平面,0,,一樓
RPTNMLPJOHLGFHD98DA,一樓平面,1400000,,一樓
RPRNMLRKOHLGFID56DA,坡道平面,0,25.01,地下一樓
RPRNMLSKOHLGFKD86DA,坡道平面,0,,地下一樓
RPROMLLKOHLGFKD88DA,坡道平面,0,,地下一樓
RPOOMLNLOHLGFKD88DA,坡道平面,0,26.25,地下二樓
RPQNMLNLOHLGFBD08DA,坡道平面,1450000,29.66,地下三樓
RPRNMLSKNHLGFCD58DA,坡道平面,1600000,31.54,地下二樓
RPUNMLPLNHLGFCD68DA,坡道平面,1500000,31.54,地下二樓
RPPNMLMLOHLGFFD28DA,一樓平面,0,,一樓
RPPOMLPLOHLGFAD18DA,坡道機械,1030000,18.54,地下三樓
RPTNMLNLOHLGFID09DA,坡道平面,0,,地下一樓
RPROMLSKOHLGFKD96DA,坡道平面,0,25.59,地下二樓
RPPNMLTLOHLGFHD56DA,一樓平面,1200000,13.75,一樓
RPOQMLOLOHLGFKD56DA,坡道機械,0,21.96,地下二樓
RPXNMLKKOHLGFCD48DA,坡道平面,0,,地下一樓
RPVNMLQKOHLGFDD98DA,一樓平面,0,15.22,一樓
