鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
歸仁區,房地(土地+建物)+車位,臺南市歸仁區七甲二街57巷,33.91,,鄉村區,乙種建築用地,1150523,土地3建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,97.09,2,2,2,有,無,7580000,77197,其他,9.91,850000,,RPPNMLOLNHLGFID68CB,夏川7期,A棟2號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,30.3,住,,,1150526,土地1建物1車位2,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,198.61,4,2,2,有,無,17000000,97850,坡道平面,58.6,3300000,,RPRNMLRLNHLGFBD48CB,佳展安和,C3棟14號,
安南區,房地(土地+建物)+車位,臺南市安南區安和路四段與州南路交叉口,24.65,住,,,1150526,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,143.5,3,2,2,有,無,12530000,95271,坡道平面,29.3,1650000,,RPSNMLRLNHLGFBD58CB,佳展安和,A1棟3號,
官田區,房地(土地+建物)+車位,臺南市官田區大同街34號旁,41.65,住,,,1150525,土地1建物1車位1,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,103.77,2,2,2,有,無,7080000,69685,一樓平面,16.52,1000000,,RPUNMLRLNHLGFFD56CB,佳定-佳璽成佳,A3棟5號,
善化區,房地(土地+建物)+車位,臺南市善化區龍目井路與陽光三路交叉口,28.14,住,,,1150526,土地1建物1車位2,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,182.98,3,2,2,有,無,17540000,108754,坡道平面,55.72,3700000,,RPQNMLRLNHLGFHD98CB,佳鋐科匯,B5棟0號,
安南區,房地(土地+建物)+車位,臺南市安南區九份子大道與樂活路口,7.73,住,,,1150524,土地1建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.39,2,2,1,有,無,9320000,100000,坡道機械,7.19,1200000,,RPRNMLKMNHLGFBD87CB,?讀耶魯,C棟10號,
北區,房地(土地+建物)+車位,臺南市北區和緯路三段和文賢三街口,22.68,住,,,1150521,土地2建物1車位1,十四層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,180.41,3,2,2,有,無,27440000,171352,坡道平面,31.36,1900000,,RPOOMLLJOHLGFAD47CB,國泰原美,A棟A4-14F號,
中西區,房地(土地+建物)+車位,臺南市中西區金華新路和大涼路交叉口,14.66,其他,,,1150529,土地3建物1車位1,十六層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,197.01,3,2,2,有,無,25350000,135873,坡道平面,24.79,1950000,,RPPOMLLJOHLGFAD57CB,百慶擎川,A棟A6-16F號,
中西區,房地(土地+建物)+車位,臺南市中西區金華新路和大涼路交叉口,15.81,其他,,,1150529,土地3建物1車位1,七層,27,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,210.71,3,2,2,有,無,25900000,128819,坡道平面,24.79,1950000,,RPQOMLLJOHLGFAD67CB,百慶擎川,B棟B5-7F號,
