編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLRLNHLGFHD98CB,善新段,28.14,都市：住,10000,82,持分移轉,01020000
RPQNMLLJOHLGFID48DB,保東段,82.29,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,07880009
RPQNMLLJOHLGFID48DB,保東段,10.71,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,7693,持分移轉,07880021
RPQNMLLJOHLGFID48DB,保東段,17.10,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,6129,持分移轉,07880022
RPPNMLLJOHLGFGD08CB,忠孝南段,38.00,都市：住,100000,3056,持分移轉,06560000
RPSNMLRLNHLGFBD58CB,州南段,24.65,都市：住,10000,48,持分移轉,17500000
RPRNMLRLNHLGFBD48CB,州南段,30.30,都市：住,10000,59,持分移轉,17500000
RPPOMLLJOHLGFAD57CB,星鑽段,4.80,都市：其他:第二種觀光休閒特定專用區,10000,38,持分移轉,24130000
RPPOMLLJOHLGFAD57CB,星鑽段,6.64,都市：其他:第二種觀光休閒特定專用區,10000,38,持分移轉,24150000
RPPOMLLJOHLGFAD57CB,星鑽段,3.22,都市：其他:第二種觀光休閒特定專用區,10000,38,持分移轉,24160000
RPQOMLLJOHLGFAD67CB,星鑽段,5.18,都市：其他:第二種觀光休閒特定專用區,10000,41,持分移轉,24130000
RPQOMLLJOHLGFAD67CB,星鑽段,7.17,都市：其他:第二種觀光休閒特定專用區,10000,41,持分移轉,24150000
RPOOMLLJOHLGFAD47CB,北元段,17.51,都市：住,39000,261,持分移轉,10130000
RPOOMLLJOHLGFAD47CB,北元段,5.17,都市：住,39000,261,持分移轉,10130001
RPQOMLLJOHLGFAD67CB,星鑽段,3.47,都市：其他:第二種觀光休閒特定專用區,10000,41,持分移轉,24160000
RPSNMLLJOHLGFBD87CB,州南段,28.14,都市：住,10000,56,持分移轉,16490000
RPTNMLLJOHLGFBD97CB,州南段,28.64,都市：住,10000,57,持分移轉,16490000
RPRNMLKMNHLGFBD87CB,國安段,7.73,都市：住,100000,107,持分移轉,15610000
RPUNMLLJOHLGFBD08CB,州南段,23.62,都市：住,10000,47,持分移轉,16490000
RPQNMLLJOHLGFBD67CB,淵南段,4.37,都市：住,100000,2307,持分移轉,05190002
RPQNMLLJOHLGFBD67CB,淵南段,24.03,都市：住,100000,2307,持分移轉,05190007
RPQNMLLJOHLGFBD67CB,淵南段,.36,都市：住,100000,2307,持分移轉,05340000
RPQNMLLJOHLGFBD67CB,淵南段,1.51,都市：住,100000,2307,持分移轉,05340001
RPUNMLRLNHLGFFD56CB,隆田段,41.65,都市：住,100000,5045,持分移轉,09320000
RPPNMLNJOHLGFID58DB,二行段,23.83,都市：商,10000,373,持分移轉,05710000
RPPNMLNJOHLGFID58DB,二行段,3.32,都市：其他:道路用地,10000,122,持分移轉,04940000
RPPNMLNJOHLGFID58DB,二行段,21.01,都市：其他:道路用地,10000,370,持分移轉,05700000
RPPNMLRJOHLGFBD18CB,國安段,7.94,都市：住,100000,110,持分移轉,15610000
RPQNMLNJOHLGFID68DB,二行段,23.83,都市：商,10000,373,持分移轉,05710000
RPQNMLNJOHLGFID68DB,二行段,3.32,都市：其他:道路用地,10000,122,持分移轉,04940000
RPQNMLNJOHLGFID68DB,二行段,21.01,都市：其他:道路用地,10000,370,持分移轉,05700000
RPSNMLRJOHLGFBD48CB,國安段,8.23,都市：住,100000,114,持分移轉,15610000
RPRNMLOJOHLGFAD97CB,星鑽段,4.80,都市：其他:第二種觀光休閒特定專用區,10000,38,持分移轉,24130000
RPRNMLOJOHLGFAD97CB,星鑽段,6.64,都市：其他:第二種觀光休閒特定專用區,10000,38,持分移轉,24150000
RPRNMLOJOHLGFAD97CB,星鑽段,3.22,都市：其他:第二種觀光休閒特定專用區,10000,38,持分移轉,24160000
RPPNMLTJOHLGFHD98CB,新平段,26.25,都市：住,100000,1623,持分移轉,08050000
RPRNMLRJOHLGFBD38CB,國安段,7.73,都市：住,100000,107,持分移轉,15610000
RPPNMLOJOHLGFAD77CB,星鑽段,5.18,都市：其他:第二種觀光休閒特定專用區,10000,41,持分移轉,24130000
RPPNMLOJOHLGFAD77CB,星鑽段,7.17,都市：其他:第二種觀光休閒特定專用區,10000,41,持分移轉,24150000
RPPNMLOJOHLGFAD77CB,星鑽段,3.47,都市：其他:第二種觀光休閒特定專用區,10000,41,持分移轉,24160000
RPQNMLOJOHLGFAD87CB,星鑽段,5.18,都市：其他:第二種觀光休閒特定專用區,10000,41,持分移轉,24130000
RPQNMLOJOHLGFAD87CB,星鑽段,7.17,都市：其他:第二種觀光休閒特定專用區,10000,41,持分移轉,24150000
RPQNMLOJOHLGFAD87CB,星鑽段,3.47,都市：其他:第二種觀光休閒特定專用區,10000,41,持分移轉,24160000
RPPNMLOKOHLGFBD97CB,國安段,7.94,都市：住,100000,110,持分移轉,15610000
RPSNMLRKOHLGFBD58CB,佃西段,19.66,都市：住,10000,30,持分移轉,12670000
RPRNMLRKOHLGFBD48CB,佃西段,19.66,都市：住,10000,30,持分移轉,12670000
RPPNMLRKOHLGFBD28CB,淵南段,4.37,都市：住,100000,2307,持分移轉,05190002
RPPNMLRKOHLGFBD28CB,淵南段,24.03,都市：住,100000,2307,持分移轉,05190007
RPPNMLRKOHLGFBD28CB,淵南段,.36,都市：住,100000,2307,持分移轉,05340000
RPPNMLRKOHLGFBD28CB,淵南段,1.51,都市：住,100000,2307,持分移轉,05340001
RPTNMLRKOHLGFBD68CB,佃西段,19.66,都市：住,10000,30,持分移轉,12670000
RPQNMLRKOHLGFBD38CB,淵南段,4.15,都市：住,100000,2194,持分移轉,05190002
RPQNMLRKOHLGFBD38CB,淵南段,22.85,都市：住,100000,2194,持分移轉,05190007
RPQNMLRKOHLGFBD38CB,淵南段,.34,都市：住,100000,2194,持分移轉,05340000
RPQNMLRKOHLGFBD38CB,淵南段,1.44,都市：住,100000,2194,持分移轉,05340001
RPUNMLRKOHLGFBD78CB,國安段,24.86,都市：住,10000,49,持分移轉,16130000
RPVNMLRKOHLGFBD88CB,國安段,17.76,都市：住,10000,35,持分移轉,16130000
RPPNMLPKOHLGFCD18CB,平實段,11.82,都市：商,100000,134,持分移轉,00020000
RPPNMLPKOHLGFCD18CB,平實段,6.07,都市：住,100000,134,持分移轉,00030000
RPQNMLRJOHLGFCD38CB,平實段,7.24,都市：商,100000,82,持分移轉,00020000
RPQNMLRJOHLGFCD38CB,平實段,3.72,都市：住,100000,82,持分移轉,00030000
RPPNMLRJOHLGFCD28CB,平實段,11.74,都市：商,100000,133,持分移轉,00020000
RPPNMLRJOHLGFCD28CB,平實段,6.03,都市：住,100000,133,持分移轉,00030000
RPPNMLLKOHLGFHD38DB,善駕段,21.67,都市：住,100000,469,持分移轉,01130000
RPXNMLRKOHLGFBD09CB,國安段,10.62,都市：住,10000,25,持分移轉,17660000
RPWNMLRKOHLGFBD98CB,國安段,14.45,都市：住,10000,34,持分移轉,17660000
RPQNMLRKOHLGFCD48CB,竹篙厝段,5.88,都市：住,100000,334,持分移轉,42700000
RPQNMLRKOHLGFCD48CB,竹篙厝段,3.21,都市：住,100000,334,持分移轉,42750000
RPQNMLRKOHLGFCD48CB,竹篙厝段,1.70,都市：住,100000,334,持分移轉,42750001
RPQNMLRKOHLGFCD48CB,竹篙厝段,.80,都市：住,100000,334,持分移轉,42770000
RPQNMLRKOHLGFCD48CB,竹篙厝段,5.54,都市：住,100000,334,持分移轉,42810000
RPQNMLRKOHLGFCD48CB,竹篙厝段,.39,都市：住,100000,334,持分移轉,42820000
RPPNMLTKOHLGFHD09CB,新太段,102.36,都市：住,1,1,全筆移轉,11590001
RPQNMLLLOHLGFCD97CB,平實段,11.82,都市：商,100000,134,持分移轉,00020000
RPQNMLLLOHLGFCD97CB,平實段,6.07,都市：住,100000,134,持分移轉,00030000
RPPNMLNLOHLGFHD58CB,大同段,37.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2832,持分移轉,05220000
RPPNMLTLOHLGFAD48CB,東興段,12.89,都市：住,10000000,25109,持分移轉,09110001
RPQNMLOLOHLGFAD08CB,星鑽段,4.80,都市：其他:第二種觀光休閒特定專用區,10000,38,持分移轉,24130000
RPQNMLOLOHLGFAD08CB,星鑽段,6.64,都市：其他:第二種觀光休閒特定專用區,10000,38,持分移轉,24150000
