編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLRLNHLGFHD98CB,坡道平面,1800000,27.31,地下二樓
RPQNMLRLNHLGFHD98CB,坡道平面,1900000,28.41,地下二樓
RPPNMLLJOHLGFGD08CB,一樓平面,1110000,10.50,一樓
RPSNMLRLNHLGFBD58CB,坡道平面,1650000,29.30,地下一樓
RPRNMLRLNHLGFBD48CB,坡道平面,1650000,29.30,地下一樓
RPRNMLRLNHLGFBD48CB,坡道平面,1650000,29.30,地下一樓
RPPOMLLJOHLGFAD57CB,坡道平面,1950000,24.79,地下四樓
RPOOMLLJOHLGFAD47CB,坡道平面,1900000,31.36,地下三樓
RPQOMLLJOHLGFAD67CB,坡道平面,1950000,24.79,地下五樓含以下
RPSNMLLJOHLGFBD87CB,坡道平面,1700000,37.16,地下一樓
RPTNMLLJOHLGFBD97CB,坡道平面,1700000,37.16,地下二樓
RPRNMLKMNHLGFBD87CB,坡道機械,1200000,7.19,地下五樓含以下
RPUNMLLJOHLGFBD08CB,坡道平面,1600000,37.16,地下二樓
RPUNMLRLNHLGFFD56CB,一樓平面,1000000,16.52,一樓
RPPNMLNJOHLGFID58DB,一樓平面,1000000,13.75,一樓
RPPNMLRJOHLGFBD18CB,坡道機械,1600000,7.19,地下五樓含以下
RPQNMLNJOHLGFID68DB,一樓平面,1000000,13.75,一樓
RPSNMLRJOHLGFBD48CB,坡道平面,2000000,19.31,地下四樓
RPRNMLOJOHLGFAD97CB,坡道平面,2050000,24.79,地下二樓
RPRNMLOJOHLGFAD97CB,坡道平面,2150000,24.79,地下二樓
RPPNMLTJOHLGFHD98CB,坡道平面,1600000,36.85,地下一樓
RPRNMLRJOHLGFBD38CB,坡道機械,1200000,7.19,地下五樓含以下
RPPNMLOJOHLGFAD77CB,坡道平面,1950000,24.79,地下四樓
RPQNMLOJOHLGFAD87CB,坡道平面,2150000,24.79,地下二樓
RPQNMLOJOHLGFAD87CB,坡道平面,2050000,24.79,地下二樓
RPPNMLOKOHLGFBD97CB,坡道機械,1200000,7.19,地下五樓含以下
RPSNMLRKOHLGFBD58CB,坡道平面,1500000,24.70,地下三樓
RPRNMLRKOHLGFBD48CB,坡道平面,1500000,24.70,地下三樓
RPTNMLRKOHLGFBD68CB,坡道平面,1500000,24.70,地下三樓
RPUNMLRKOHLGFBD78CB,坡道平面,1800000,22.71,地下三樓
RPVNMLRKOHLGFBD88CB,坡道平面,1800000,23.76,地下三樓
RPPNMLPKOHLGFCD18CB,坡道平面,2050000,25.73,地下三樓
RPPNMLRJOHLGFCD28CB,坡道平面,2050000,25.73,地下三樓
RPPNMLLKOHLGFHD38DB,坡道平面,1700000,22.34,地下二樓
RPXNMLRKOHLGFBD09CB,坡道機械,1700000,28.34,地下三樓
RPWNMLRKOHLGFBD98CB,坡道平面,1700000,28.34,地下三樓
RPQNMLRKOHLGFCD48CB,坡道平面,2150000,29.24,地下三樓
RPQNMLLLOHLGFCD97CB,坡道平面,2050000,25.73,地下三樓
RPPNMLNLOHLGFHD58CB,一樓平面,1200000,13.75,一樓
RPPNMLTLOHLGFAD48CB,坡道平面,2450000,21.76,地下四樓
RPQNMLOLOHLGFAD08CB,坡道平面,2150000,24.79,地下二樓
RPPNMLNLOHLGFID78DB,坡道平面,1400000,25.09,地下一樓
RPRNMLRKOHLGFDD68CB,坡道平面,1250000,25.73,地下三樓
RPTNMLRKOHLGFDD88CB,坡道平面,1250000,25.73,地下三樓
RPQNMLRKOHLGFDD58CB,坡道平面,1250000,25.73,地下三樓
RPPNMLPJOHLGFKD88CB,坡道平面,1650000,24.87,地下三樓
RPUNMLLJOHLGFKD98CB,坡道平面,1420000,22.26,地下四樓
RPUNMLLJOHLGFKD98CB,坡道平面,1780000,22.26,地下二樓
RPRNMLLJOHLGFKD68CB,坡道平面,2000000,25.72,地下三樓
RPTNMLLJOHLGFKD88CB,坡道平面,1800000,34.17,地下三樓
RPPNMLMKOHLGFID48CB,一樓平面,1500000,15.74,一樓
RPQNMLTJOHLGFID56CB,一樓平面,1500000,15.74,一樓
RPPNMLOLNHLGFID68CB,其他,850000,9.91,一樓
