編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPSOMLLKOHLGFEE48DA,25,21.34,住家用,見使用執照,90年9月7日,六層,六層 陽台,全筆移轉
RPSOMLLKOHLGFEE48DA,25,11.57,見使用執照,見使用執照,90年9月7日,六層,,持分移轉
RPPNMLRKOHLGFDE58DA,47,56.70,住家用,鋼筋混凝土造,67年12月16日,五層,四層,全筆移轉
RPXNMLNJOHLGFDE88DA,31,34.81,商業用,鋼筋混凝土造,84年1月25日,七層,七層 陽台,全筆移轉
RPXNMLNJOHLGFDE88DA,31,11.58,見使用執照,鋼筋混凝土造,84年1月25日,七層,,持分移轉
RPPNMLRKOHLGFHE98DA,31,45.05,住家用,加強磚造,84年10月30日,一層,一層,全筆移轉
RPPNMLRKOHLGFHE98DA,31,45.05,住家用,加強磚造,84年11月15日,一層,一層,全筆移轉
RPXNMLQKOHLGFDE66DA,35,58.66,住宅,鋼筋混凝土造,80年3月14日,十九層,十五層,全筆移轉
RPXNMLQKOHLGFDE66DA,35,36.28,電樓梯間、走廊、停車空間、避難室、水箱、機械室等,鋼筋混凝土造,80年3月14日,十九層,,持分移轉
RPQNMLLLOHLGFFE38DA,33,120.14,住家用,鋼筋混凝土造,82年7月15日,十三層,四層 陽台 露台 花台,全筆移轉
RPQNMLLLOHLGFFE38DA,33,46.69,梯間、避難室、警衛室、水箱、停車空間、機械室,鋼筋混凝土造,82年7月15日,十三層,,持分移轉
RPPOMLQKOHLGFDE58DA,17,.10,辦公室,鋼筋混凝土造,98年11月30日,二十二層,地下二層,持分移轉
RPPOMLQKOHLGFDE58DA,17,16.63,本共有部分之項目有：防空避難室兼停車空間、門廳、公共服務空間、樓梯間、出入口緩衝空間、頂蓋型開放空間、門廊、機械室及水箱等項,鋼筋混凝土造,98年11月30日,二十二層,,持分移轉
RPRNMLMKOHLGFCE18DA,27,91.84,住家用,鋼骨造,88年2月9日,三十九層,二十七層 陽台,全筆移轉
RPRNMLMKOHLGFCE18DA,27,31.17,共有部份,鋼骨造,88年2月9日,三十九層,,持分移轉
