編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXNMLQKOHLGFDE66DA,坡道平面,0,,地下三樓
RPQNMLLLOHLGFFE38DA,坡道平面,0,,地下一樓
RPPOMLQKOHLGFDE58DA,坡道平面,1200000,15.65,地下四樓
RPUOMLMKOHLGFCE58DA,其他,0,,一樓
RPWNMLKKOHLGFBE38DA,坡道平面,0,28.74,地下二樓
RPSPMLKKOHLGFEE48DA,坡道平面,2100000,25.12,地下一樓
RPRNMLOLOHLGFAE28DA,坡道平面,0,18.46,地下二樓
RPQNMLNLOHLGFGE68DA,坡道平面,0,,地下一樓
RPSOMLNLOHLGFBE48DA,坡道機械,630000,5.99,地下二樓
RPXNMLRKOHLGFFE96DA,坡道平面,0,,地下二樓
RPRNMLQKOHLGFAE38DA,坡道平面,1770000,17.07,地下三樓
RPRNMLRKOHLGFCE68DA,坡道平面,0,,地下一樓
RPRPMLMLOHLGFCE48DA,坡道平面,1800000,23.54,地下二樓
RPSOMLKKOHLGFDE28DA,坡道平面,1180000,21.32,地下一樓
RPOOMLMKOHLGFBE87DA,坡道平面,0,31.77,地下二樓
RPTNMLLKOHLGFEE48DA,一樓平面,1800000,13.75,一樓
RPTNMLQKOHLGFDE88DA,坡道平面,0,26.91,地下三樓
RPQOMLSJOHLGFFE98DA,坡道平面,1700000,26.18,地下三樓
RPUOMLKKOHLGFGE78DA,其他,0,,一樓
RPSNMLSKNHLGFAE58DA,坡道平面,0,15.82,地下三樓
RPUPMLSJOHLGFEE76DA,坡道平面,2000000,27.14,地下三樓
RPQOMLRKOHLGFEE88DA,坡道平面,1900000,22.07,地下三樓
RPVOMLKLNHLGFEE68DA,坡道平面,0,23.74,地下二樓
RPRNMLQLNHLGFGE98DA,坡道平面,2300000,19.73,地下二樓
RPSPMLPKNHLGFGE09DA,坡道平面,0,23.10,地下一樓
RPPOMLQKOHLGFIE09DA,坡道平面,1700000,25.76,地下三樓
RPPOMLQKOHLGFIE09DA,坡道平面,1700000,25.76,地下三樓
RPPNMLQKOHLGFAE28EA,坡道平面,0,20.93,地下三樓
RPRNMLTJOHLGFAE58DA,坡道平面,0,21.45,地下一樓
RPTOMLSJOHLGFBE88DA,坡道機械,0,15.44,地下五樓含以下
RPRNMLTJOHLGFDE88DA,坡道平面,2500000,22.74,地下一樓
RPTNMLLKOHLGFDE38DA,坡道平面,2400000,24.71,地下一樓
RPQOMLLJOHLGFGE38DA,坡道平面,0,19.22,地下一樓
RPXNMLRKOHLGFEE86DA,坡道平面,2000000,34.67,地下三樓
RPRNMLMKOHLGFLE09DA,一樓平面,0,6.23,一樓
RPPRMLPJNHLGFEE68DA,坡道平面,0,15.71,地下一樓
RPPRMLPJNHLGFEE68DA,坡道平面,0,13.36,地下一樓
RPPNMLOKNHLGFFE38DA,一樓平面,1450000,8.26,一樓
RPTNMLQLNHLGFAE58DA,坡道機械,0,,地下四樓
RPUOMLPKNHLGFEE98DA,坡道平面,2100000,18.53,地下一樓
RPQNMLMKOHLGFAE87DA,坡道平面,0,27.14,地下四樓
RPUNMLRKOHLGFBE88DA,坡道平面,0,32.97,地下一樓
RPTNMLPLNHLGFCE68DA,坡道平面,0,,地下一樓
RPTOMLTJOHLGFCE09DA,坡道機械,0,,地下三樓
RPVNMLNJOHLGFCE58DA,坡道平面,0,,地下一樓
RPVNMLRKOHLGFEE66DA,一樓平面,0,,一樓
RPVNMLMLNHLGFDE68DA,坡道平面,2200000,33.03,地下三樓
RPVNMLPJNHLGFCE68DA,坡道機械,0,15.63,地下四樓
RPVPMLPKNHLGFDE09DA,坡道平面,2200000,33.03,地下三樓
RPTOMLNLOHLGFEE88DA,坡道平面,0,23.17,地下二樓
RPOOMLSKOHLGFEE78DA,坡道平面,0,25.78,地下二樓
RPTNMLLJOHLGFGE58DA,坡道平面,1850000,23.02,地下三樓
RPSNMLSJOHLGFGE56DA,坡道平面,1650000,25.09,地下一樓
RPTOMLSJOHLGFGE76DA,坡道平面,2150000,23.02,地下二樓
RPOPMLTKNHLGFFE98DA,坡道平面,0,27.89,地下四樓
RPROMLTJOHLGFGE66DA,坡道平面,1700000,39.14,地下三樓
RPRNMLSKNHLGFFE98DA,坡道機械,0,14.95,地下三樓
RPSOMLOJNHLGFDE48DA,坡道平面,1900000,35.94,地下三樓
RPUOMLSJOHLGFGE86DA,坡道平面,2050000,23.02,地下二樓
RPOOMLPKOHLGFGE68DA,坡道平面,0,,地下一樓
RPVNMLOJOHLGFIE66DA,坡道平面,2380000,17.81,地下一樓
RPUNMLPKOHLGFIE76DA,坡道平面,2250000,19.95,地下一樓
RPWNMLMKOHLGFIE66DA,坡道平面,2050000,17.81,地下二樓
RPWNMLQKOHLGFIE07DA,坡道平面,2000000,17.81,地下二樓
RPPSMLPJNHLGFIE56DA,坡道平面,0,33.71,地下三樓
RPWNMLOJOHLGFIE76DA,坡道平面,2230000,17.81,地下一樓
RPQNMLPLNHLGFCE38DA,坡道平面,0,20.51,地下一樓
RPSNMLLLNHLGFCE18DA,坡道平面,0,27.20,地下一樓
RPOOMLQJNHLGFEE38DA,坡道機械,0,8.11,地下二樓
RPSNMLLKOHLGFCE18DA,坡道平面,0,21.14,地下三樓
RPSNMLLKOHLGFCE18DA,坡道平面,0,21.14,地下三樓
RPOPMLQLNHLGFEE68DA,坡道機械,0,5.98,地下二樓
RPVOMLSKOHLGFEE86DA,坡道平面,0,37.93,地下二樓
RPVNMLOJOHLGFFE98DA,坡道機械,0,,地下一樓
RPSOMLMLOHLGFFE78DA,其他,1150000,8.26,一樓
RPSNMLLKOHLGFFE48DA,坡道機械,1100000,9.25,地下二樓
RPXOMLMKOHLGFEE09DA,坡道平面,1900000,21.21,地下三樓
RPROMLNLOHLGFFE78DA,坡道機械,0,11.50,地下三樓
RPUNMLKLNHLGFGE68DA,坡道平面,0,21.63,地下三樓
RPPOMLTJOHLGFGE09DA,坡道平面,1700000,39.14,地下一樓
RPUOMLRLNHLGFEE66DA,坡道平面,0,22.00,地下二樓
RPQOMLMKOHLGFGE58DA,坡道平面,2350000,19.73,地下一樓
RPTOMLSKOHLGFGE86DA,坡道平面,0,20.45,地下二樓
RPPNMLNLNHLGFIE68DA,坡道平面,0,26.75,地下二樓
RPQOMLRKOHLGFGE09DA,坡道平面,1980000,23.41,地下二樓
RPPNMLMJOHLGFJE58DA,一樓平面,1420000,28.17,一樓
RPWNMLMKOHLGFBE58DA,坡道機械,1700000,22.08,地下五樓含以下
RPRNMLQLNHLGFAE38DA,坡道平面,0,21.33,地下三樓
RPTNMLKLNHLGFCE18DA,坡道平面,0,,地下一樓
RPTNMLSJNHLGFCE78DA,坡道平面,1950000,25.29,地下三樓
RPTNMLSLNHLGFCE98DA,坡道平面,0,17.15,地下四樓
RPTNMLPKOHLGFDE78DA,坡道平面,2200000,25.89,地下一樓
RPVOMLNLOHLGFDE98DA,坡道平面,2150000,25.87,地下二樓
RPVOMLNLOHLGFDE98DA,坡道平面,2200000,27.72,地下二樓
RPSNMLRLNHLGFDE88DA,坡道平面,2500000,20.07,地下一樓
RPSNMLRLNHLGFDE88DA,坡道機械,1000000,6.57,地下二樓
RPQNMLKKNHLGFDE87DA,坡道平面,0,,地下一樓
RPQNMLKLNHLGFEE08DA,坡道平面,0,28.10,地下三樓
RPXNMLSLNHLGFDE86DA,坡道平面,2200000,20.36,地下二樓
RPUPMLNLOHLGFEE09DA,坡道機械,950000,10.05,地下一樓
RPRNMLRKOHLGFGE09DA,坡道平面,0,20.32,地下二樓
RPTNMLSKOHLGFGE76DA,坡道平面,0,18.38,地下一樓
RPTNMLMLOHLGFIE09DA,坡道平面,0,,地下二樓
RPRNMLNLOHLGFAE18DA,坡道平面,0,38.22,地下四樓
RPQNMLOLOHLGFAE18DA,坡道平面,0,39.39,地下三樓
RPRNMLQJNHLGFBE28DA,升降機械,0,,地下二樓
RPUNMLMLOHLGFBE48DA,升降平面,0,,地下一樓
RPOOMLMKOHLGFCE97DA,坡道平面,0,23.60,地下二樓
RPTNMLTLNHLGFCE09DA,坡道平面,0,34.75,地下五樓含以下
RPPNMLSKNHLGFDE58DA,坡道平面,0,,地下一樓
RPWNMLSKNHLGFBE09DA,坡道平面,2300000,22.66,地下五樓含以下
RPVNMLTJOHLGFFE86DA,坡道平面,0,19.09,地下三樓
RPVNMLTJOHLGFFE86DA,坡道平面,0,19.09,地下三樓
RPPOMLPKOHLGFEE58DA,升降機械,0,21.89,地下一樓
RPSNMLOJOHLGFEE58DA,坡道平面,0,23.42,地下二樓
RPPOMLTJOHLGFFE98DA,坡道平面,1950000,19.09,地下二樓
RPTPMLNJOHLGFEE78DA,坡道平面,2300000,21.48,地下一樓
RPVOMLRLNHLGFGE96DA,坡道機械,0,,地下一樓
RPWNMLLKOHLGFGE98DA,坡道平面,2200000,19.79,地下一樓
RPSPMLOLOHLGFEE98DA,坡道平面,0,30.31,地下二樓
RPOOMLPKOHLGFEE48DA,坡道平面,0,32.49,地下三樓
RPOOMLLKOHLGFGE28DA,坡道平面,2000000,19.79,地下三樓
RPVNMLKKOHLGFIE98DA,坡道機械,1500000,6.57,地下二樓
RPTNMLSKOHLGFIE96DA,坡道平面,1900000,16.36,地下一樓
RPUNMLLKOHLGFIE98DA,坡道平面,0,26.15,地下二樓
RPPNMLRKOHLGFAE38EA,坡道平面,0,17.91,地下三樓
RPSNMLOLOHLGFLE86DA,一樓平面,1150000,9.60,一樓
RPXNMLPKOHLGFAE88DA,坡道平面,0,21.72,地下三樓
RPPNMLKKOHLGFAE57DA,坡道平面,0,19.90,地下一樓
RPPNMLKKOHLGFAE57DA,坡道平面,0,19.90,地下一樓
RPPNMLKKOHLGFAE57DA,坡道平面,0,19.90,地下一樓
RPQNMLLJNHLGFBE67DA,坡道機械,0,8.40,地下五樓含以下
RPSNMLPLMHLGFCE48DA,坡道平面,0,,地下一樓
RPRPMLOJNHLGFEE58DA,坡道平面,0,29.84,地下五樓含以下
RPQNMLSKOHLGFAE48DA,坡道平面,2000000,31.88,地下一樓
RPTNMLSKNHLGFEE09DA,坡道平面,0,17.58,地下三樓
RPQPMLOJOHLGFGE78DA,坡道平面,0,26.42,地下三樓
RPQPMLOJOHLGFGE78DA,坡道平面,0,26.42,地下三樓
RPUOMLNJOHLGFGE98DA,坡道機械,0,25.24,地下二樓
RPQPMLTKNHLGFDE98DA,一樓平面,0,21.64,一樓
RPRNMLQKOHLGFGE98DA,坡道平面,2000000,19.73,地下二樓
RPXNMLMLMHLGFIE66DA,坡道機械,0,7.00,地下一樓
RPWOMLMJOHLGFDE78DA,坡道平面,0,34.14,地下三樓
RPWPMLPKOHLGFEE76DA,坡道平面,0,16.10,地下二樓
RPSNMLRKOHLGFAE58DA,坡道平面,0,21.33,地下五樓含以下
RPRQMLKKOHLGFEE48DA,一樓平面,2000000,20.00,一樓
RPQNMLSJMHLGFGE78DA,坡道平面,0,23.85,地下二樓
