編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMLNHLGFDE08CB,陽明段二小段,4.06,都市：住,100000,511,持分移轉,00150000
RPPNMLMLNHLGFDE08CB,陽明段二小段,7.13,都市：住,100000,511,持分移轉,00150001
RPPNMLMLNHLGFDE08CB,陽明段二小段,.57,都市：住,100000,511,持分移轉,00150002
RPPNMLQLNHLGFDE48CB,灣和段,14.35,都市：住,100000,581,持分移轉,00100000
RPPNMLQLNHLGFDE48CB,灣和段,3.00,都市：住,100000,581,持分移轉,01760000
RPQNMLTLNHLGFDE88CB,新都段,8.03,都市：商,100000,620,持分移轉,01880000
RPQNMLTLNHLGFDE88CB,新都段,2.08,都市：商,100000,620,持分移轉,01890000
RPPNMLTLNHLGFDE78CB,新都段,9.64,都市：商,100000,744,持分移轉,01880000
RPPNMLTLNHLGFDE78CB,新都段,2.50,都市：商,100000,744,持分移轉,01890000
RPPNMLOJOHLGFDE18CB,新都段,16.82,都市：住,100000,562,持分移轉,03700000
RPQNMLLJOHLGFDE97CB,義民段,4.77,都市：商,100000,131,持分移轉,12050000
RPSNMLLJOHLGFDE18CB,灣和段,12.89,都市：住,100000,522,持分移轉,00100000
RPQNMLLJOHLGFDE97CB,義民段,2.15,都市：住,100000,131,持分移轉,12040000
RPSNMLLJOHLGFDE18CB,灣和段,2.69,都市：住,100000,522,持分移轉,01760000
RPPNMLLJOHLGFBE77DB,衛武段,4.22,都市：商,100000,215,持分移轉,06580000
RPPNMLLJOHLGFBE77DB,衛武段,11.99,都市：住,100000,215,持分移轉,06610000
RPPNMLPLNHLGFBE28DB,衛武段,6.65,都市：商,100000,339,持分移轉,06580000
RPPNMLPLNHLGFBE28DB,衛武段,18.91,都市：住,100000,339,持分移轉,06610000
RPPNMLNJOHLGFBE97DB,衛武段,6.79,都市：商,100000,346,持分移轉,06580000
RPPNMLNJOHLGFBE97DB,衛武段,19.30,都市：住,100000,346,持分移轉,06610000
RPPNMLLJOHLGFDE87CB,義民段,8.38,都市：商,100000,230,持分移轉,12050000
RPPNMLLJOHLGFDE87CB,義民段,3.77,都市：住,100000,230,持分移轉,12040000
RPQNMLSLNHLGFIE66CB,金鼎段,23.24,都市：住,100000,1028,持分移轉,06140000
RPQNMLNJOHLGFBE08DB,衛武段,4.16,都市：商,100000,212,持分移轉,06580000
RPQNMLNJOHLGFBE08DB,衛武段,11.83,都市：住,100000,212,持分移轉,06610000
