鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
前鎮區,租賃房屋,高雄市前鎮區三多二路４６３號３樓,0.0,,,,1150521,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),住宅,鋼筋混凝土造,0700122,35.44,1,0,1,有,有,有,7910,223,,0.0,0,1.禁止在室內抽菸2.禁止養寵物3.禁止焚香祭拜4.禁明火烹煮,RPSNMLLLNHLGFCE28CC,整棟(戶)出租,有,1150521~1160520,有,冷氣、熱水器、冰箱,
三民區,租賃房屋,高雄市三民區鼎安路９巷２８號,0.0,,,,1150521,土地0建物0車位0,全,3,透天厝,,鋼筋混凝土造,0761201,13.11,9,0,9,有,無,有,6500,496,,0.0,0,租金總額含網路費；,RPSPMLLLNHLGFDE58CC,分租套房,無,1150701~1160630,無,冷氣、熱水器、電視機、冰箱,
岡山區,租賃房屋,高雄市岡山區後興北路１號,0.0,,,,1150521,土地0建物1車位0,全,3,透天厝,住商用,加強磚造,0660618,201.88,2,0,2,有,無,無,20000,99,,0.0,0,租金為出租人純收益。約定：承租方若辦理營登，其衍生之租賃所得稅、二代健保及因此增加之房屋稅與地價稅差額由承租方吸收。租金含2-3樓間招牌使用權；承租方負責2、3樓鋪設地板、手扶梯與輕隔間裝潢，退租時留歸出租方所有，不得抵扣押金；租金由承租方均分匯入兩位所有權人帳戶。,RPQNMLLLNHLGFFE38CC,,無,1150621~1160620,無,,
鳳山區,租賃房屋+車位,高雄市鳳山區文鳳路９３號十樓之６,0.0,,,,1150521,土地0建物1車位1,十層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1130703,107.03,2,2,1,有,有,有,23000,215,坡道平面,25.31,0,多人共同承租2；,RPVNMLLLNHLGFGE98CC,整棟(戶)出租,有,1150521~1160720,有,冷氣、熱水器、洗衣機、電視機、冰箱,
前金區,租賃房屋,高雄市前金區市中一路９９號十六樓之１２,0.0,,,,1150521,土地0建物1車位0,十六層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910618,102.86,2,1,1,有,有,有,14500,141,,0.0,0,,RPQNMLMLNHLGFAE97CC,整棟(戶)出租,有,1150521~1180520,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
鼓山區,租賃房屋,高雄市鼓山區鼓山三路１７２號,0.0,,,,1150521,土地0建物1車位0,全,2,透天厝,店舖、住宅,加強磚造,0640228,92.7,3,1,1,有,無,無,18000,194,,0.0,0,續租案件；,RPRNMLMLNHLGFAE08CC,整棟(戶)出租,無,1150526~1160412,無,冷氣、熱水器、冰箱,社會住宅代管
苓雅區,租賃房屋,高雄市苓雅區文橫二路９巷４０號,0.0,,,,1150521,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0591104,23.14,6,0,6,有,無,有,11000,475,,0.0,0,租金總額含水費；其他租金含第四台；續租案件；,RPSNMLMLNHLGFBE28CC,分租套房,無,1150701~1160630,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
苓雅區,租賃房屋,高雄市苓雅區永康街１１２號５樓,0.0,,,,1150521,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691202,16.52,6,0,6,有,無,有,6500,393,,0.0,0,租金總額含水費；其他租金含第四台；續租案件；,RPUNMLMLNHLGFBE48CC,分租套房,無,1150601~1160531,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
苓雅區,租賃房屋,高雄市苓雅區永康街１１２號４樓,0.0,,,,1150521,土地0建物0車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691202,16.52,4,0,4,有,無,有,6700,406,,0.0,0,租金總額含水費；其他租金含第四台；續租案件；,RPVNMLMLNHLGFBE58CC,分租套房,無,1150601~1150831,無,冷氣、熱水器、電視機、冰箱、有線電視、網路,一般代管
