編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLLNHLGFFE38CC,49,201.88,住商用,加強磚造,66年6月18日,三層,,
RPRNMLMLNHLGFAE08CC,51,92.70,店舖、住宅,加強磚造,64年2月28日,二層,,
RPQNMLMLNHLGFAE97CC,24,72.00,住家用,鋼筋混凝土造,91年6月18日,二十二層,,
RPQNMLMLNHLGFAE97CC,24,30.86,共有部份,鋼筋混凝土造,91年6月18日,二十二層,,
RPUNMLMLNHLGFGE98CC,39,87.33,住家用,加強磚造,76年3月12日,二層,,
RPVNMLLLNHLGFGE98CC,2,51.99,集合住宅,鋼筋混凝土,113年7月3日,十五層,,
RPVNMLLLNHLGFGE98CC,2,55.04,本共有部分之項目：防空避難室兼停車空間、停車空間、管委會使用空間、車道、公共服務空間、設備空間、梯廳、梯間、昇降機間、樓梯間、機械室、水箱等１２項,鋼筋混凝土,113年7月3日,十五層,,
RPSPMLLLNHLGFDE58CC,38,13.11,,鋼筋混凝土造,76年12月1日,三層,,
RPROMLMLNHLGFDE48CC,14,55.82,住家用,鋼筋混凝土造,101年9月27日,十五層,,
RPROMLMLNHLGFDE48CC,14,29.64,共有部份,鋼筋混凝土造,101年9月27日,十五層,,
RPSOMLMLNHLGFDE58CC,33,23.14,住家用,鋼筋混凝土造,82年10月6日,十八層,,
RPUNMLMLNHLGFIE56CC,32,34.61,住家用,鋼筋混凝土造,83年10月27日,五層,,
RPUNMLMLNHLGFIE56CC,32,4.86,住家用,鋼筋混凝土造,83年10月27日,五層,,
RPQNMLMLNHLGFIE78CC,29,180.60,住商用,鋼筋混凝土造,86年4月23日,四層,,
RPVNMLMLNHLGFIE66CC,32,128.78,住商用,鋼筋混凝土造,82年11月26日,三層,,
RPVNMLMLNHLGFIE66CC,32,12.26,住商用,鋼筋混凝土造,82年11月26日,三層,,
RPXNMLNLNHLGFAE78CC,40,22.84,集合住宅,鋼筋混凝土造,75年2月17日,十六層,,
RPXNMLNLNHLGFAE78CC,40,6.82,電梯間、樓梯間、停車場、避難室,鋼筋混凝土造,75年2月17日,十六層,,
RPXNMLNLNHLGFAE78CC,40,2.24,通道,鋼筋混凝土造,75年2月17日,十六層,,
RPQOMLMLNHLGFGE68CC,44,48.98,住家用,鋼筋混凝土造,71年2月12日,七層,,
RPQOMLMLNHLGFGE68CC,44,9.37,共有部份,鋼筋混凝土造,71年2月12日,七層,,
RPPNMLPLNHLGFAE18CC,11,246.34,集合住宅,鋼筋混凝土,104年10月13日,二十八層,,
