編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPVNMLLLNHLGFGE98CC,坡道平面,0,25.31,地下三樓
RPPNMLPLNHLGFAE18CC,坡道平面,0,30.07,地下五樓含以下
RPRNMLPLNHLGFDE68CC,坡道機械,0,6.60,地下二樓
RPPNMLNLNHLGFEE38CC,坡道機械,0,10.68,地下二樓
RPQOMLPLNHLGFEE78CC,坡道平面,0,19.37,地下二樓
RPQNMLPLNHLGFFE78CC,坡道機械,0,,地下一樓
RPQNMLQLNHLGFAE38CC,坡道平面,0,29.64,地下三樓
RPVOMLQLNHLGFAE98CC,坡道機械,0,9.45,地下一樓
RPPNMLQLNHLGFCE48CC,坡道平面,0,,地下一樓
RPXOMLQLNHLGFBE66CC,坡道平面,2500,14.65,地下二樓
RPXOMLPLNHLGFEE86CC,坡道機械,0,12.09,地下一樓
RPTOMLPLNHLGFEE09CC,坡道平面,0,30.70,地下二樓
RPWOMLQLNHLGFBE56CC,坡道平面,0,32.30,地下二樓
RPWNMLQLNHLGFEE76CC,坡道平面,0,21.56,地下三樓
RPRNMLQLNHLGFFE98CC,坡道平面,0,26.22,地下一樓
RPPNMLRLNHLGFCE58CC,坡道平面,0,,地下一樓
RPUNMLRLNHLGFEE66CC,坡道平面,0,,地下二樓
RPROMLRLNHLGFEE09CC,坡道平面,0,18.11,地下一樓
RPTOMLRLNHLGFEE66CC,坡道平面,0,,地下三樓
RPTPMLRLNHLGFEE76CC,坡道平面,0,24.05,地下三樓
RPROMLRLNHLGFGE66CC,坡道平面,0,20.32,地下三樓
RPSOMLSLNHLGFAE88CC,坡道平面,0,21.48,地下一樓
RPRNMLRLNHLGFGE56CC,坡道平面,0,21.73,地下一樓
RPTNMLSLNHLGFCE09CC,坡道機械,0,15.03,地下四樓
RPPNMLSLNHLGFEE88CC,坡道機械,0,13.54,地下二樓
RPXNMLSLNHLGFDE96CC,坡道機械,0,5.93,地下三樓
RPRNMLSLNHLGFEE09CC,坡道平面,0,9.10,地下五樓含以下
RPPOMLSLNHLGFEE98CC,坡道平面,0,28.69,地下三樓
RPTNMLSLNHLGFFE76CC,坡道平面,0,26.21,地下三樓
RPRNMLSLNHLGFGE66CC,坡道平面,0,,地下一樓
RPSNMLTLNHLGFAE88CC,坡道平面,0,31.49,地下二樓
RPUNMLTLNHLGFAE09CC,坡道機械,0,20.21,地下五樓含以下
RPPOMLTLNHLGFCE88CC,坡道平面,0,23.17,地下五樓含以下
RPWNMLTLNHLGFCE86CC,坡道平面,0,65.43,地下五樓含以下
