編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLPJOHLGFIF66DA,44,83.96,住家用,鋼筋混凝土造,70年12月30日,四層,三層 陽台,全筆移轉
RPXSMLRKOHLGFAF07DA,4,59.38,一般事務所,鋼筋混凝土造,111年8月10日,十七層,十五層 陽台,全筆移轉
RPXSMLRKOHLGFAF07DA,4,24.36,本共有部分項目有：供行動不便者之梯Ａ３梯（安全梯）、Ａ棟排煙室、行動不便電梯、緊急昇降機、水箱、Ａ棟－１水箱、Ａ棟－２水箱、Ａ棟－３水箱、Ａ棟－４水箱、Ａ１梯特別安全梯、商用Ａ棟排煙室、Ａ２梯特別安全梯、門廊３、Ａ棟梯廳、排煙室、供行動不便者之梯、機房、電梯機房、中繼水箱、消防水箱等２０項,鋼筋混凝土造,111年8月10日,十七層,,持分移轉
RPXSMLRKOHLGFAF07DA,4,48.67,本共有部分項目有：防空避難室兼停車空間、進風管道、排風管道、停車空間、廁所、機車道、汽車道、垃圾貯藏空間、發電機房、垃圾車停車區、裝卸車位、管委會空間、台電配電場所、容移回饋空間３、容移回饋空間２、容移回饋空間１、高層建築出入口緩衝空間、消防機房、電信機房、梯廳（商業門廳）、門廊２、梯廳（住宅門廳）、門廳１、門廳２、防災中心、門廊１、發電機進風、發電機排風等２８項,鋼筋混凝土造,111年8月10日,十九層,,持分移轉
RPPOMLSKOHLGFEF98DA,3,.01,一般事務所,鋼筋混凝土造,112年7月27日,二十三層,二層,持分移轉
RPPOMLSKOHLGFEF98DA,3,52.87,集合住宅,鋼筋混凝土造,112年7月27日,二十三層,十六層 陽台,全筆移轉
RPPOMLSKOHLGFEF98DA,3,17.01,本案共有部分項目有：排煙室、梯廳、Ｊ排煙室、Ｊ水箱、梯間、噴灌機房、機房、消防水箱、消防中繼機械室、電梯機房、水箱等１１項,鋼筋混凝土造,112年7月27日,二十三層,,持分移轉
RPPOMLSKOHLGFEF98DA,3,.00,本案共有部分項目有：排煙室、空調機房、梯廳、Ｋ１水箱、Ｋ２水箱、梯間、噴灌機房、機房、消防水箱、消防中繼機械室、電梯機房、水箱等１２項,鋼筋混凝土造,112年7月27日,二十三層,,持分移轉
RPPOMLSKOHLGFEF98DA,3,.39,本案共有部分項目有：共同梯廳等１項,鋼筋混凝土造,112年7月27日,二十三層,,持分移轉
