編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXSMLRKOHLGFAF07DA,坡道平面,2400000,38.64,地下三樓
RPSQMLQKOHLGFBF98DA,坡道平面,0,34.54,地下二樓
RPROMLTJOHLGFBF88DA,坡道平面,2650000,24.90,地下二樓
RPUOMLTJOHLGFBF56DA,坡道平面,2650000,24.90,地下二樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPTNMLLKOHLGFBF28DA,坡道平面,0,35.85,地下一樓
RPRNMLQKOHLGFBF68EA,坡道平面,0,7.53,地下三樓
RPVNMLMLOHLGFHF76EA,升降機械,0,,地下一樓
RPXPMLMLOHLGFBF09DA,坡道平面,0,,地下二樓
RPSOMLQKOHLGFGF66DA,坡道機械,0,,地下二樓
RPSOMLQKOHLGFGF66DA,坡道機械,0,,地下二樓
RPSOMLQKOHLGFGF66DA,坡道機械,0,,地下二樓
RPQNMLRKOHLGFGF09DA,坡道平面,0,,地下一樓
RPPNMLRKOHLGFDF68DA,坡道平面,380000,2.72,地下一樓
RPWSMLRKOHLGFAF96DA,坡道平面,0,24.00,地下三樓
RPTPMLRLNHLGFAF98DA,坡道平面,2000000,31.15,地下三樓
RPTPMLRLNHLGFAF98DA,坡道平面,2000000,31.15,地下三樓
RPTNMLLJOHLGFAF08DA,坡道平面,2000000,31.15,地下三樓
RPTNMLLJOHLGFAF08DA,坡道平面,2000000,31.15,地下三樓
RPPNMLPKOHLGFCF38DA,坡道平面,2000000,26.42,地下二樓
RPRNMLPKOHLGFCF58DA,坡道平面,1750000,22.81,地下四樓
RPWNMLNLOHLGFBF98EA,坡道平面,2000000,40.31,地下二樓
RPPOMLNLOHLGFBF28DA,坡道平面,0,26.50,地下四樓
RPSNMLSJOHLGFAF68DA,坡道機械,0,12.82,地下四樓
RPXQMLPJOHLGFBF66DA,坡道平面,2000000,30.57,地下二樓
RPRNMLKKOHLGFDF18DA,坡道平面,2350000,33.84,地下二樓
RPPNMLSKOHLGFDF88EA,坡道平面,1050000,42.08,地下五樓含以下
RPWPMLOLOHLGFBF56DA,坡道平面,2600000,24.90,地下二樓
RPOQMLOLOHLGFBF48DA,坡道平面,2600000,24.90,地下二樓
RPPTMLOLOHLGFBF88DA,坡道平面,0,21.57,地下一樓
RPPTMLOLOHLGFBF88DA,坡道平面,0,21.57,地下一樓
RPQNMLPLOHLGFEF88EA,坡道平面,0,30.84,地下三樓
RPXNMLMLOHLGFCF98DA,坡道平面,1750000,38.09,地下二樓
RPQOMLSJOHLGFCF78DA,坡道平面,2700000,22.77,地下一樓
RPVOMLOJOHLGFHF76DA,坡道平面,2600000,34.20,地下二樓
RPQOMLSKOHLGFBF78DA,坡道平面,0,27.06,地下三樓
RPQNMLLLOHLGFBF08DA,坡道機械,1300000,17.70,地下一樓
RPUTMLOLOHLGFBF76DA,坡道平面,2600000,39.24,地下二樓
RPWNMLPLOHLGFEF86EA,坡道平面,1500000,15.00,地下一樓
RPPOMLTLOHLGFHF96EA,坡道機械,1800000,,地下二樓
RPOTMLRKOHLGFAF88DA,坡道平面,0,30.05,地下四樓
RPXOMLLLNHLGFAF68DA,坡道平面,2000000,34.26,地下二樓
RPSOMLTJOHLGFHF96DA,坡道平面,2500000,32.19,地下五樓含以下
RPROMLTJOHLGFHF86DA,坡道平面,2350000,34.06,地下四樓
RPTNMLMLOHLGFDF68DA,坡道平面,1600000,43.82,地下一樓
RPWOMLKKOHLGFHF56DA,坡道平面,2500000,36.91,地下一樓
RPQRMLKKOHLGFBF28DA,坡道平面,0,33.15,地下一樓
RPQRMLKKOHLGFBF28DA,坡道平面,0,33.15,地下一樓
RPWNMLPKOHLGFBF98DA,坡道機械,0,15.47,地下一樓
RPQOMLQKOHLGFBF58DA,坡道平面,0,26.60,地下二樓
RPUNMLMKOHLGFDF68DA,坡道機械,832000,21.35,地下五樓含以下
RPXPMLQLNHLGFBF76DA,坡道平面,1950000,24.35,地下二樓
RPUOMLQKOHLGFHF96DA,坡道平面,0,26.55,地下一樓
RPROMLRKOHLGFHF76DA,坡道平面,0,,地下二樓
RPOOMLMKOHLGFIF68DA,坡道平面,0,29.80,地下二樓
RPQNMLQKOHLGFHF56EA,坡道平面,0,,地下二樓
RPTNMLTJOHLGFAF88DA,坡道機械,1800000,8.75,地下四樓
RPQNMLRKOHLGFEF98EA,坡道機械,0,26.53,地下四樓
RPSNMLRKOHLGFEF56EA,坡道平面,650000,29.92,地下三樓
RPVUMLQKOHLGFAF96DA,坡道機械,0,19.86,地下三樓
RPQPMLSKOHLGFAF78DA,坡道平面,2100000,30.05,地下四樓
RPXQMLKKOHLGFBF88DA,坡道平面,2000000,26.09,地下二樓
RPRPMLMKOHLGFBF38DA,坡道平面,0,,地下二樓
RPTNMLSKOHLGFDF56DA,坡道平面,2800000,30.85,地下三樓
RPUOMLPKOHLGFBF88DA,坡道平面,0,,地下一樓
RPWNMLOJOHLGFBF78DA,坡道平面,1800000,25.18,地下二樓
RPXNMLRKOHLGFGF17DA,坡道平面,0,30.73,地下三樓
RPPOMLKKOHLGFHF48DA,坡道平面,0,29.34,地下一樓
RPTNMLSKOHLGFGF86DA,坡道平面,2100000,34.02,地下三樓
RPQNMLRKOHLGFAF58EA,坡道平面,0,23.98,地下二樓
RPVOMLPKOHLGFEF76EA,坡道平面,1630000,27.41,地下三樓
RPVOMLPKOHLGFEF76EA,坡道平面,1600000,27.41,地下三樓
RPRNMLRKOHLGFGF66EA,坡道平面,2800000,32.28,地下三樓
RPSNMLRKOHLGFGF76EA,坡道平面,2500000,36.37,地下四樓
RPSNMLRKOHLGFGF76EA,坡道平面,2500000,36.37,地下四樓
RPPSMLPKOHLGFAF68DA,坡道平面,2000000,27.23,地下二樓
RPOOMLPKOHLGFBF28DA,坡道平面,0,,地下三樓
RPOOMLPKOHLGFBF28DA,坡道平面,0,,地下三樓
RPPNMLOLOHLGFCF38DA,坡道平面,2600000,30.49,地下三樓
RPOOMLSJOHLGFBF48DA,坡道平面,1900000,34.71,地下二樓
