鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
三重區,房地(土地+建物)+車位,新北市三重區大同南路172巷,22.96,住,,,1150522,土地5建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.9,3,2,2,有,無,28800000,237491,坡道平面,35.58,2600000,,RPQNMLMLNHLGFGF58CB,圓富ONE,A7棟09號,
三重區,房地(土地+建物),新北市三重區大同南路172巷,17.14,住,,,1150522,土地5建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.97,2,2,2,有,無,19690000,237315,,0.0,0,,RPSNMLMLNHLGFGF78CB,圓富ONE,A8棟08號,
三重區,房地(土地+建物),新北市三重區大同南路172巷,14.64,住,,,1150522,土地5建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.88,2,2,1,有,無,17320000,244357,,0.0,0,,RPTNMLMLNHLGFGF88CB,圓富ONE,A6棟10號,
三重區,房地(土地+建物),新北市三重區大同南路172巷,14.64,住,,,1150522,土地5建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,70.88,2,2,1,有,無,17190000,242523,,0.0,0,,RPUNMLMLNHLGFGF98CB,圓富ONE,A6棟08號,
淡水區,房地(土地+建物)+車位,新北市淡水區中正東路一段45號旁,28.32,住,,,1150523,土地7建物1車位1,十二層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,189.42,3,1,2,有,無,27780000,161327,坡道平面,29.31,1950000,,RPPNMLNLNHLGFEF48DB,水美慕河,A棟12號,
五股區,房地(土地+建物)+車位,新北市五股區新城八路,19.27,住,,,1150521,土地1建物1車位1,十一層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,92.91,2,1,1,有,無,12700000,162458,坡道機械,25.2,1700000,,RPSNMLPLNHLGFBF58CB,璨美家,C棟11號,
五股區,房地(土地+建物)+車位,新北市五股區新城八路,26.26,住,,,1150524,土地1建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,117.37,3,1,2,有,無,17200000,162200,坡道平面,25.2,2250000,,RPVNMLPLNHLGFBF88CB,璨美家,B棟6號,
林口區,房地(土地+建物)+車位,新北市林口區文化二路與吉祥路交叉口,10.4,商,,,1150523,土地1建物1車位1,七層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,118.28,0,0,0,無,無,20220000,193347,坡道平面,26.89,2550000,,RPWNMLPLNHLGFBF98CB,立軒天蒔,A11棟07F號,
林口區,房地(土地+建物)+車位,新北市林口區文化二路與吉祥路交叉口,10.4,商,,,1150523,土地1建物1車位1,八層,18,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,,118.28,0,0,0,無,無,20220000,193347,坡道平面,26.89,2550000,,RPXNMLPLNHLGFBF09CB,立軒天蒔,A11棟08F號,
