編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLQLNHLGFGF09CB,大同南段,15.64,都市：住,1000000,10417,持分移轉,13850000
RPRNMLQLNHLGFGF09CB,大同南段,.37,都市：住,1000000,10417,持分移轉,13860000
RPRNMLQLNHLGFGF09CB,大同南段,.59,都市：住,1000000,10417,持分移轉,13870000
RPRNMLQLNHLGFGF09CB,大同南段,.64,都市：住,1000000,10417,持分移轉,13880000
RPRNMLQLNHLGFGF09CB,大同南段,.07,都市：住,1000000,10417,持分移轉,14690001
RPWNMLPLNHLGFBF98CB,力行段,10.40,都市：商,1000000,6678,持分移轉,01790000
RPVNMLPLNHLGFBF88CB,芳洲段,26.26,都市：住,10000,289,持分移轉,00530000
RPSNMLPLNHLGFBF58CB,芳洲段,19.27,都市：住,10000,212,持分移轉,00530000
RPVNMLQLNHLGFBF98CB,中泰段,3.80,都市：住,100000,983,持分移轉,04820000
RPVNMLQLNHLGFBF98CB,中泰段,2.53,都市：住,100000,983,持分移轉,04830000
RPVNMLQLNHLGFBF98CB,中泰段,6.93,都市：住,100000,983,持分移轉,04840000
RPVNMLQLNHLGFBF98CB,中泰段,7.07,都市：住,100000,983,持分移轉,04850000
RPPNMLQLNHLGFAF28CB,明德段,6.98,都市：住,100000,732,持分移轉,02120000
RPPNMLQLNHLGFAF28CB,明德段,10.46,都市：住,100000,732,持分移轉,02130000
RPRNMLQLNHLGFAF48CB,永翠段,2.31,都市：住,100000,246,持分移轉,00760000
RPRNMLQLNHLGFAF48CB,永翠段,1.76,都市：住,100000,246,持分移轉,00770000
RPRNMLQLNHLGFAF48CB,永翠段,1.65,都市：住,100000,246,持分移轉,00780000
RPRNMLQLNHLGFAF48CB,永翠段,.53,都市：住,100000,246,持分移轉,00790000
RPRNMLQLNHLGFAF48CB,永翠段,7.45,都市：住,100000,246,持分移轉,00800000
RPRNMLQLNHLGFAF48CB,永翠段,.15,都市：住,100000,246,持分移轉,00810000
RPRNMLQLNHLGFAF48CB,永翠段,.19,都市：住,100000,246,持分移轉,00820000
RPRNMLQLNHLGFAF48CB,永翠段,.22,都市：住,100000,246,持分移轉,00830000
RPSNMLQLNHLGFAF58CB,中正段,11.69,都市：其他:零售市場用地,100000,1241,持分移轉,04450000
RPSNMLQLNHLGFAF58CB,中正段,8.63,都市：其他:零售市場用地,100000,1241,持分移轉,04470000
RPSNMLQLNHLGFAF58CB,中正段,.00,都市：其他:零售市場用地,100000,1241,持分移轉,04440001
RPXNMLPLNHLGFBF09CB,力行段,10.40,都市：商,1000000,6678,持分移轉,01790000
RPTNMLMLNHLGFGF88CB,大同南段,13.23,都市：住,1000000,8814,持分移轉,13850000
RPTNMLMLNHLGFGF88CB,大同南段,.31,都市：住,1000000,8814,持分移轉,13860000
RPTNMLMLNHLGFGF88CB,大同南段,.50,都市：住,1000000,8814,持分移轉,13870000
RPTNMLMLNHLGFGF88CB,大同南段,.54,都市：住,1000000,8814,持分移轉,13880000
RPTNMLMLNHLGFGF88CB,大同南段,.06,都市：住,1000000,8814,持分移轉,14690001
RPSNMLMLNHLGFGF78CB,大同南段,15.49,都市：住,1000000,10317,持分移轉,13850000
RPSNMLMLNHLGFGF78CB,大同南段,.37,都市：住,1000000,10317,持分移轉,13860000
RPSNMLMLNHLGFGF78CB,大同南段,.59,都市：住,1000000,10317,持分移轉,13870000
RPSNMLMLNHLGFGF78CB,大同南段,.64,都市：住,1000000,10317,持分移轉,13880000
RPSNMLMLNHLGFGF78CB,大同南段,.06,都市：住,1000000,10317,持分移轉,14690001
RPWNMLQLNHLGFBF09CB,中泰段,15.62,都市：住,100000,1912,持分移轉,04710000
RPWNMLQLNHLGFBF09CB,中泰段,1.01,都市：住,100000,1912,持分移轉,04770001
RPQNMLQLNHLGFAF38CB,永翠段,1.49,都市：住,100000,159,持分移轉,00760000
RPQNMLQLNHLGFAF38CB,永翠段,1.14,都市：住,100000,159,持分移轉,00770000
RPQNMLQLNHLGFAF38CB,永翠段,1.07,都市：住,100000,159,持分移轉,00780000
RPQNMLQLNHLGFAF38CB,永翠段,.35,都市：住,100000,159,持分移轉,00790000
RPQNMLQLNHLGFAF38CB,永翠段,4.81,都市：住,100000,159,持分移轉,00800000
RPQNMLQLNHLGFAF38CB,永翠段,.10,都市：住,100000,159,持分移轉,00810000
RPQNMLQLNHLGFAF38CB,永翠段,.12,都市：住,100000,159,持分移轉,00820000
RPQNMLQLNHLGFAF38CB,永翠段,.14,都市：住,100000,159,持分移轉,00830000
RPQNMLMLNHLGFGF58CB,大同南段,20.74,都市：住,1000000,13818,持分移轉,13850000
RPQNMLMLNHLGFGF58CB,大同南段,.49,都市：住,1000000,13818,持分移轉,13860000
RPQNMLMLNHLGFGF58CB,大同南段,.79,都市：住,1000000,13818,持分移轉,13870000
RPQNMLMLNHLGFGF58CB,大同南段,.85,都市：住,1000000,13818,持分移轉,13880000
RPQNMLMLNHLGFGF58CB,大同南段,.09,都市：住,1000000,13818,持分移轉,14690001
RPPNMLQLNHLGFEF68CB,公司田段,24.97,都市：住,10000,212,持分移轉,01190000
RPXNMLQLNHLGFBF56CB,中泰段,11.66,都市：住,100000,1427,持分移轉,04710000
RPXNMLQLNHLGFBF56CB,中泰段,.75,都市：住,100000,1427,持分移轉,04770001
RPQOMLPLNHLGFAF48DB,江子翠段第一崁小段,.04,都市：住,100000,682,持分移轉,00220006
RPQOMLPLNHLGFAF48DB,江子翠段第一崁小段,14.32,都市：住,100000,682,持分移轉,00230004
RPQOMLPLNHLGFAF48DB,江子翠段第一崁小段,.04,都市：住,100000,682,持分移轉,00230006
RPQOMLPLNHLGFAF48DB,江子翠段第一崁小段,.06,都市：住,100000,682,持分移轉,00230017
RPQOMLPLNHLGFAF48DB,江子翠段第一崁小段,.48,都市：住,100000,682,持分移轉,00230020
RPQOMLPLNHLGFAF48DB,江子翠段第一崁小段,.08,都市：住,100000,682,持分移轉,00230023
RPQOMLPLNHLGFAF48DB,江子翠段第一崁小段,.50,都市：住,100000,682,持分移轉,00230024
RPQOMLPLNHLGFAF48DB,江子翠段第一崁小段,.12,都市：住,100000,682,持分移轉,00280000
RPQOMLPLNHLGFAF48DB,江子翠段第一崁小段,2.73,都市：住,100000,682,持分移轉,00290006
RPUNMLMLNHLGFGF98CB,大同南段,13.23,都市：住,1000000,8814,持分移轉,13850000
RPUNMLMLNHLGFGF98CB,大同南段,.31,都市：住,1000000,8814,持分移轉,13860000
RPUNMLMLNHLGFGF98CB,大同南段,.50,都市：住,1000000,8814,持分移轉,13870000
