編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLQLNHLGFGF09CB,坡道平面,2500000,30.68,地下三樓
RPWNMLPLNHLGFBF98CB,坡道平面,2550000,26.89,地下三樓
RPVNMLPLNHLGFBF88CB,坡道平面,2250000,25.20,地下二樓
RPSNMLPLNHLGFBF58CB,坡道機械,1700000,25.20,地下二樓
RPVNMLQLNHLGFBF98CB,坡道平面,2550000,29.80,地下四樓
RPPNMLQLNHLGFAF28CB,坡道平面,2600000,24.75,地下四樓
RPRNMLQLNHLGFAF48CB,坡道平面,3000000,20.10,地下二樓
RPSNMLQLNHLGFAF58CB,坡道平面,2000000,32.26,地下三樓
RPXNMLPLNHLGFBF09CB,坡道平面,2550000,26.89,地下三樓
RPWNMLQLNHLGFBF09CB,坡道平面,2550000,34.93,地下四樓
RPQNMLQLNHLGFAF38CB,坡道平面,2700000,18.48,地下四樓
RPQNMLMLNHLGFGF58CB,坡道平面,2600000,35.58,地下三樓
RPPNMLQLNHLGFEF68CB,坡道平面,2000000,36.94,地下二樓
RPQOMLPLNHLGFAF48DB,坡道平面,3000000,35.48,地下三樓
RPSNMLQLNHLGFAF68DB,坡道平面,2600000,35.48,地下五樓含以下
RPPNMLQLNHLGFAF38DB,坡道平面,2800000,35.48,地下四樓
RPOOMLPLNHLGFAF28DB,坡道平面,3000000,35.48,地下三樓
RPRNMLQLNHLGFAF58DB,坡道平面,3300000,35.48,地下二樓
RPQNMLQLNHLGFAF48DB,坡道平面,3300000,35.48,地下二樓
RPPNMLNLNHLGFEF48DB,坡道平面,1950000,29.31,地下四樓
RPWNMLRLNHLGFAF09CB,坡道平面,2680000,29.82,地下五樓含以下
RPVNMLRLNHLGFAF98CB,坡道平面,2780000,29.82,地下五樓含以下
RPXNMLRLNHLGFAF56CB,坡道平面,2680000,29.82,地下五樓含以下
RPSNMLQLNHLGFGF56CB,坡道平面,2800000,35.58,地下二樓
RPXNMLSLNHLGFBF76CB,坡道平面,2150000,28.14,地下二樓
RPPNMLRLNHLGFAF48DB,坡道平面,3000000,35.48,地下三樓
RPWNMLQLNHLGFDF76DB,坡道平面,2600000,34.05,地下四樓
RPPNMLSLNHLGFBF58CB,坡道平面,2450000,31.44,地下二樓
RPVNMLQLNHLGFDF66DB,坡道平面,2400000,34.05,地下四樓
RPXNMLQLNHLGFDF86DB,坡道平面,2600000,34.05,地下四樓
RPTNMLQLNHLGFDF09DB,坡道平面,2600000,34.05,地下四樓
RPTNMLQLNHLGFDF09DB,坡道平面,2600000,34.05,地下四樓
RPQNMLTLNHLGFAF68CB,坡道平面,3000000,41.66,地下二樓
RPSNMLTLNHLGFAF88CB,坡道平面,2800000,41.66,地下四樓
RPPNMLSLNHLGFAF58DB,坡道平面,3000000,32.70,地下三樓
RPUNMLTLNHLGFBF56CB,坡道平面,2800000,42.11,地下一樓
RPRNMLLJOHLGFAF87CB,坡道平面,3000000,41.66,地下二樓
