鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
新店區,租賃房屋+車位,新北市新店區寶橋路２３５巷５號４樓,0.0,,,,1150521,土地0建物1車位2,四層,8,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0780112,448.76,0,0,0,無,有,無,110000,245,坡道平面,0.0,0,租金總額含稅；,RPTNMLKLNHLGFCF38CC,,有,1150521~1180520,有,,
板橋區,租賃房屋,新北市板橋區文化路二段３７２號５樓,0.0,,,,1150521,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660202,17.22,7,1,7,有,無,有,12100,703,,0.0,0,,RPOPMLLLNHLGFAF97CC,分租套房,無,1150521~1160520,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
新店區,租賃房屋,新北市新店區中央路１２７巷４號,0.0,,,,1150521,土地0建物1車位0,一層,13,住宅大樓(11層含以上有電梯),店舖．儲藏室,鋼筋混凝土造,0851230,67.14,0,0,0,無,有,無,30000,447,,0.0,0,承租人負責申報及繳交租賃所得稅10％及二代健保補充保費2.11％。,RPRNMLLLNHLGFCF28CC,,有,1150531~1170430,有,冷氣、熱水器,
板橋區,租賃房屋,新北市板橋區自強新村９６號１樓,0.0,,,,1150521,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0631130,85.94,3,2,2,有,無,有,28000,326,,0.0,0,,RPSNMLMLNHLGFAF28CC,整棟(戶)出租,無,1150601~1160531,無,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
板橋區,租賃房屋,新北市板橋區中正路２５巷２弄９號３樓,0.0,,,,1150521,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740812,116.24,4,2,2,有,無,有,28000,241,,0.0,0,,RPWNMLMLNHLGFAF68CC,整棟(戶)出租,無,1150604~1160603,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
板橋區,租賃房屋,新北市板橋區中山路二段１４８巷７弄３號,0.0,,,,1150522,土地0建物0車位0,全,2,透天厝,住家用,加強磚造,0580701,29.75,4,0,4,有,無,有,17500,588,,0.0,0,101室多人共同承租2；租金總額含水費；網路費；,RPVOMLMLNHLGFAF68CC,分租套房,無,1150710~1160709,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,一般轉租
板橋區,租賃房屋,新北市板橋區中山路二段４２２之１２號一樓,0.0,,,,1150522,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,,102.68,0,0,2,有,無,無,50000,487,,0.0,0,租金總額含稅；,RPXOMLMLNHLGFAF88CC,,無,1150601~1170531,無,冷氣,
新莊區,租賃房屋,新北市新莊區中港路５９號６樓,0.0,,,,1150522,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890424,106.05,3,2,2,有,有,有,27000,255,,0.0,0,管理費：500元，由承租人負擔,RPTNMLMLNHLGFBF48CC,整棟(戶)出租,有,1150605~1160604,有,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
林口區,租賃房屋,新北市林口區南勢六街６６號３樓,35.33,住,,,1150522,土地1建物1車位0,三層,9,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1110222,126.19999999999999,2,2,2,有,有,無,29000,230,,0.0,0,多人共同承租2；,RPVNMLMLNHLGFBF68CC,整棟(戶)出租,有,1150529~1160528,有,冷氣、熱水器、電視機、冰箱,
