鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉中山一路８０巷２號,380.05,,一般農業區,甲種建築用地,1150607,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,1130619,253.89,4,2,4,有,無,16800000,66170,,0.0,0,,RPQNMLSKOHLGFAG68DA,227.27,0.0,26.62,無,
壯圍鄉,土地,新福段781地號,119.17,,特定農業區,甲種建築用地,1150606,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3000000,25174,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLSKOHLGFBG09DA,0.0,0.0,0.0,無,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市慶和街１３８號,64.31,住,,,1150601,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,,101.7,3,1,2,有,無,2449000,24081,,0.0,0,建築物增建第3樓本案為一親等間買賣另有申報贈與稅.親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPPNMLMLOHLGFBG18DA,101.7,0.0,0.0,無,
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段６５６號四樓之七,43.12,,特定農業區,甲種建築用地,1150604,土地1建物1車位1,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140911,110.13,3,2,1,有,有,8050000,73095,一樓平面,15.99,0,其他增建:遮雨棚其他增建；,RPQNMLNLOHLGFBG38DA,58.97,0.0,8.29,有,001
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉底路１２２號四樓之二,15.99,,一般農業區,甲種建築用地,1150609,土地2建物1車位0,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131122,45.269999999999996,1,1,1,有,無,4700000,103822,,0.0,0,,RPWPMLKKOHLGFBG78DA,26.54,0.0,3.79,有,
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮竹義路４６號,140.0,住,,,1150604,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710916,141.79,6,2,3,有,無,12800000,90274,,0.0,0,,RPXNMLNLOHLGFAG98DA,136.68,5.11,0.0,無,002
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉健康一街８７號二樓之十九,14.46,都市：其他:健康休閒專用區四,,,1150604,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,1000527,76.35,2,2,2,有,有,9200000,120498,,0.0,0,車位隨到隨停。,RPRRMLRKOHLGFBG56DA,38.1,2.18,4.35,有,003
員山鄉,房地(土地+建物)+車位,宜蘭縣員山鄉員山路一段１４３巷２３號六樓之二,23.45,住,,,1150606,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830418,128.11,4,1,2,有,有,4800000,37468,坡道平面,0.0,0,陽台外推；,RPSOMLNLOHLGFBG68DA,74.0,0.0,7.3,有,004
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市文化路１３１號三樓,20.46,住,,,1150602,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870611,117.33,2,2,1,有,有,6560000,55911,,0.0,0,,RPTPMLNLOHLGFBG88DA,76.91,0.0,14.09,有,005
員山鄉,房地(土地+建物),宜蘭縣員山鄉員山路一段１３２號,121.9,住,,,1150609,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710731,99.0,0,0,0,無,無,15500000,156566,,0.0,0,本案土地增值稅由買方負擔,RPUPMLNLOHLGFBG98DA,99.0,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉環湖路８５巷１３號,511.47,都市：其他:保護區,,,1150601,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0710611,143.53,4,2,2,有,無,5880000,40967,,0.0,0,,RPWNMLNLOHLGFAG88DA,143.53,0.0,0.0,無,
員山鄉,土地,望龍埤段146地號,1787.55,,山坡地保育區,農牧用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1800000,1007,,0.0,0,,RPQQMLPLOHLGFBG88DA,0.0,0.0,0.0,無,
員山鄉,土地,望龍埤段24-6地號,2044.03,,山坡地保育區,農牧用地,1150618,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,734,,0.0,0,,RPSQMLPLOHLGFBG09DA,0.0,0.0,0.0,無,
羅東鎮,土地,東光段583地號,12.0,都市：其他:道路用地,,,1150611,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,279331,23278,,0.0,0,包含公共設施保留地用地；,RPQNMLOLOHLGFAG48EA,0.0,0.0,0.0,無,006
三星鄉,房地(土地+建物),宜蘭縣三星鄉上將路二段５０１號,112.22,,特定農業區,甲種建築用地,1150517,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950821,157.31,4,3,3,有,無,13250000,84229,,0.0,0,,RPVNMLLJOHLGFAG38DA,128.52,15.38,13.41,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉廣安路１１１巷４號,58.68,,鄉村區,乙種建築用地,1150518,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680118,99.0,3,1,3,有,無,5500000,55556,,0.0,0,增建位置:3樓及1樓後方廚房。其他增建；,RPSOMLPKOHLGFAG68DA,99.0,0.0,0.0,無,007
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉永美路二段１０６巷５１號二樓,127.44,,特定農業區,農牧用地,1150516,土地3建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110527,109.01,1,2,2,有,有,10630000,97514,,0.0,0,,RPOPMLOJOHLGFBG28DA,79.93,0.0,20.52,有,008
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路一段２４５巷５３號,136.04,住,,,1150515,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950612,252.58,4,2,4,有,無,20000000,79183,,0.0,0,一樓後方空地增建、頂樓增建採光罩、增建鐵鋁窗、一樓前方增建採光罩陽台外推；其他增建；,RPXNMLTJOHLGFBG86DA,219.1,33.48,0.0,無,009
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市慈航二路１３３號二樓之五,56.37,,特定農業區,甲種建築用地,1150511,土地5建物1車位0,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131126,87.95,2,2,2,有,有,7300000,83002,,0.0,0,,RPURMLRKOHLGFBG86DA,57.52,0.0,6.06,有,010
羅東鎮,土地,東光段93地號,44.0,商,,,1150515,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,7054300,160325,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；瑕疵物件；,RPUOMLKLNHLGFAG38DA,0.0,0.0,0.0,無,
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉永興路二段６４０巷６７號四樓之６,51.42,,特定農業區,甲種建築用地,1150522,土地1建物1車位1,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造（ＲＣ）,1120913,130.42000000000002,3,2,2,有,有,8350000,64024,一樓平面,13.96,0,前後陽台加裝鋁窗其他增建；,RPSNMLTJOHLGFAG88DA,77.31,0.0,9.0,有,011
五結鄉,房地(土地+建物),宜蘭縣五結鄉成功路２巷７弄７２號四樓之５,17.28,,工業區,丁種建築用地,1150527,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土（ＲＣ）,1130911,62.38,2,2,1,有,有,4200000,67329,,0.0,0,,RPUNMLPKOHLGFAG78DA,39.22,0.0,2.31,有,
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮中山路二段２０２號,64.41,住,,,1150531,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660319,96.26,4,2,3,有,無,5000000,51943,,0.0,0,其他增建:一樓增建、2樓後區頂樓加蓋；其他增建；,RPXNMLPKOHLGFAG09DA,96.26,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉義成路三段５６８巷５８弄３號,138.12,住,,,1150506,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0780518,135.66,5,3,4,有,無,10000000,73714,,0.0,0,其他增建:一樓空地、頂樓其他增建；,RPVNMLRKOHLGFAG09DA,135.66,0.0,0.0,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉寶聖路６６巷１號,123.98,,特定農業區,甲種建築用地,1150530,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造（ＲＣ）,1140624,155.42,3,2,4,有,無,11380000,73221,,0.0,0,,RPWNMLRKOHLGFAG56DA,138.51,0.0,16.91,無,
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉丸山六路８９巷９號,140.76,,特定農業區,甲種建築用地,1150523,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0850727,164.26,4,2,3,有,無,6000000,36527,,0.0,0,其他增建:一樓空地；廚房後方陽台外推；頂樓加蓋；其他增建；,RPXNMLSKOHLGFAG76DA,145.17,7.57,11.52,無,
礁溪鄉,房地(土地+建物)+車位,宜蘭縣礁溪鄉塭底路１０５號二樓,28.24,,一般農業區,甲種建築用地,1150502,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841102,101.58,4,1,3,有,有,4500000,44300,坡道平面,0.0,0,,RPXPMLOKNHLGFBG56DA,56.78,0.0,5.27,有,012
礁溪鄉,房地(土地+建物)+車位,宜蘭縣礁溪鄉底路１２３號二樓之二,19.47,,一般農業區,甲種建築用地,1150510,土地2建物1車位1,二層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1131122,84.31,1,1,1,有,無,7200000,106113,坡道平面,29.18,1350000,,RPXOMLPKNHLGFBG56DA,34.02,0.0,2.91,有,
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市縣政八街５１巷４３號,181.7,住,,,1150505,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950502,194.76,3,2,3,有,無,16000000,82152,,0.0,0,三樓增建採光罩其他增建；,RPPOMLOJOHLGFBG28DA,155.81,17.42,21.53,無,013
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉中山路二段８５號,178.0,住,,,1150509,土地2建物1車位0,全,一層,透天厝,住商用,鋼筋混凝土造,0940223,117.36,1,1,2,有,無,42000000,357873,,0.0,0,,RPXOMLOJOHLGFBG09DA,117.36,0.0,0.0,無,
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路２４７巷１０號五樓之五,7.56,住,,,1150525,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850717,43.19,1,1,1,有,有,2000000,46307,,0.0,0,,RPXPMLTJOHLGFBG07DA,27.98,0.0,0.01,有,
蘇澳鎮,土地,文化段106地號,54.12,都市：其他:人行步道,,,1150504,土地3建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1026600,18969,,0.0,0,,RPRNMLKKOHLGFAG08EA,0.0,0.0,0.0,無,014
冬山鄉,土地,群英段750地號,24.51,住,,,1150518,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2051487,83700,,0.0,0,政府機關標讓售；,RPPNMLQKOHLGFAG48EA,0.0,0.0,0.0,無,
頭城鎮,土地,拔雅林三段613地號,977.38,都市：其他:道路用地,,,1150530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10349500,10589,,0.0,0,包含公共設施保留地用地；,RPQNMLSKOHLGFBG88EA,0.0,0.0,0.0,無,
頭城鎮,土地,拔雅林三段789地號,272.32,住,,,1150530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8652000,31771,,0.0,0,,SPQNMLSKOHLGFBG98EA,0.0,0.0,0.0,無,
頭城鎮,土地,拔雅林三段611地號,39.96,都市：其他:道路用地,,,1150530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,423150,10589,,0.0,0,包含公共設施保留地用地；,RPRNMLSKOHLGFBG98EA,0.0,0.0,0.0,無,
頭城鎮,土地,拔雅林三段617地號,14.08,都市：其他:綠地,,,1150530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,150500,10689,,0.0,0,包含公共設施保留地用地；,RPSNMLSKOHLGFBG09EA,0.0,0.0,0.0,無,
頭城鎮,土地,拔雅林三段803地號,12.28,,,,1150530,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,129850,10574,,0.0,0,包含公共設施保留地用地；,SPSNMLSKOHLGFBG56EA,0.0,0.0,0.0,無,
