編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUPMLNLOHLGFBG98DA,44,99.00,住家用,鋼筋混凝土加強磚造,71年7月31日,二層,一層 二層 騎樓,全筆移轉
RPSOMLNLOHLGFBG68DA,32,46.81,共有部份,鋼筋混凝土造,83年4月18日,六層,,持分移轉
RPSOMLNLOHLGFBG68DA,32,81.30,住家用,鋼筋混凝土造,83年4月18日,六層,六層 陽台,全筆移轉
RPWPMLKKOHLGFBG78DA,2,30.33,集合住宅,鋼筋混凝土造,113年11月22日,四層,四層 陽台,全筆移轉
RPWPMLKKOHLGFBG78DA,2,14.94,本共有部分之項目有：機電設備空間、管委會使用空間、梯廳、Ａ棟梯廳、Ｂ棟梯廳、Ｃ棟梯廳、Ｄ棟梯廳、車道、陽台、無障礙昇降機、戶外安全梯（Ａ２）（無障礙）、戶外安全梯（Ｂ２）（無障礙）、戶外安全梯（Ｃ２）（無障礙）、戶外安全梯（Ｄ２）（無障礙）、戶外安全梯（Ｂ２）兼無障礙樓梯、停車空間兼防空避難室、水箱Ａ、水箱Ｂ、水箱Ｃ、水箱Ｄ、電信機房、安全梯（Ｅ）、電表區、消防泵浦室發電機室、台電配電室等２５項,鋼筋混凝土造,113年11月22日,四層,,持分移轉
RPPNMLMLOHLGFBG18DA,,101.70,住家用,鋼筋混凝土加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPXNMLTJOHLGFBG86DA,20,252.58,住宅、停車空間,鋼筋混凝土造,95年6月12日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPSOMLPKOHLGFAG68DA,47,99.00,住家用,鋼筋混凝土加強磚造,68年1月18日,二層,一層 二層,全筆移轉
RPQNMLSKOHLGFAG68DA,2,253.89,住家用,鋼筋混凝土造,113年6月19日,二層,一層 二層 陽台,全筆移轉
RPWNMLNLOHLGFAG88DA,44,143.53,住家用,鋼筋混凝土加強磚造,71年6月11日,二層,一層 二層,全筆移轉
RPVNMLLJOHLGFAG38DA,20,157.31,住家用,鋼筋混凝土造,95年8月21日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPQNMLNLOHLGFBG38DA,1,67.26,集合住宅,鋼筋混凝土造,114年9月11日,四層,四層 陽台,全筆移轉
RPQNMLNLOHLGFBG38DA,1,42.87,本共有部分之項目有：停車空間、梯間等２項,鋼筋混凝土造,114年9月11日,四層,,持分移轉
RPTPMLNLOHLGFBG88DA,28,91.00,住家用,鋼筋混凝土造,87年6月11日,七層,三層 陽台,全筆移轉
RPTPMLNLOHLGFBG88DA,28,13.93,共有部份,鋼筋混凝土造,87年6月11日,七層,,持分移轉
RPTPMLNLOHLGFBG88DA,28,12.40,共有部份,鋼筋混凝土造,87年6月11日,七層,,持分移轉
RPXNMLNLOHLGFAG98DA,44,141.79,住家用,鋼筋混凝土加強磚造,71年9月16日,二層,一層 二層 平台,全筆移轉
RPOPMLOJOHLGFBG28DA,4,100.45,集合住宅,鋼筋混凝土造,111年5月27日,四層,二層 陽台,全筆移轉
RPOPMLOJOHLGFBG28DA,4,1.11,本共有部分之項目有：機電設備、水塔等２項,鋼筋混凝土造,111年5月27日,一層,,持分移轉
RPOPMLOJOHLGFBG28DA,4,7.45,本共有部分之項目有：電梯、梯間等２項,鋼筋混凝土造,111年5月27日,四層,,持分移轉
RPUNMLPKOHLGFAG78DA,2,41.53,集合住宅,鋼筋混凝土（ＲＣ）,113年9月11日,五層,四層 陽台,全筆移轉
RPUNMLPKOHLGFAG78DA,2,11.48,本共有部分之項目有停車空間、機械室、樓梯間、電梯間、水箱、電梯機房等６項。,鋼筋混凝土（ＲＣ）,113年9月11日,五層,,持分移轉
RPUNMLPKOHLGFAG78DA,2,9.37,本共有部分之項目有樓梯間１項。,鋼筋混凝土（ＲＣ）,113年9月11日,五層,,持分移轉
RPXNMLPKOHLGFAG09DA,49,96.26,住家用,鋼筋混凝土加強磚造,66年3月19日,二層,一層 二層 騎樓,全筆移轉
RPWNMLRKOHLGFAG56DA,1,155.42,住家用,鋼筋混凝土造（ＲＣ）,114年6月24日,三層,一層 二層 三層 陽台,全筆移轉
RPVNMLRKOHLGFAG09DA,37,135.66,住家用,鋼筋混凝土造,78年5月18日,二層,一層 二層,全筆移轉
RPXNMLSKOHLGFAG76DA,30,164.26,住家用,鋼筋混凝土造,85年7月27日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPXOMLOJOHLGFBG09DA,21,117.36,騎樓、店舖、住宅,鋼筋混凝土造,94年2月23日,一層,一層 騎樓,全筆移轉
RPSNMLTJOHLGFAG88DA,3,86.31,集合住宅,鋼筋混凝土造（ＲＣ）,112年9月13日,四層,四層 陽台,全筆移轉
RPSNMLTJOHLGFAG88DA,3,27.92,本共有部分之項目有停車空間、管委會空間等２項。,鋼筋混凝土造（ＲＣ）,112年9月13日,四層,,持分移轉
RPSNMLTJOHLGFAG88DA,3,16.18,本共有部分之項目有樓梯間、電梯間等２項。,鋼筋混凝土造（ＲＣ）,112年9月13日,四層,,持分移轉
RPPOMLOJOHLGFBG28DA,20,194.76,住家用,鋼筋混凝土造,95年5月2日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPPNMLSKOHLGFAG58DA,,168.94,農舍、樓梯間,鋼筋混凝土（ＲＣ）,115年2月12日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPXPMLOKNHLGFBG56DA,31,62.05,住家用,鋼筋混凝土造,84年11月2日,八層,二層 陽台,全筆移轉
RPXPMLOKNHLGFBG56DA,31,39.53,共有部份,鋼筋混凝土造,84年11月2日,,,持分移轉
RPXNMLOKOHLGFAG98DA,,260.24,住家用,鋼筋混凝土造,114年12月8日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPXNMLOKOHLGFAG98DA,,85.28,共有部份,鋼筋混凝土造,114年12月8日,十層,,持分移轉
RPWNMLMKOHLGFAG68DA,1,249.76,農舍,鋼筋混凝土（ＲＣ）,114年9月1日,三層,一層 二層 三層 陽台,全筆移轉
RPXOMLPKNHLGFBG56DA,1,36.93,集合住宅,鋼筋混凝土造,113年11月22日,四層,二層 陽台,全筆移轉
RPXOMLPKNHLGFBG56DA,1,47.38,本共有部分之項目有：機電設備空間、管委會使用空間、梯廳、Ａ棟梯廳、Ｂ棟梯廳、Ｃ棟梯廳、Ｄ棟梯廳、車道、陽台、無障礙昇降機、戶外安全梯（Ａ２）（無障礙）、戶外安全梯（Ｂ２）（無障礙）、戶外安全梯（Ｃ２）（無障礙）、戶外安全梯（Ｄ２）（無障礙）、戶外安全梯（Ｂ２）兼無障礙樓梯、停車空間兼防空避難室、水箱Ａ、水箱Ｂ、水箱Ｃ、水箱Ｄ、電信機房、安全梯（Ｅ）、電表區、消防泵浦室發電機室、台電配電室等２５項,鋼筋混凝土造,113年11月22日,四層,,持分移轉
RPWRMLRKOHLGFBG07DA,32,320.86,住家用,鋼筋混凝土造,83年4月11日,八層,七層 陽台,全筆移轉
RPWRMLRKOHLGFBG07DA,32,123.34,共有部份,鋼筋混凝土造,83年4月11日,八層,,持分移轉
RPTOMLOJOHLGFBG68DA,1,71.70,集合住宅,鋼筋混凝土造,113年11月22日,四層,三層 陽台,全筆移轉
RPTOMLOJOHLGFBG68DA,1,64.52,本共有部分之項目有：機電設備空間、管委會使用空間、梯廳、Ａ棟梯廳、Ｂ棟梯廳、Ｃ棟梯廳、Ｄ棟梯廳、車道、陽台、無障礙昇降機、戶外安全梯（Ａ２）（無障礙）、戶外安全梯（Ｂ２）（無障礙）、戶外安全梯（Ｃ２）（無障礙）、戶外安全梯（Ｄ２）（無障礙）、戶外安全梯（Ｂ２）兼無障礙樓梯、停車空間兼防空避難室、水箱Ａ、水箱Ｂ、水箱Ｃ、水箱Ｄ、電信機房、安全梯（Ｅ）、電表區、消防泵浦室發電機室、台電配電室等２５項,鋼筋混凝土造,113年11月22日,四層,,持分移轉
RPXOMLQLNHLGFBG76DA,2,38.50,集合住宅,鋼筋混凝土造,113年11月22日,四層,二層 陽台,全筆移轉
RPXOMLQLNHLGFBG76DA,2,18.97,本共有部分之項目有：機電設備空間、管委會使用空間、梯廳、Ａ棟梯廳、Ｂ棟梯廳、Ｃ棟梯廳、Ｄ棟梯廳、車道、陽台、無障礙昇降機、戶外安全梯（Ａ２）（無障礙）、戶外安全梯（Ｂ２）（無障礙）、戶外安全梯（Ｃ２）（無障礙）、戶外安全梯（Ｄ２）（無障礙）、戶外安全梯（Ｂ２）兼無障礙樓梯、停車空間兼防空避難室、水箱Ａ、水箱Ｂ、水箱Ｃ、水箱Ｄ、電信機房、安全梯（Ｅ）、電表區、消防泵浦室發電機室、台電配電室等２５項,鋼筋混凝土造,113年11月22日,四層,,持分移轉
RPUNMLMLOHLGFAG58DA,7,186.69,住家用,鋼筋混凝土造,108年7月11日,三層,一層 二層 三層 陽台,全筆移轉
RPTNMLQLNHLGFBG88DA,30,123.08,住家用,鋼筋混凝土造,85年4月13日,七層,五層 陽台,全筆移轉
RPTNMLQLNHLGFBG88DA,30,45.82,共有部份,鋼筋混凝土造,85年4月13日,七層,,持分移轉
RPWOMLMLOHLGFAG88DA,31,32.50,住家用,鋼筋混凝土造,84年5月24日,十二層,八層 陽台,全筆移轉
RPWOMLMLOHLGFAG88DA,31,10.26,共同使用部份（防空避難室．停車場．門廳．梯間．通道．守衛室）,鋼筋混凝土造,84年5月24日,十二層,,持分移轉
RPWOMLMLOHLGFAG88DA,31,.32,屋頂突出物．梯間．通道．水箱．共同使用部份,鋼筋混凝土造,84年5月24日,十二層,,持分移轉
RPWOMLMLOHLGFAG88DA,31,.32,屋頂突出物．梯間．通道．水箱．共同使用部份,鋼筋混凝土造,84年5月24日,十二層,,持分移轉
RPWOMLMLOHLGFAG88DA,31,6.17,共同使用部份（通道．梯間）,鋼筋混凝土造,84年5月24日,十二層,,持分移轉
RPSNMLSKOHLGFBG98DA,31,23.30,住家用,鋼筋混凝土造,84年7月15日,八層,五層 陽台,全筆移轉
RPSNMLSKOHLGFBG98DA,31,3.37,共有部份,鋼筋混凝土造,84年7月15日,八層,,持分移轉
RPSNMLSKOHLGFBG98DA,31,14.17,共有部份,鋼筋混凝土造,84年7月15日,八層,,持分移轉
RPTNMLMLOHLGFBG58DA,10,36.28,集合住宅,鋼筋混凝土造,104年12月10日,五層,三層 陽台,全筆移轉
RPTNMLMLOHLGFBG58DA,10,25.34,本共有部分之項目有：管理委員會使用空間、停車空間、樓梯間、水塔間、機械室、電梯、安全梯,鋼筋混凝土造,104年12月10日,五層,,持分移轉
RPPOMLMLOHLGFBG28DA,9,61.12,集合住宅,鋼筋混凝土造,105年11月21日,四層,四層 陽台,全筆移轉
RPPOMLMLOHLGFBG28DA,9,10.32,本共有部分之項目包含：樓梯間、電梯間、水箱,鋼筋混凝土造,105年11月21日,四層,,持分移轉
RPPNMLNLOHLGFBG28DA,32,88.15,住家用,鋼筋混凝土造,83年8月20日,十二層,十一層 陽台,全筆移轉
RPPNMLNLOHLGFBG28DA,32,18.69,共有部份,鋼筋混凝土造,83年8月20日,十二層,,持分移轉
RPWNMLMLOHLGFAG78DA,13,216.81,住家用,鋼筋混凝土造（ＲＣ）,101年12月6日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPROMLMLOHLGFAG38DA,1,90.37,集合住宅,鋼筋混凝土（ＲＣ）,114年7月23日,四層,三層 陽台,全筆移轉
RPROMLMLOHLGFAG38DA,1,56.36,本共有部分之項目有梯間、停車空間、電梯室等３項,鋼筋混凝土（ＲＣ）,114年7月23日,四層,,持分移轉
RPPNMLNLOHLGFBG38EA,44,99.00,住家用,鋼筋混凝土加強磚造,70年12月31日,二層,一層 二層,全筆移轉
RPPNMLMLOHLGFAG08DA,,1.66,集合住宅（管委空間）,鋼筋混凝土（ＲＣ）,115年2月23日,四層,,持分移轉
RPOOMLMLOHLGFAG08DA,,365.15,農舍,鋼筋混凝土造（ＲＣ）,114年12月19日,三層,一層 二層 三層 陽台,全筆移轉
RPPNMLMLOHLGFAG08DA,,44.72,集合住宅,鋼筋混凝土（ＲＣ）,115年2月23日,四層,三層,全筆移轉
RPPNMLMLOHLGFAG08DA,,15.74,本共有部分之項目有停車空間、梯廳、樓梯間、電梯間、機械室、水箱等６項,鋼筋混凝土（ＲＣ）,115年2月23日,四層,,持分移轉
RPRNMLNLOHLGFBG48DA,47,101.26,住家用,鋼筋混凝土加強磚造,68年8月30日,二層,一層 二層,全筆移轉
RPQNMLKKOHLGFAG87DA,10,229.66,停車空間、住宅、樓梯間,鋼骨鋼筋混凝土造,105年10月5日,三層,一層 二層 三層 陽台 見其他登記事項,全筆移轉
RPQNMLNLOHLGFAG28DA,19,203.68,住家用,鋼筋混凝土造,95年12月29日,三層,一層 二層 三層 陽台 平台 屋頂突出物 見其他登記事項,全筆移轉
RPQNMLLLOHLGFAG08DA,28,340.35,餐廳,鋼筋混凝土造,86年12月11日,十層,地下一層,持分移轉
RPQNMLLLOHLGFAG08DA,28,103.38,防空避難室、停車場、台電配電室、車道、共同使用部份,鋼筋混凝土造,86年12月11日,十層,,持分移轉
RPQNMLLLOHLGFAG08DA,28,23.15,梯間、走道電梯、共同使用部份,鋼筋混凝土造,86年12月11日,十層,,持分移轉
RPTNMLKKOHLGFAG18DA,2,72.52,集合住宅,鋼筋混凝土（ＲＣ）,113年4月29日,四層,四層 陽台,全筆移轉
RPTNMLKKOHLGFAG18DA,2,14.41,本共有部分之項目有樓梯間,鋼筋混凝土（ＲＣ）,113年4月29日,四層,,持分移轉
RPSNMLNJOHLGFBG38DA,29,177.82,住家用,鋼筋混凝土造,85年12月2日,四層,一層 二層 三層 四層 陽台 平台 見其他登記事項,全筆移轉
RPROMLNLOHLGFAG48DA,,.00,門廊、樓梯電梯間、受電發電室﹙共同使用部份﹚,鋼筋混凝土造,,十二層,,持分移轉
RPROMLNLOHLGFAG48DA,,4.82,門廊、樓梯電梯間、受電發電室﹙共同使用部份﹚,鋼筋混凝土造,,十二層,,持分移轉
RPROMLNLOHLGFAG48DA,32,10.85,防空避難室及停車場,鋼筋混凝土造,82年12月31日,十二層,一層 騎樓 地下一層,持分移轉
RPROMLNLOHLGFAG48DA,31,105.04,住家用,鋼筋混凝土造,83年12月13日,十二層,七層 陽台 雨遮,全筆移轉
RPPOMLNLOHLGFAG28DA,28,147.88,住家用,鋼筋混凝土造,86年11月13日,三層,一層 二層 三層 陽台,全筆移轉
RPQOMLNLOHLGFAG38DA,48,114.36,住家用,鋼筋混凝土造,67年8月1日,三層,一層 二層 三層,全筆移轉
RPXNMLSJOHLGFBG76DA,,79.86,集合住宅,鋼筋混凝土造,115年1月27日,四層,四層 陽台,全筆移轉
RPXNMLSJOHLGFBG76DA,,7.44,本共有部分之項目有：停車空間、管理委員使用空間、電機室等３項,鋼筋混凝土造,115年1月27日,四層,,持分移轉
RPXNMLSJOHLGFBG76DA,,20.51,本共有部分之項目有：樓梯間、電梯間等２項,鋼筋混凝土造,115年1月27日,四層,,持分移轉
RPOQMLNLOHLGFBG48DA,17,31.82,辦公室,鋼筋混凝土造,97年12月31日,十三層,六層 見其他登記事項,全筆移轉
RPOQMLNLOHLGFBG48DA,17,19.05,共有部份,鋼筋混凝土造,97年12月31日,十三層,,持分移轉
RPOQMLNLOHLGFBG48DA,17,5.35,共有部份,鋼筋混凝土造,97年12月31日,十三層,,持分移轉
RPRPMLPLOHLGFBG88DA,55,107.24,住家用,鋼筋混凝土加強磚造,59年11月30日,二層,一層 二層 騎樓,全筆移轉
RPVOMLSKOHLGFAG66DA,,2.28,集合住宅（管委空間）,鋼筋混凝土（ＲＣ）,115年2月23日,四層,,持分移轉
RPVOMLSKOHLGFAG66DA,,61.33,集合住宅,鋼筋混凝土（ＲＣ）,115年2月23日,四層,二層 陽台,全筆移轉
RPVOMLSKOHLGFAG66DA,,21.59,本共有部分之項目有停車空間、梯廳、樓梯間、電梯間、機械室、水箱等６項,鋼筋混凝土（ＲＣ）,115年2月23日,四層,,持分移轉
RPOSMLPLNHLGFAG68DA,45,103.44,住家用,鋼筋混凝土加強磚造,70年4月9日,二層,一層 二層,全筆移轉
RPVNMLQKOHLGFAG98DA,1,73.16,集合住宅,鋼筋混凝土造（ＲＣ）,114年4月1日,四層,二層 陽台,全筆移轉
RPVNMLQKOHLGFAG98DA,1,22.51,本共有部分之項目有停車空間、管理室、機電空間、樓梯間等４項,鋼筋混凝土造（ＲＣ）,114年4月1日,四層,,持分移轉
RPQPMLOLOHLGFAG58DA,14,236.09,住家用,鋼筋混凝土造,101年7月5日,三層,一層 二層 三層 陽台,全筆移轉
RPVNMLPLNHLGFAG88DA,40,136.73,住家用,鋼筋混凝土加強磚造,75年5月28日,二層,一層 二層 騎樓,全筆移轉
RPPNMLOLOHLGFAG28DA,31,88.65,住家用,鋼筋混凝土造,84年6月23日,八層,二層 陽台,全筆移轉
RPPNMLOLOHLGFAG28DA,31,16.65,防空避難室、停車場、穿廊共同使用部份,鋼筋混凝土造,84年6月23日,八層,,持分移轉
RPPNMLOLOHLGFAG28DA,31,6.37,梯間、通道共同使用部份,鋼筋混凝土造,84年6月23日,八層,,持分移轉
RPRNMLRKOHLGFAG68DA,47,219.60,住家用,鋼筋混凝土造,68年8月18日,三層,一層 二層 三層 騎樓,全筆移轉
RPWNMLTJOHLGFBG76DA,5,80.97,集合住宅,鋼筋混凝土造,110年3月19日,九層,七層 陽台,全筆移轉
RPWNMLTJOHLGFBG76DA,5,67.33,本共有部分項目：停車空間、台電配電室、機電空間、管委會空間、緊急發電室、機械室、水箱等７項,鋼筋混凝土造,110年3月19日,九層,,持分移轉
RPROMLPLOHLGFAG78EA,43,36.72,住家用,鋼筋混凝土加強磚造,72年6月22日,三層,一層 二層 三層 騎樓,持分移轉
RPPNMLOLOHLGFAG38EA,33,6.02,共同使用部份﹙梯間﹚,鋼筋混凝土造,82年1月19日,七層,,持分移轉
RPPNMLOLOHLGFAG38EA,33,31.44,住家用,鋼筋混凝土造,82年1月19日,七層,七層,全筆移轉
RPPNMLOLOHLGFAG38EA,33,4.96,共有部份,鋼筋混凝土造,82年1月19日,七層,,持分移轉
RPXNMLQKOHLGFAG56DA,3,54.93,住家用,鋼筋混凝土造,112年7月31日,五層,五層 陽台,全筆移轉
RPXNMLQKOHLGFAG56DA,3,22.23,共有部份,鋼筋混凝土造,112年7月31日,五層,,持分移轉
RPXNMLQKOHLGFAG56DA,3,19.48,共有部份,鋼筋混凝土造,112年7月31日,五層,,持分移轉
RPROMLSKOHLGFAG88DA,51,267.13,住家用,鋼筋混凝土加強磚造,64年7月15日,三層,一層 二層 三層 騎樓,全筆移轉
RPTNMLOKOHLGFAG58DA,,37.08,住家用,鋼筋混凝土造,114年12月8日,十層,三層,全筆移轉
RPTNMLOKOHLGFAG58DA,,15.16,共有部份,鋼筋混凝土造,114年12月8日,十層,,持分移轉
RPSNMLOKOHLGFAG48DA,,43.87,住家用,鋼筋混凝土造,114年12月8日,十層,八層 陽台,全筆移轉
RPSNMLOKOHLGFAG48DA,,46.51,共有部份,鋼筋混凝土造,114年12月8日,十層,,持分移轉
RPPOMLSKOHLGFAG68DA,27,197.18,住家用,鋼筋混凝土造,88年6月22日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPPNMLSKOHLGFAG68EA,31,13.86,住家用,鋼筋混凝土造,84年10月16日,十層,二層 陽台,持分移轉
RPPNMLSKOHLGFAG68EA,31,2.26,梯間、防空避難室、停車場、共同使用部份,鋼筋混凝土造,84年10月16日,十層,,持分移轉
RPPNMLSKOHLGFAG68EA,31,.88,走廊、共同使用部份,鋼筋混凝土造,84年10月16日,十層,,持分移轉
RPTNMLNLOHLGFAG58DA,46,79.72,住家用,鋼筋混凝土造,69年10月8日,五層,五層,全筆移轉
RPRNMLMLOHLGFBG38DA,3,285.20,農舍,鋼筋混凝土造,112年8月4日,三層,一層 二層 三層 陽台,全筆移轉
RPUNMLMKOHLGFAG48DA,,61.33,集合住宅,鋼筋混凝土造（ＲＣ）,115年2月11日,四層,三層 陽台,全筆移轉
RPUNMLMKOHLGFAG48DA,,.14,本共有部分之項目有電信室等１項,鋼筋混凝土造（ＲＣ）,115年2月11日,一層,,持分移轉
RPUNMLMKOHLGFAG48DA,,39.06,本共有部分之項目有停車空間、樓梯間等２項,鋼筋混凝土造（ＲＣ）,115年2月11日,四層,,持分移轉
RPXNMLMLOHLGFAG88DA,7,98.23,集合住宅,鋼筋混凝土（ＲＣ）造,108年9月3日,十二層,十二層 陽台 雨遮,全筆移轉
RPXNMLMLOHLGFAG88DA,7,52.99,本共有部分之項目有：停車場、停車場兼防空避難室、公共服務空間、梯廳、安全梯、走道等６項。,鋼筋混凝土（ＲＣ）造,108年9月3日,十二層,,持分移轉
RPXNMLMLOHLGFAG88DA,7,21.90,本共有部分之項目有：樓梯間、電梯間、機械室等３項。（Ｃ棟公設）,鋼筋混凝土（ＲＣ）造,108年9月3日,十二層,,持分移轉
RPPNMLLLOHLGFAG97DA,41,121.00,住家用,鋼筋混凝土加強磚造,74年3月7日,二層,一層 二層 騎樓,全筆移轉
RPSNMLSKOHLGFAG88DA,,174.72,住家用,鋼筋混凝土（ＲＣ）,115年1月12日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPWNMLSKOHLGFAG66DA,45,182.96,住家用,鋼筋混凝土加強磚造,69年10月30日,二層,一層 二層 騎樓,全筆移轉
RPPNMLPLOHLGFBG58EA,22,114.16,住家用,鋼筋混凝土造,93年9月27日,十四層,九層 陽台,全筆移轉
RPPNMLPLOHLGFBG58EA,22,16.73,共有部份,鋼筋混凝土造,93年9月27日,十四層,,持分移轉
RPPNMLPLOHLGFBG58EA,22,40.27,共有部份,鋼筋混凝土造,93年9月27日,十四層,,持分移轉
RPTOMLQLNHLGFAG88DA,,.11,辦公室,鋼筋混凝土（ＲＣ）,115年3月23日,四層,一層,持分移轉
RPTOMLQLNHLGFAG88DA,,31.33,本共有部分之項目：停車空間、機房、門廳、樓梯間、水箱等５項。,鋼筋混凝土（ＲＣ）,115年3月23日,四層,,持分移轉
RPQNMLMLOHLGFBG28DA,29,93.79,住家用,鋼筋混凝土造,86年5月30日,四層,一層 二層 三層 四層 陽台,持分移轉
RPXPMLNLOHLGFBG66DA,,158.33,集合住宅,鋼筋混凝土造,114年11月18日,九層,九層 陽台,全筆移轉
RPXPMLNLOHLGFBG66DA,,97.48,本共有部分之項目有：停車空間、水箱、防空避難室、台電配電室、管理委員會使用空間等５項,鋼筋混凝土造,114年11月18日,九層,,持分移轉
RPXPMLNLOHLGFBG66DA,,33.79,本共有部分之項目有：樓梯間、升降機機房等２項,鋼筋混凝土造,114年11月18日,九層,,持分移轉
RPXOMLSKOHLGFAG86DA,,1.66,集合住宅（管委空間）,鋼筋混凝土（ＲＣ）,115年2月23日,四層,,持分移轉
RPXOMLSKOHLGFAG86DA,,44.72,集合住宅,鋼筋混凝土（ＲＣ）,115年2月23日,四層,二層,全筆移轉
RPXOMLSKOHLGFAG86DA,,15.74,本共有部分之項目有停車空間、梯廳、樓梯間、電梯間、機械室、水箱等６項,鋼筋混凝土（ＲＣ）,115年2月23日,四層,,持分移轉
RPXPMLPKOHLGFBG76DA,,174.37,辦公室,鋼筋混凝土造,115年2月13日,七層,七層 陽台,全筆移轉
RPXPMLPKOHLGFBG76DA,,116.54,本共有部分之項目有：停車空間（兼防空避難室）、車道、管委會、梯廳等４項,鋼筋混凝土造,115年2月13日,七層,,持分移轉
