鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
觀音區,房地(土地+建物),桃園市觀音區十全路３０巷３２號,86.0,住,,,1150715,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1020906,167.58,4,3,3,有,有,12600000,75188,,0.0,0,陽台外推；,RPQOMLSKOHLGFBH98DA,146.88,0.0,20.7,有,0001
桃園區,房地(土地+建物),桃園市桃園區大興西路二段２６３號四樓之二,10.35,住,,,1150601,土地1建物1車位0,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841103,117.05999999999999,2,2,2,有,有,9000000,76884,,0.0,0,,RPPOMLOJOHLGFAH28DA,87.94,1.7,10.68,有,0002
觀音區,土地,草豊段621地號,15.35,住,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,325136,21181,,0.0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；,RPQPMLKKOHLGFBH28DA,0.0,0.0,0.0,無,0003
大園區,土地,聖德段356-1地號,35.14,,特定農業區,交通用地,1150605,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,465124,13236,,0.0,0,協議價購；,RPWOMLSJOHLGFEH17DA,0.0,0.0,0.0,無,0004
大園區,土地,聖德段356-1地號,14.63,,特定農業區,交通用地,1150605,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,193720,13241,,0.0,0,協議價購；,RPOPMLSJOHLGFEH09DA,0.0,0.0,0.0,無,0004
大園區,土地,聖德段356-1地號,14.63,,特定農業區,交通用地,1150605,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,193720,13241,,0.0,0,協議價購；,RPPPMLSJOHLGFEH56DA,0.0,0.0,0.0,無,0004
大園區,土地,聖德段356-1地號,14.63,,特定農業區,交通用地,1150605,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,193720,13241,,0.0,0,協議價購；,RPQPMLSJOHLGFEH66DA,0.0,0.0,0.0,無,0004
大園區,土地,聖德段356-1地號,27.03,,特定農業區,交通用地,1150605,土地7建物0車位0,,,其他,,,,0.0,0,0,0,無,無,357797,13237,,0.0,0,協議價購；,RPRPMLSJOHLGFEH76DA,0.0,0.0,0.0,無,
八德區,土地,白鷺段326地號,139.15,工,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4970438,35720,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSPMLQKOHLGFFH86DA,0.0,0.0,0.0,無,
八德區,土地,白鷺段329地號,139.15,工,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4970298,35719,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTPMLQKOHLGFFH96DA,0.0,0.0,0.0,無,
桃園區,房地(土地+建物),桃園市桃園區永安路３７之４號,21.0,商,,,1150603,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790507,74.18,3,1,1,有,無,3120000,42060,,0.0,0,,RPQNMLPKOHLGFAH58EA,74.18,0.0,0.0,無,
