編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQOMLSKOHLGFBH98DA,13,167.58,住宅、住宅（附屬停車空間）,鋼筋混凝土造,102年9月6日,四層,一層 二層 三層 四層 陽台,全筆移轉
RPQNMLPKOHLGFAH58EA,36,74.18,住家用,鋼筋混凝土造,79年5月7日,五層,五層,全筆移轉
RPPOMLOJOHLGFAH28DA,31,100.32,住家用,鋼筋混凝土造,84年11月3日,二十層,四層 陽台 花台 見其他登記事項,全筆移轉
RPPOMLOJOHLGFAH28DA,31,16.74,共有部份,鋼筋混凝土造,84年11月3日,二十層,,持分移轉
RPPNMLQKOHLGFAH58EA,18,56.17,住家用,鋼筋混凝土造,97年4月24日,十二層,四層 陽台,全筆移轉
RPPNMLQKOHLGFAH58EA,18,55.79,共有部份,鋼筋混凝土造,97年4月24日,十三層,,持分移轉
RPVPMLSJOHLGFBH86DA,35,180.75,共有部份,鋼筋混凝土造,80年9月27日,七層,,全筆移轉
RPOOMLLKOHLGFBH08DA,23,18.89,住家用,鋼筋混凝土造,92年5月21日,八層,五層 陽台,全筆移轉
RPOOMLLKOHLGFBH08DA,23,6.83,共有部份,鋼筋混凝土造,92年5月21日,八層,,持分移轉
RPOOMLLKOHLGFBH08DA,23,1.51,共有部份,鋼筋混凝土造,92年5月21日,八層,,持分移轉
RPOOMLLKOHLGFBH08DA,23,1.04,共有部份,鋼筋混凝土造,92年5月21日,八層,,持分移轉
RPSOMLNJOHLGFEH88DA,19,23.33,共有部份,鋼筋混凝土造,96年7月19日,十四層,,持分移轉
RPRNMLMKOHLGFEH68DA,10,26.12,共有部份,鋼筋混凝土造,105年6月7日,八層,,持分移轉
RPRNMLRKOHLGFEH56DA,46,342.67,店舖、住宅、通道,鋼筋混凝土造,69年2月5日,四層,一層 二層 三層 四層 屋頂突出物 騎樓,全筆移轉
RPPNMLSKOHLGFBH78DA,39,80.67,住宅,鋼筋混凝土造,76年2月10日,五層,一層,全筆移轉
RPPNMLSKOHLGFBH78DA,39,7.03,共有部份,鋼筋混凝土造,76年2月10日,五層,,持分移轉
