編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQPMLKKOHLGFBH28DA,草豊段,15.35,都市：其他:第一種住宅區,209440,2800,持分移轉,06210000
RPQOMLSKOHLGFBH98DA,草新段,86.00,都市：其他:第二種住宅區,1,1,全筆移轉,04800026
RPSNMLRKOHLGFCH56EA,華興段,4028.16,都市：其他:保護區,1,1,全筆移轉,29660000
RPSNMLRKOHLGFCH56EA,華興段,2206.36,都市：其他:保護區,1,1,全筆移轉,29810000
RPPNMLRKOHLGFCH88EA,竹頭角段,42.00,都市：其他:住宅區,1,1,全筆移轉,13200000
RPPNMLRKOHLGFCH88EA,竹頭角段,331.00,都市：其他:住宅區,1,1,全筆移轉,13200001
RPPNMLRKOHLGFCH88EA,竹頭角段,45.00,都市：其他:住宅區,1,1,全筆移轉,13210000
RPPNMLRKOHLGFCH88EA,竹頭角段,327.00,都市：其他:住宅區,1,1,全筆移轉,13210001
RPPNMLRKOHLGFCH88EA,竹頭角段,498.00,都市：其他:住宅區,1,1,全筆移轉,13380000
RPPNMLRKOHLGFCH88EA,竹頭角段,2.00,都市：其他:住宅區,1,1,全筆移轉,13380001
RPPNMLRKOHLGFCH88EA,竹頭角段,498.00,都市：其他:住宅區,1,1,全筆移轉,13390000
RPPNMLRKOHLGFCH88EA,竹頭角段,2.00,都市：其他:住宅區,1,1,全筆移轉,13390001
RPQNMLPKOHLGFAH58EA,埔子段北門埔子小段,21.00,都市：其他:商業區,15,3,持分移轉,01360003
RPPOMLOJOHLGFAH28DA,慈文段,10.35,都市：其他:住宅區,10000,20,持分移轉,21540001
RPPNMLQKOHLGFAH58EA,慈文段,14.81,都市：其他:住宅區,10000,28,持分移轉,02350000
RPOOMLLKOHLGFBH08DA,中壢埔頂段,5.41,都市：其他:住宅區,10000,31,持分移轉,11580000
RPVOMLLKOHLGFBH78DA,草豊段,21.07,都市：其他:第一種住宅區,1963500,79625,持分移轉,03620000
RPOPMLLKOHLGFBH18DA,草豊段,26.72,都市：其他:第一種住宅區,748000,10920,持分移轉,03610000
RPUPMLSJOHLGFEH07DA,聖德段,.10,非都市：特定農業區 ; 非都市編定：交通用地,3680680,29024,持分移轉,03470001
