編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPNMLQKOHLGFAH58EA,坡道平面,0,,地下一樓
RPVPMLSJOHLGFBH86DA,升降平面,0,,地下一樓
RPVPMLSJOHLGFBH86DA,升降平面,0,,地下一樓
RPVPMLSJOHLGFBH86DA,升降平面,0,,地下一樓
RPVPMLSJOHLGFBH86DA,升降平面,0,,地下一樓
RPVPMLSJOHLGFBH86DA,升降平面,0,,地下一樓
RPSOMLNJOHLGFEH88DA,坡道平面,2300000,23.33,地下一樓
RPRNMLMKOHLGFEH68DA,坡道平面,950000,,地下一樓
RPVNMLPKOHLGFFH86DA,坡道平面,1390000,36.13,地下一樓
RPSOMLNLOHLGFBH78DA,坡道平面,0,31.07,地下五樓含以下
RPRNMLSKOHLGFAH98EA,坡道平面,1300000,37.02,地下二樓
RPPNMLRKOHLGFDH98EA,坡道平面,1500000,26.73,地下二樓
RPORMLPKOHLGFBH78DA,坡道機械,0,31.12,地下三樓
RPQNMLRKOHLGFCH88DA,坡道平面,0,,地下一樓
RPUNMLSKOHLGFBH66DA,坡道平面,0,,地下一樓
RPUNMLSKOHLGFBH66DA,坡道平面,0,,地下一樓
RPUNMLSKOHLGFBH66DA,坡道平面,0,,地下一樓
RPPNMLMLOHLGFAH28EA,坡道平面,1700000,27.63,地下三樓
RPSPMLPLOHLGFAH98DA,坡道平面,0,34.67,地下二樓
RPTQMLNJOHLGFAH78DA,坡道平面,0,33.93,地下二樓
RPWNMLNJOHLGFGH76DA,坡道平面,0,,地下一樓
RPOQMLPLOHLGFAH68DA,坡道平面,0,,地下二樓
RPOQMLPLOHLGFAH68DA,坡道平面,0,,地下二樓
RPOOMLLKOHLGFAH97DA,坡道平面,0,28.57,地下二樓
RPPPMLMJOHLGFAH18DA,坡道平面,0,,地下二樓
RPVNMLLKOHLGFHH66DA,坡道平面,0,44.88,地下二樓
RPOPMLSJOHLGFHH76DA,坡道平面,0,29.88,地下四樓
RPPSMLPKOHLGFAH88DA,坡道平面,0,,地下二樓
RPTQMLMKOHLGFBH88DA,坡道平面,2000000,36.55,地下二樓
RPRNMLPKOHLGFCH78DA,坡道平面,0,,地下二樓
RPVNMLMJOHLGFBH68DA,坡道平面,0,31.07,地下三樓
RPXOMLSKNHLGFAH86DA,坡道平面,0,22.83,地下一樓
RPPNMLLKOHLGFEH38DA,坡道平面,0,,地下三樓
RPROMLNJOHLGFEH78DA,坡道平面,1800000,,地下一樓
RPROMLNJOHLGFEH78DA,坡道平面,1800000,,地下一樓
RPROMLNJOHLGFEH78DA,坡道平面,1800000,,地下一樓
RPVNMLSJOHLGFEH96DA,坡道平面,1500000,26.01,地下三樓
RPWPMLPKOHLGFFH17DA,坡道平面,0,,地下三樓
RPWPMLPKOHLGFFH17DA,坡道機械,0,,地下三樓
RPUNMLQLNHLGFDH66DA,坡道平面,0,28.17,地下一樓
RPOOMLPJOHLGFFH78DA,坡道平面,0,29.73,地下二樓
RPOWMLNJOHLGFHH96DA,坡道平面,0,32.44,地下二樓
RPPNMLQKOHLGFEH98EA,坡道平面,0,24.07,地下二樓
RPXNMLSJOHLGFAH76DA,坡道平面,0,33.03,地下三樓
RPRPMLQKOHLGFAH88DA,坡道平面,0,,地下四樓
RPPOMLLLNHLGFBH18DA,坡道平面,0,,地下一樓
RPUNMLPKOHLGFAH88DA,坡道平面,0,27.14,地下二樓
RPUNMLPKOHLGFAH88DA,坡道平面,0,27.14,地下二樓
RPWQMLPKOHLGFBH86DA,坡道平面,0,25.85,地下一樓
RPPOMLRKOHLGFAH68DA,坡道平面,0,52.95,地下三樓
RPPOMLQKOHLGFBH68DA,坡道平面,0,28.62,地下一樓
RPQOMLQKOHLGFBH78DA,坡道平面,0,23.71,地下二樓
RPXNMLPKOHLGFCH76DA,坡道平面,0,36.69,地下一樓
RPROMLSLNHLGFCH56DA,坡道平面,0,22.86,地下一樓
RPROMLSLNHLGFCH56DA,坡道平面,0,26.60,地下一樓
RPXNMLSLNHLGFEH27DA,坡道平面,0,,地下一樓
RPPNMLSKOHLGFDH98DA,坡道平面,0,,地下一樓
RPWNMLMLOHLGFDH56DA,坡道機械,0,,地下一樓
RPSNMLPKOHLGFDH98DA,坡道平面,2260000,28.17,地下一樓
RPQNMLQKOHLGFHH76EA,坡道平面,2000000,29.76,地下一樓
RPRNMLNKOHLGFAH38DA,坡道平面,1800000,35.26,地下三樓
RPRNMLNKOHLGFAH38DA,坡道平面,1800000,35.26,地下三樓
RPXTMLLJOHLGFAH66DA,坡道平面,2000000,26.54,地下一樓
RPVNMLLKOHLGFBH68DA,坡道平面,0,26.47,地下三樓
RPUOMLTLNHLGFBH86DA,坡道平面,1700000,28.46,地下二樓
RPVNMLLKNHLGFCH68DA,坡道平面,0,,地下一樓
RPRNMLSKOHLGFBH98DA,坡道平面,0,43.72,地下三樓
RPQPMLMJOHLGFAH28DA,坡道平面,1950000,36.96,地下四樓
RPWNMLRKOHLGFBH76DA,坡道平面,0,,地下一樓
RPQNMLSKOHLGFDH09DA,坡道平面,0,31.70,地下三樓
RPSNMLMJOHLGFDH58DA,坡道平面,0,29.69,地下三樓
RPUOMLTLNHLGFEH17DA,坡道平面,0,33.01,地下二樓
RPRNMLQKOHLGFAH68DA,坡道平面,0,,地下二樓
RPPNMLSKOHLGFAH78EA,坡道平面,0,,地下一樓
RPSNMLMLOHLGFAH58EA,坡道平面,2000000,29.75,地下二樓
RPQNMLLJOHLGFFH48DA,坡道平面,0,25.78,地下三樓
RPWQMLPKOHLGFEH17DA,坡道平面,0,,地下二樓
RPXPMLRKOHLGFAH96DA,坡道平面,1350000,33.74,地下二樓
RPTQMLNJOHLGFBH88DA,坡道平面,0,37.71,地下三樓
RPPNMLRKOHLGFBH78EA,坡道平面,1500000,40.11,地下四樓
RPQNMLKLOHLGFBH18DA,坡道平面,0,,地下三樓
RPPQMLMKOHLGFBH48DA,坡道平面,1650000,41.36,地下二樓
RPQNMLNLOHLGFBH48DA,坡道平面,0,26.41,地下二樓
RPUNMLTLNHLGFEH07DA,坡道平面,1150000,41.53,地下一樓
RPOUMLTJOHLGFCH86DA,坡道平面,1250000,23.70,地下二樓
RPRPMLLKOHLGFAH38DA,坡道平面,0,,地下二樓
RPXOMLPLNHLGFAH66DA,坡道平面,0,33.34,地下三樓
RPRNMLSKOHLGFGH86DA,坡道平面,0,38.94,地下三樓
RPVNMLSKOHLGFBH76DA,坡道平面,1600000,33.62,地下二樓
