鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
大溪區,房地(土地+建物),桃園市大溪區石園路276巷旁,21.08,,一般農業區,甲種建築用地,1150521,土地1建物1車位0,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,69.73,2,2,2,有,無,7190000,103112,,0.0,0,,RPPNMLMLNHLGFCH38DB,晴邑71,D棟2號,
新屋區,房地(土地+建物),桃園市新屋區新洲路、新洲東路交叉口,33.08,住,,,1150524,土地4建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,見其他登記事項,,88.91,3,2,2,有,無,9500000,106850,,0.0,0,,RPQNMLOLNHLGFDH68CB,青恬,B3棟5F號,
楊梅區,房地(土地+建物)+車位,桃園市楊梅區民有路一段683巷,71.51,,特定農業區,甲種建築用地,1150522,土地2建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,,161.22,3,3,3,有,無,13530000,83923,一樓平面,0.0,0,,RPPNMLPLNHLGFDH68CB,太禾良品,C棟37號,
大溪區,房地(土地+建物)+車位,桃園市大溪區員林路二段155巷61弄旁,30.38,,鄉村區,乙種建築用地,1150524,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,142.06,3,2,2,有,無,12100000,93290,坡道平面,27.9,1450000,,RPPNMLPLNHLGFCH68DB,弘達時?,A1棟7F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區介壽路523巷61號附近,27.95,住,,,1150521,土地1建物1車位3,十四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,218.23,3,2,2,有,無,27710000,148107,坡道平面,75.36,6550000,,RPOOMLQLNHLGFAH48CB,京澄．大盈,C棟1-14F號,
桃園區,房地(土地+建物)+車位,桃園市桃園區介壽路523巷61號附近,18.33,住,,,1150522,土地1建物1車位1,十一層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.73,2,2,2,有,無,16170000,150304,坡道平面,25.12,2100000,,RPPOMLQLNHLGFAH58CB,京澄．大盈,C棟2-11F號,
觀音區,房地(土地+建物),桃園市觀音區富觀街附近,22.06,住,,,1150524,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,,57.38,2,1,1,有,無,5220000,90972,,0.0,0,,RPSNMLQLNHLGFBH88CB,名築町8,B6-3F號,
龍潭區,房地(土地+建物),桃園市龍潭區民生路130號旁,23.11,,鄉村區,乙種建築用地,1150524,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.39,2,2,2,有,無,7350000,96217,,0.0,0,,RPQNMLQLNHLGFCH78CB,極美,A棟1-4號,
龍潭區,房地(土地+建物),桃園市龍潭區民生路130號旁,23.11,,鄉村區,乙種建築用地,1150525,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,76.39,2,2,2,有,無,7000000,91635,,0.0,0,,RPRNMLQLNHLGFCH88CB,極美,A棟1-3號,
