編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPOOMLQLNHLGFAH48CB,桃合段,27.95,都市：住,100000,398,持分移轉,00080001
RPPNMLPLNHLGFCH68DB,介壽段,30.38,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,3566,持分移轉,07130000
RPRNMLQLNHLGFCH88CB,龍吟段,23.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,469,持分移轉,05230000
RPPNMLKMNHLGFCH18CB,員林段,8.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01190000
RPPNMLKMNHLGFCH18CB,員林段,7.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01480000
RPPNMLKMNHLGFCH18CB,員林段,.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01560001
RPPOMLQLNHLGFAH58CB,桃合段,18.33,都市：住,100000,261,持分移轉,00080001
RPQNMLKMNHLGFCH28CB,員林段,8.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01190000
RPQNMLSLNHLGFFH66CB,大安段,23.43,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,882,持分移轉,04100000
RPRNMLSLNHLGFFH76CB,大安段,23.43,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,882,持分移轉,04100000
RPQNMLKMNHLGFCH28CB,員林段,7.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01480000
RPQNMLKMNHLGFCH28CB,員林段,.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01560001
RPPNMLMLNHLGFCH38DB,瑞源段,21.08,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1240,持分移轉,12700000
RPPNMLRLNHLGFAH68DB,中路三段,49.32,都市：住,1000000,26364,持分移轉,01470000
RPQNMLQLNHLGFCH78CB,龍吟段,23.11,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,469,持分移轉,05230000
RPUNMLSLNHLGFFH07CB,大安段,28.42,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1070,持分移轉,04100000
RPPNMLKMNHLGFEH38CB,客運一段,23.58,都市：住,10000,109,持分移轉,03210000
RPPNMLPLNHLGFDH68CB,民有段,70.39,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,139,持分移轉,05470000
RPPNMLPLNHLGFDH68CB,民有段,1.12,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,19,持分移轉,05470002
RPPNMLKMNHLGFFH48CB,大安段,23.93,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,901,持分移轉,04100000
RPPNMLSLNHLGFEH09CB,南港段,.33,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1395,持分移轉,05160001
RPPNMLSLNHLGFEH09CB,南港段,22.79,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1395,持分移轉,05160002
RPPNMLSLNHLGFEH09CB,南港段,2.09,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1395,持分移轉,06970000
RPPNMLSLNHLGFEH09CB,南港段,5.24,非都市：一般農業區 ; 非都市編定：農牧用地,40864,524,持分移轉,05310001
RPQNMLOLNHLGFDH68CB,新洲段,5.90,都市：住,1000000,32699,持分移轉,13760000
RPQNMLOLNHLGFDH68CB,新洲段,7.67,都市：住,1000000,32699,持分移轉,13770000
RPQNMLOLNHLGFDH68CB,新洲段,8.27,都市：住,1000000,32699,持分移轉,13790000
RPQNMLOLNHLGFDH68CB,新洲段,11.24,都市：住,1000000,32699,持分移轉,13800000
RPPNMLRLNHLGFEH98CB,新鼻段,16.48,都市：住,100000,820,持分移轉,01620000
RPPNMLLMNHLGFDH38CB,楊湖段,21.37,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,716,持分移轉,08490000
RPPNMLLMNHLGFEH48CB,青峰段,33.18,都市：住,100000,1011,持分移轉,04360000
RPPNMLLMNHLGFAH08CB,桃合段,10.53,都市：住,10000,15,持分移轉,00080000
RPTNMLLMNHLGFAH48CB,中路二段,12.53,都市：住,1000000,1608,持分移轉,00290000
RPRNMLLMNHLGFAH28CB,桃合段,10.53,都市：住,10000,15,持分移轉,00080000
RPSNMLLMNHLGFAH38CB,桃合段,10.53,都市：住,10000,15,持分移轉,00080000
RPQNMLLMNHLGFAH18CB,桃合段,12.64,都市：住,10000,18,持分移轉,00080000
RPUNMLLJOHLGFDH68CB,草湳坡段埔心小段,17.07,都市：住,100000,579,持分移轉,00540001
RPUNMLLJOHLGFDH68CB,草湳坡段埔心小段,6.69,都市：住,100000,579,持分移轉,00540019
RPUNMLLJOHLGFDH68CB,草湳坡段埔心小段,1.89,都市：住,100000,579,持分移轉,00540012
RPVNMLLJOHLGFDH78CB,草湳坡段埔心小段,12.50,都市：住,100000,424,持分移轉,00540001
RPVNMLLJOHLGFDH78CB,草湳坡段埔心小段,4.90,都市：住,100000,424,持分移轉,00540019
RPVNMLLJOHLGFDH78CB,草湳坡段埔心小段,1.38,都市：住,100000,424,持分移轉,00540012
RPRNMLLJOHLGFEH48CB,新鼻段,5.15,都市：住,100000,1930,持分移轉,03120000
RPRNMLLJOHLGFEH48CB,新鼻段,4.39,都市：住,100000,1930,持分移轉,03130000
RPRNMLLJOHLGFEH48CB,新鼻段,11.58,都市：住,100000,1930,持分移轉,03150000
RPROMLLJOHLGFEH58CB,客運一段,10.15,都市：商,100000,74,持分移轉,00540000
RPWNMLLJOHLGFEH98CB,福德段,13.59,都市：住,100000,620,持分移轉,14670000
RPPNMLLJOHLGFFH38CB,豐田段,23.96,都市：住,100000,1889,持分移轉,13850000
RPUOMLLJOHLGFEH88CB,客運一段,21.17,都市：住,10000,51,持分移轉,01600000
RPSNMLLJOHLGFEH58CB,新鼻段,5.17,都市：住,100000,1936,持分移轉,03120000
RPSNMLLJOHLGFEH58CB,新鼻段,4.40,都市：住,100000,1936,持分移轉,03130000
RPSNMLLJOHLGFEH58CB,新鼻段,11.62,都市：住,100000,1936,持分移轉,03150000
RPTOMLLJOHLGFEH78CB,客運一段,21.17,都市：住,10000,51,持分移轉,01600000
RPSOMLLJOHLGFEH68CB,客運一段,15.36,都市：商,100000,112,持分移轉,00540000
RPRNMLLJOHLGFFH58CB,大庄段,33.41,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,1215,持分移轉,06930000
RPPNMLLJOHLGFGH48CB,湧星段,25.47,都市：住,10000,275,持分移轉,09880000
RPQNMLLJOHLGFGH58CB,湧星段,25.57,都市：住,10000,276,持分移轉,09880000
RPPNMLMJOHLGFAH97CB,中路二段,28.27,都市：住,100000,469,持分移轉,00010000
RPPNMLMJOHLGFAH97CB,中路二段,.93,都市：住,100000,469,持分移轉,00010001
RPSNMLMJOHLGFAH28CB,龍安段,14.97,都市：住,100000,1960,持分移轉,02510000
RPRNMLMJOHLGFAH18CB,龍安段,14.90,都市：住,100000,1950,持分移轉,02510000
RPTNMLMJOHLGFAH38CB,龍安段,14.97,都市：住,100000,1960,持分移轉,02510000
RPSNMLMJOHLGFCH48CB,員林段,8.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01190000
RPSNMLMJOHLGFCH48CB,員林段,7.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01480000
RPSNMLMJOHLGFCH48CB,員林段,.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01560001
RPQOMLMJOHLGFBH28CB,豐興段,7.59,都市：商,10000,19,持分移轉,01560000
RPQOMLMJOHLGFBH28CB,豐興段,7.59,都市：商,10000,19,持分移轉,01570000
RPRNMLLJOHLGFBH18CB,草福段,20.76,都市：住,100000,1102,持分移轉,05630000
RPROMLMJOHLGFBH38CB,豐興段,13.58,都市：商,10000,34,持分移轉,01560000
RPROMLMJOHLGFBH38CB,豐興段,13.58,都市：商,10000,34,持分移轉,01570000
RPPNMLLJOHLGFBH97CB,工業區段二小段,12.30,非都市：工業區 ; 非都市編定：丁種建築用地,100000,3237,持分移轉,05530000
RPSNMLLJOHLGFBH28CB,草福段,20.76,都市：住,100000,1102,持分移轉,05630000
RPSOMLMJOHLGFBH48CB,豐興段,5.99,都市：商,10000,15,持分移轉,01560000
RPSOMLMJOHLGFBH48CB,豐興段,5.99,都市：商,10000,15,持分移轉,01570000
RPRNMLMJOHLGFBH28CB,雙嶺段,17.53,都市：商,100000,843,持分移轉,14360000
RPQNMLMJOHLGFBH18CB,雙嶺段,17.53,都市：商,100000,843,持分移轉,14360000
RPSNMLRLNHLGFBH98CB,埔頂段,26.23,非都市：一般農業區 ; 非都市編定：甲種建築用地,100000,1382,持分移轉,06050000
RPPNMLMJOHLGFBH08CB,雙嶺段,17.53,都市：商,100000,843,持分移轉,14360000
RPSNMLQLNHLGFBH88CB,富溪段,22.06,都市：住,100000,3880,持分移轉,00630001
RPPNMLTLNHLGFBH88CB,復興段,11.45,都市：商,10000,89,持分移轉,19170000
RPPNMLTLNHLGFBH88CB,復興段,1.26,都市：商,10000,89,持分移轉,19130000
RPRNMLRLNHLGFBH88CB,富溪段,23.35,都市：住,100000,4864,持分移轉,01050000
RPTNMLLJOHLGFBH38CB,洽溪段,6.41,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,50,持分移轉,10850000
RPTNMLLJOHLGFBH38CB,洽溪段,12.97,,10000,50,持分移轉,10910000
RPTNMLMJOHLGFCH58CB,員林段,8.26,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01190000
RPTNMLMJOHLGFCH58CB,員林段,7.74,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01480000
RPTNMLMJOHLGFCH58CB,員林段,.03,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,303,持分移轉,01560001
RPUNMLMJOHLGFCH68CB,員林段,14.31,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,525,持分移轉,01190000
RPUNMLMJOHLGFCH68CB,員林段,13.41,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,525,持分移轉,01480000
RPUNMLMJOHLGFCH68CB,員林段,.05,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,525,持分移轉,01560001
RPQNMLMJOHLGFFH58CB,竹園段,3.66,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,703,持分移轉,00650000
RPQNMLMJOHLGFFH58CB,竹園段,3.26,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,703,持分移轉,00660000
RPQNMLMJOHLGFFH58CB,竹園段,3.72,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,703,持分移轉,00670000
RPQNMLMJOHLGFFH58CB,竹園段,15.61,非都市：特定農業區 ; 非都市編定：甲種建築用地,100000,703,持分移轉,00680000
RPQNMLMJOHLGFEH48CB,新鼻段,26.74,都市：住,100000,612,持分移轉,01660000
RPPNMLNJOHLGFAH08CB,桃合段,16.99,都市：住,100000,242,持分移轉,00080001
RPSNMLNJOHLGFFH88CB,茄苳段,20.31,都市：住,100000,222,持分移轉,04260000
RPPNMLMJOHLGFCH28DB,介壽段,21.17,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2485,持分移轉,07130000
RPRNMLNJOHLGFAH28CB,龍安段,19.46,都市：住,100000,2118,持分移轉,00140000
RPQNMLMJOHLGFCH38DB,介壽段,20.52,非都市：鄉村區 ; 非都市編定：乙種建築用地,100000,2408,持分移轉,07130000
RPSNMLNJOHLGFGH98CB,鎮東段,33.96,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,214,持分移轉,02020000
RPPNMLNJOHLGFEH48CB,新鼻段,28.53,都市：住,100000,653,持分移轉,01660000
RPTNMLNJOHLGFGH09CB,鎮東段,40.63,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,256,持分移轉,02020000
RPRNMLNJOHLGFGH88CB,鎮東段,36.03,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,227,持分移轉,02020000
RPUNMLNJOHLGFGH56CB,鎮東段,40.63,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,256,持分移轉,02020000
RPWNMLNJOHLGFGH76CB,鎮東段,34.60,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,218,持分移轉,02020000
RPVNMLNJOHLGFGH66CB,鎮東段,36.03,非都市：一般農業區 ; 非都市編定：甲種建築用地,10000,227,持分移轉,02020000
RPPNMLOJOHLGFDH48CB,草湳坡段埔心小段,5.67,都市：商,1000000,5626,持分移轉,00600012
RPPNMLOJOHLGFDH48CB,草湳坡段埔心小段,2.76,都市：商,1000000,5626,持分移轉,00600150
RPPNMLOJOHLGFDH48CB,草湳坡段埔心小段,.57,都市：商,1000000,5626,持分移轉,00600158
RPPNMLOJOHLGFDH48CB,草湳坡段埔心小段,2.84,都市：商,1000000,5626,持分移轉,00600225
RPQNMLOJOHLGFAH28CB,中路二段,12.66,都市：住,100000,210,持分移轉,00010000
RPQNMLOJOHLGFAH28CB,中路二段,.42,都市：住,100000,210,持分移轉,00010001
RPQNMLOJOHLGFDH58CB,草湳坡段埔心小段,17.56,都市：商,1000000,98075,持分移轉,00600162
RPPNMLPJOHLGFAH28CB,三民段,13.73,都市：住,100000,843,持分移轉,00250000
RPRNMLOJOHLGFDH68CB,頭重溪段,155.82,非都市：鄉村區 ; 非都市編定：乙種建築用地,1000,34,持分移轉,02390007
