鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
桃園區,租賃房屋,桃園市桃園區中正路１３８８號十五樓之四,0.0,,,,1150521,土地0建物1車位0,十五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830803,79.97,2,1,1,有,有,有,16000,200,,0.0,0,,RPUPMLLLNHLGFAH78CC,整棟(戶)出租,有,1150620~1160619,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
中壢區,租賃房屋+車位,桃園市中壢區青峰路一段３９號９樓,0.0,,,,1150521,土地0建物1車位1,九層,14,辦公商業大樓,辦公室,鋼筋混凝土造,1051010,151.7,0,0,0,無,有,無,38000,250,坡道平面,26.47,0,租賃期間有約定不同租金第1年：新台幣?萬捌仟元整，第2年：新台幣?萬玖仟元整；,RPRPMLLLNHLGFBH58CC,,有,1150501~1170430,有,冷氣,
中壢區,租賃房屋,桃園市中壢區實踐路２２５號六樓之３３,0.0,,,,1150521,土地0建物1車位0,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930410,28.080000000000002,1,1,1,有,有,有,6500,231,,0.0,0,社會住宅 管理費500元，水電費  由承租人負擔,RPURMLLLNHLGFBH09CC,獨立套房,有,1150701~1160630,有,冷氣、熱水器、冰箱,社會住宅代管
中壢區,租賃房屋,桃園市中壢區功學社新村８４之２號,0.0,,,,1150521,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651110,78.93,3,2,1,有,無,有,8000,101,,0.0,0,水電費 瓦斯費 由承租人負擔續租案件；,RPSTMLLLNHLGFBH09CC,整棟(戶)出租,無,1150601~1160531,無,冷氣、熱水器、冰箱、瓦斯或天然氣,社會住宅代管
中壢區,租賃房屋,桃園市中壢區中北路二段 ２０８ 巷 ５ 號三樓,0.0,,,,1150521,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910404,149.88,3,1,2,有,有,有,20000,133,,0.0,0,,RPUTMLLLNHLGFBH66CC,整棟(戶)出租,有,1150602~1160601,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
龍潭區,租賃房屋,桃園市龍潭區民生路１６３巷４弄１０號,0.0,,,,1150521,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0680404,73.92,4,2,2,有,無,有,10000,135,,0.0,0,社會住宅 ，水電費 由承租人負擔續租案件；,RPTNMLLLNHLGFCH68CC,整棟(戶)出租,無,1150601~1160531,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
龍潭區,租賃房屋,桃園市龍潭區自由街６７巷３３號,0.0,,,,1150521,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0701216,90.0,3,1,2,有,無,有,15000,167,,0.0,0,,RPUNMLLLNHLGFCH78CC,整棟(戶)出租,無,1150524~1160523,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
龍潭區,租賃房屋,桃園市龍潭區中興路２２７巷２９號,0.0,,,,1150521,土地0建物1車位0,全,1,透天厝,住家用,磚造,0640601,29.15,2,1,1,有,無,無,10000,343,,0.0,0,水電費  由承租人負擔續租案件；,RPVNMLLLNHLGFCH88CC,整棟(戶)出租,無,1150601~1160531,無,熱水器、冰箱,社會住宅代管
龍潭區,租賃房屋,桃園市龍潭區民治三街１５１號二樓之３,0.0,,,,1150521,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0800208,35.57,1,0,1,有,有,有,5800,163,,0.0,0,管理費700元由出租人負擔，水電費  由承租人負擔續租案件；,RPOOMLLLNHLGFCH28CC,獨立套房,有,1150610~1160609,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
龍潭區,租賃房屋,桃園市龍潭區梅龍一街２２巷２８號,0.0,,,,1150521,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0700825,85.26,6,2,2,有,無,無,15000,176,,0.0,0,水電費  由承租人負擔續租案件；,RPPOMLLLNHLGFCH38CC,整棟(戶)出租,無,1150610~1160609,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
大溪區,租賃房屋,桃園市大溪區介壽路８８４巷２９弄６號,0.0,,,,1150521,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0781207,92.27,3,2,1,有,無,有,17000,184,,0.0,0,水電費  由承租人負擔續租案件；,RPQOMLLLNHLGFCH48CC,整棟(戶)出租,無,1150601~1160531,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
龍潭區,租賃房屋,桃園市龍潭區中興路 ３１７ 巷 ７４ 弄 １０ 號,0.0,,,,1150521,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0690525,92.32,4,1,1,有,無,有,12000,130,,0.0,0,,RPROMLLLNHLGFCH58CC,整棟(戶)出租,無,1150521~1160520,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
楊梅區,租賃房屋,桃園市楊梅區新農街３７４號八樓,0.0,,,,1150521,土地0建物1車位0,八層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860911,141.2,2,2,2,有,有,有,16000,113,,0.0,0,社會住宅 管理費2000元，水電費 瓦斯費 由承租人負擔續租案件；,RPQNMLLLNHLGFDH48CC,整棟(戶)出租,有,1150705~1160704,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
大園區,租賃房屋+車位,桃園市大園區水源南路１０９３巷１１號五樓之３,0.0,,,,1150521,土地0建物1車位1,五層,8,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1140605,175.09,2,1,2,有,有,有,17200,98,坡道平面,37.2,0,機車位一個每月管理費2800由出租人負擔,RPPOMLLLNHLGFEH58CC,整棟(戶)出租,有,1150601~1180531,有,熱水器、瓦斯或天然氣,社會住宅代管
八德區,租賃房屋,桃園市八德區福德二街４５之１號,0.0,,,,1150521,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730110,100.32,3,2,1,有,無,有,14000,140,,0.0,0,社會住宅 ，水電費  由承租人負擔,RPSOMLLLNHLGFFH98CC,整棟(戶)出租,無,1150715~1160714,無,冷氣、熱水器、電視機、瓦斯或天然氣,社會住宅代管
平鎮區,租賃房屋+車位,桃園市平鎮區新華路８２號二樓,0.0,,,,1150521,土地0建物1車位1,二層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850212,159.57999999999998,4,1,2,有,有,有,16000,100,坡道平面,0.0,1000,,RPSOMLLLNHLGFGH09CC,整棟(戶)出租,有,1150620~1160619,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
桃園區,租賃房屋+車位,桃園市桃園區中正路１０７１號４樓之７,38.09,住,,,1150521,土地1建物1車位1,四層,20,辦公商業大樓,辦公室,鋼骨造,0810123,387.53000000000003,0,0,0,無,有,無,75000,194,坡道平面,18.0,0,,RPOOMLMLNHLGFAH18CC,,有,1150521~1250520,有,,
桃園區,租賃房屋+車位,桃園市桃園區朝陽街２６６號十樓,0.0,,,,1150521,土地0建物1車位1,十層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1141208,160.0,3,1,2,有,有,無,30500,207,坡道平面,24.87,2500,水電費及管理費每月   3500元 由承租人負擔,RPPPMLMLNHLGFAH38CC,整棟(戶)出租,有,1150605~1160604,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
