編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPUPMLLLNHLGFAH78CC,32,65.59,住家用,鋼筋混凝土造,83年8月3日,十六層,,
RPUPMLLLNHLGFAH78CC,32,6.76,共有部份,鋼筋混凝土造,83年8月3日,十六層,,
RPUPMLLLNHLGFAH78CC,32,2.14,共有部份,鋼筋混凝土造,83年8月3日,十六層,,
RPUPMLLLNHLGFAH78CC,32,5.48,共有部份,鋼筋混凝土造,83年8月3日,十六層,,
RPOOMLMLNHLGFAH18CC,34,285.29,辦公室,鋼骨造,81年1月23日,二十層,,
RPOOMLMLNHLGFAH18CC,34,102.24,共有部份,鋼骨造,81年1月23日,二十層,,
RPPPMLMLNHLGFAH38CC,,88.43,集合住宅,鋼筋混凝土造,114年12月8日,十三層,,
RPPPMLMLNHLGFAH38CC,,71.57,本建物共有部分項目：集合住宅（附屬梯間、車道、管理委員會使用空間、室內游泳池）、梯間、水箱、機房、停車空間、發電機室、垃圾處理室、台電配電室、電信室、泳池機房、蓄水池、防空避難室兼停車空間、消防泵浦室、雨水機房等項。,鋼筋混凝土造,114年12月8日,十五層,,
RPOSMLMLNHLGFAH58CC,9,174.34,住家用,鋼筋混凝土造,106年8月24日,二十九層,,
RPXRMLMLNHLGFAH76CC,33,93.93,住家用,鋼筋混凝土造,82年3月30日,六層,,
RPOSMLMLNHLGFAH58CC,9,18.66,住家用,鋼筋混凝土造,106年8月24日,二十九層,,
RPXRMLMLNHLGFAH76CC,33,30.91,共有部份,鋼筋混凝土造,82年3月30日,六層,,
RPOSMLMLNHLGFAH58CC,9,153.48,本共有部分之項目有：集合住宅（附屬開放空間、公共服務空間、梯間、機房、水箱、停車空間、台電配電場所、電錶室、電信室、發電機房、垃圾處理室、防災中心、水景機房、泳池設備室、泳池蓄水池、防空避難室兼停車空間、蓄水池、消防泵浦室、污水及雨水回收機房）等１９項,鋼筋混凝土造,106年8月24日,二十九層,,
RPSTMLLLNHLGFBH09CC,50,78.93,住家用,鋼筋混凝土造,65年11月10日,四層,,
RPUTMLLLNHLGFBH66CC,24,111.21,住家用,鋼筋混凝土造,91年4月4日,十四層,,
RPUTMLLLNHLGFBH66CC,24,13.49,共有部份,鋼筋混凝土造,91年4月4日,十四層,,
RPUTMLLLNHLGFBH66CC,24,25.18,共有部份,鋼筋混凝土造,91年4月4日,十四層,,
RPRPMLLLNHLGFBH58CC,10,79.09,辦公室,鋼筋混凝土造,105年10月10日,十四層,,
RPRPMLLLNHLGFBH58CC,10,72.61,本共有部分之項目有：停車空間、機房、水箱、污水機房、消防機械室、電信室、防空避難室兼停車空間、機電設備空間、台電配電室、管委會使用空間、空調機房、會議室、樓梯間、電梯間、水錶室、梯廳、機械室、機車停車區、水景機房、發電機室、電錶室、環保室、車道、排煙室、走廊及陽台等２６項。,鋼筋混凝土造,105年10月10日,十四層,,
RPURMLLLNHLGFBH09CC,22,18.94,住家用,鋼筋混凝土造,93年4月10日,十層,,
RPURMLLLNHLGFBH09CC,22,5.87,共有部份,鋼筋混凝土造,93年4月10日,十層,,
RPURMLLLNHLGFBH09CC,22,.81,共有部份,鋼筋混凝土造,93年4月10日,十層,,
RPURMLLLNHLGFBH09CC,22,2.46,共有部份,鋼筋混凝土造,93年4月10日,十層,,
RPUNMLLLNHLGFCH78CC,44,90.00,住家用,加強磚造,70年12月16日,二層,,
RPOOMLLLNHLGFCH28CC,35,24.87,住家用,鋼筋混凝土造,80年2月8日,四層,,
RPOOMLLLNHLGFCH28CC,35,10.70,共有部份,鋼筋混凝土造,80年2月8日,五層,,
RPTNMLLLNHLGFCH68CC,47,73.92,住家用,加強磚造,68年4月4日,二層,,
RPROMLLLNHLGFCH58CC,46,92.32,住家用,加強磚造,69年5月25日,二層,,
RPTNMLMLNHLGFBH68CC,34,66.69,住家用,鋼筋混凝土造,81年11月6日,七層,,
RPTNMLMLNHLGFBH68CC,34,16.56,共有部份,鋼筋混凝土造,81年11月6日,七層,,
RPQOMLLLNHLGFCH48CC,36,92.27,住商用,鋼筋混凝土造,78年12月7日,四層,,
RPQNMLLLNHLGFDH48CC,29,86.13,住家用,鋼筋混凝土造,86年9月11日,八層,,
RPQNMLLLNHLGFDH48CC,29,42.14,停車場、避難室、蓄水池、通道,鋼筋混凝土造,86年9月11日,九層,,
RPQNMLLLNHLGFDH48CC,29,12.93,梯間、機械室,鋼筋混凝土造,86年9月11日,八層,,
RPQSMLMLNHLGFAH78CC,31,40.76,住家用,鋼筋混凝土造,84年4月19日,十九層,,
RPQSMLMLNHLGFAH78CC,31,6.95,共有部份,鋼筋混凝土造,84年4月19日,二十層,,
RPQSMLMLNHLGFAH78CC,31,1.46,共有部份,鋼筋混凝土造,84年4月19日,十九層,,
RPVNMLLLNHLGFCH88CC,51,29.15,住家用,磚造,64年6月1日,一層,,
RPPOMLLLNHLGFCH38CC,45,85.26,住家用,加強磚造,70年8月25日,二層,,
RPVPMLMLNHLGFBH09CC,2,25.68,工業社區（社區住宅）,鋼筋混凝土造,113年8月29日,六層,,
RPTPMLMLNHLGFBH88CC,33,88.29,住家用,鋼筋混凝土造,81年12月8日,五層,,
RPTPMLMLNHLGFBH88CC,33,6.22,共有部份,鋼筋混凝土造,81年12月8日,五層,,
RPSQMLMLNHLGFBH88CC,33,88.29,住家用,鋼筋混凝土造,81年12月8日,五層,,
RPSQMLMLNHLGFBH88CC,33,6.22,共有部份,鋼筋混凝土造,81年12月8日,五層,,
RPPNMLMLNHLGFCH38CC,44,90.00,住家用,加強磚造,70年12月16日,二層,,
RPSOMLLLNHLGFGH09CC,30,91.99,住家用,鋼筋混凝土造,85年2月12日,十一層,,
RPSOMLLLNHLGFGH09CC,30,12.75,共有部份,鋼筋混凝土造,85年2月12日,十一層,,
RPSOMLLLNHLGFGH09CC,30,40.92,共有部份,鋼筋混凝土造,85年2月12日,十一層,,
RPSOMLLLNHLGFGH09CC,30,13.92,共有部份,鋼筋混凝土造,85年2月12日,十一層,,
RPVSMLMLNHLGFBH76CC,50,66.60,住家用,加強磚造,65年7月12日,二層,,
RPRNMLMLNHLGFGH98CC,8,70.38,住家用,鋼筋混凝土造,107年9月18日,十四層,,
RPRNMLMLNHLGFGH98CC,8,13.87,共有部份,鋼筋混凝土造,107年9月18日,十四層,,
RPRNMLMLNHLGFGH98CC,8,48.75,共有部份,鋼筋混凝土造,107年9月18日,十四層,,
RPOSMLMLNHLGFBH68CC,31,21.45,住家用,鋼筋混凝土造,84年7月28日,十二層,,
RPOSMLMLNHLGFBH68CC,31,7.53,共有部份,鋼筋混凝土造,84年7月28日,十二層,,
RPSOMLLLNHLGFFH98CC,42,100.32,住家用,鋼筋混凝土造,73年1月10日,五層,,
RPVNMLMLNHLGFGH76CC,31,97.74,住家用,鋼筋混凝土造,84年4月21日,十六層,,
RPVNMLMLNHLGFGH76CC,31,16.60,共有部份,鋼筋混凝土造,84年4月21日,十六層,,
RPVNMLMLNHLGFGH76CC,31,2.40,共有部份,鋼筋混凝土造,84年4月21日,十六層,,
RPPOMLLLNHLGFEH58CC,1,94.16,集合住宅,鋼筋混凝土造,114年6月5日,八層,,
RPPOMLLLNHLGFEH58CC,1,80.93,共有部份,鋼筋混凝土造,114年6月5日,八層,,
RPSNMLMLNHLGFFH98CC,47,157.09,住商用,鋼筋混凝土造,68年1月16日,三層,,
RPQOMLMLNHLGFDH68CC,24,109.50,住家用,鋼筋混凝土造,91年7月3日,十三層,,
RPQOMLMLNHLGFDH68CC,24,22.65,樓梯間、水箱、機械室,鋼筋混凝土造,91年7月3日,十三層,,
RPQOMLMLNHLGFDH68CC,24,48.21,防空避難室、停車空間,鋼筋混凝土造,91年7月3日,十三層,,
RPPNMLNLNHLGFBH38CC,13,22.33,住宅、住宅（附屬梯間）,鋼筋混凝土造,102年8月23日,五層,,
RPQOMLMLNHLGFFH88CC,6,49.61,集合住宅,鋼筋混凝土造,109年3月31日,十五層,,
RPQOMLMLNHLGFFH88CC,6,55.48,共有部分項目：防空避難室兼停車空間、停車空間、管委會使用空間、水錶室、樓梯間、機械室、水箱等計七項。,鋼筋混凝土造,109年3月31日,十五層,,
RPPOMLMLNHLGFDH58CC,1,52.45,集合住宅,鋼筋混凝土造,114年4月14日,十層,,
RPPOMLMLNHLGFDH58CC,1,15.37,本共有部分之項目有集合住宅（附屬供管委會使用空間）、梯間、機械室、水箱等４項,鋼骨鋼筋混凝土造、鋼筋混凝土造,114年4月14日,十層,,
RPPOMLMLNHLGFDH58CC,1,37.92,本共有部分之項目有集合住宅（附屬供管委會使用空間）、停車空間、防空避難室兼停車空間等３項,鋼筋混凝土造,114年4月14日,十層,,
RPQNMLNLNHLGFBH48CC,4,20.19,集合住宅,鋼筋混凝土造,111年2月7日,五層,,
RPWNMLMLNHLGFFH76CC,45,105.45,住家用,鋼筋混凝土造,70年3月14日,二層,,
RPROMLPLNHLGFAH78CC,24,79.79,住家用,鋼筋混凝土造,91年4月3日,十層,,
RPROMLPLNHLGFAH78CC,24,10.48,共有部份,鋼筋混凝土造,91年4月3日,十層,,
RPROMLPLNHLGFAH78CC,24,16.66,共有部份,鋼筋混凝土造,91年4月3日,十層,,
RPOOMLPLNHLGFAH48CC,3,55.51,住家用,鋼筋混凝土造,112年8月15日,二十三層,,
RPWPMLPLNHLGFAH76CC,31,88.40,住家用,鋼筋混凝土造,84年8月10日,七層,,
RPTNMLPLNHLGFBH98CC,31,18.76,住家用,鋼筋混凝土造,84年7月28日,十二層,,
RPOOMLPLNHLGFAH48CC,3,52.51,本共有部分之項目有：集合住宅（附屬管委會使用空間）、梯間、消防機房、電梯機房、水箱、停車空間、防空避難室兼停車空間等７項,鋼筋混凝土造,112年8月15日,二十三層,,
RPWPMLPLNHLGFAH76CC,31,22.54,共有部份,鋼筋混凝土造,84年8月10日,七層,,
RPTNMLPLNHLGFBH98CC,31,7.19,共有部份,鋼筋混凝土造,84年7月28日,十二層,,
RPWPMLPLNHLGFAH76CC,31,2.81,共有部份,鋼筋混凝土造,84年8月10日,七層,,
RPOOMLPLNHLGFBH58CC,2,60.45,集合住宅,鋼筋混凝土造,113年9月6日,二十二層,,
RPOOMLPLNHLGFBH58CC,2,69.86,共有部分主要用途有：集合住宅（附屬管委會使用空間、中繼泵浦室、樓梯間、機械室、水箱、停車空間、防空避難室兼停車空間）等７項。,鋼骨鋼筋混凝土造、鋼筋混凝土造,113年9月6日,二十二層,,
RPSOMLPLNHLGFBH98CC,4,57.60,集合住宅,鋼筋混凝土造,111年8月3日,十四層,,
RPSOMLPLNHLGFBH98CC,4,65.40,本共有部分之項目有：防空避難室兼停車空間、消防泵浦室、雨水、汙水機房、蓄水池、梯間、停車空間、機房、電信室、台電配電場所、垃圾儲藏室、發電機房、管委會使用空間、車道、水箱、機械室、排煙室、梯廳（排煙室）、梯廳及門廊等十九項。,鋼筋混凝土造,111年8月3日,十四層,,
RPVNMLMLNHLGFDH09CC,1,85.08,集合住宅,鋼筋混凝土造,114年11月10日,十三層,,
RPVNMLMLNHLGFDH09CC,1,72.99,本共有部分之項目有：防空避難室兼停車空間、梯間、消防泵浦室、雨、汙水機房、機房、蓄水池、停車空間、台電配電室、發電機室、電信室、垃圾處理室、集合住宅（附屬管委會使用空間、開放空間、車道、梯間）、集合住宅（附屬梯間）、電梯機房、水箱等１７項,鋼筋混凝土造,114年11月10日,十五層,,
RPTNMLMLNHLGFEH98CC,31,59.42,住家用,鋼筋混凝土造,84年8月11日,二十層,,
RPTNMLMLNHLGFEH98CC,31,15.29,共有部份,鋼筋混凝土造,84年8月11日,二十層,,
RPTNMLMLNHLGFEH98CC,31,8.86,共有部份,鋼筋混凝土造,84年8月11日,二十層,,
RPTNMLMLNHLGFEH98CC,31,40.83,共有部份,鋼筋混凝土造,84年8月11日,二十層,,
RPQOMLPLNHLGFBH78CC,24,42.79,住家用,鋼筋混凝土造,91年4月4日,九層,,
RPQOMLPLNHLGFBH78CC,24,5.85,共有部份,鋼筋混凝土造,91年4月4日,十層,,
RPQOMLPLNHLGFBH78CC,24,9.72,共有部份,鋼筋混凝土造,91年4月4日,十四層,,
RPXOMLPLNHLGFAH76CC,16,337.02,辦公室,鋼筋混凝土造,99年4月22日,二十五層,,
RPTOMLPLNHLGFBH09CC,28,127.06,住家用,鋼筋混凝土造,87年10月22日,八層,,
RPTOMLPLNHLGFBH09CC,28,21.03,共有部份,鋼筋混凝土造,87年10月22日,八層,,
RPTOMLPLNHLGFBH09CC,28,23.94,共有部份,鋼筋混凝土造,87年10月22日,八層,,
RPPNMLNLNHLGFEH68CC,31,24.91,住家用,鋼筋混凝土造,84年8月11日,二十層,,
RPUNMLPLNHLGFBH09CC,31,28.09,住家用,鋼筋混凝土造,84年3月8日,十二層,,
RPPNMLNLNHLGFEH68CC,31,6.81,共有部份,鋼筋混凝土造,84年8月11日,二十層,,
RPUNMLPLNHLGFBH09CC,31,5.86,共有部份,鋼筋混凝土造,84年3月8日,十二層,,
RPPNMLNLNHLGFEH68CC,31,4.17,共有部份,鋼筋混凝土造,84年8月11日,二十層,,
RPUNMLPLNHLGFBH09CC,31,10.16,共有部份,鋼筋混凝土造,84年3月8日,十二層,,
RPQPMLPLNHLGFBH88CC,4,20.19,集合住宅,鋼筋混凝土造,111年2月7日,五層,,
RPXOMLPLNHLGFBH86CC,32,210.81,住家用,鋼筋混凝土造,83年9月14日,四層,,
RPXOMLPLNHLGFBH86CC,32,.59,共有部份,鋼筋混凝土造,83年9月14日,四層,,
RPVOMLPLNHLGFBH66CC,6,66.99,集合住宅,鋼筋混凝土造,108年12月16日,五層,,
RPVOMLPLNHLGFBH66CC,6,15.18,本共有部份之項目有停車空間、梯廳、走道、安全梯、樓梯間、機械室、水錶室及電信室等８項。,鋼筋混凝土造,108年12月16日,五層,,
RPRPMLPLNHLGFBH98CC,31,26.69,住家用,鋼筋混凝土造,84年8月5日,十二層,,
RPRPMLPLNHLGFBH98CC,31,11.86,共有部份,鋼筋混凝土造,84年8月5日,十二層,,
RPOPMLPLNHLGFBH68CC,19,32.53,店舖、住宅、停車空間,鋼筋混凝土造,96年3月5日,四層,,
RPRPMLMLNHLGFHH66CC,4,80.93,集合住宅,鋼筋混凝土造,111年5月18日,二十二層,,
RPRPMLMLNHLGFHH66CC,4,14.94,共有部分之項目有：機電設備空間、停車空間、機車停車空間、集合住宅（附屬管委會使用空間、警衛室、儲藏室）等四項。,鋼筋混凝土造,111年5月18日,二十二層,,
RPRPMLMLNHLGFHH66CC,4,25.19,共有部分之項目有：機電設備空間、機電設備空間（中繼機房）、樓電梯間、水錶室、樓梯間、電梯機房、水箱室等七項。,鋼筋混凝土造,111年5月18日,二十二層,,
RPRPMLMLNHLGFHH66CC,4,27.32,共有部分之項目有：停車空間、防空避難室兼停車空間等二項。,鋼筋混凝土造,111年5月18日,二十二層,,
RPSPMLPLNHLGFBH09CC,4,20.19,集合住宅,鋼筋混凝土造,111年2月7日,五層,,
RPPQMLPLNHLGFBH88CC,1,43.88,集合住宅,鋼筋混凝土造,114年8月15日,十層,,
RPPQMLPLNHLGFBH88CC,1,50.96,本共有部分之項目有停車空間、梯廳、安全梯、消防機房、雨水機房、蓄水池、防空避難室兼停車空間、台電配電室、垃圾儲藏空間、電信機房、發電機室、管委會空間、車道、昇降機道、梯間、水箱等１６項。,鋼筋混凝土造,114年8月15日,十層,,
RPRQMLPLNHLGFBH09CC,1,40.84,集合住宅,鋼筋混凝土造,114年10月22日,五層,,
RPRQMLPLNHLGFBH09CC,1,53.95,本共有部分之項目有：集合住宅（附屬停車空間）、樓梯間及機械室等３項。,鋼筋混凝土造,114年10月22日,五層,,
RPTNMLMLNHLGFHH66CC,18,127.48,一般零售業或服務業（附屬停車空間）,鋼筋混凝土造,97年1月10日,六層,,
RPTNMLMLNHLGFHH66CC,18,39.11,共有部份,鋼筋混凝土造,97年1月10日,六層,,
RPTNMLMLNHLGFHH66CC,18,52.31,共有部份,鋼筋混凝土造,97年1月10日,六層,,
RPTNMLMLNHLGFHH66CC,18,11.83,一般零售業或服務業（附屬停車空間）,鋼筋混凝土造,97年1月10日,六層,,
RPTNMLMLNHLGFHH66CC,18,2.19,一般零售業或服務業（附屬停車空間）,鋼筋混凝土造,97年1月10日,六層,,
RPTRMLPLNHLGFBH76CC,6,70.31,集合住宅,鋼筋混凝土造,109年4月9日,十二層,,
RPTRMLPLNHLGFBH76CC,6,66.51,本共有部分之項目有：停車空間、防空避難室兼停車空間、樓梯間、水箱、機械室、梯廳、蓄水池、消防泵浦室、垃圾暫存空間（附冷藏設備）、台電配電室、電信機房、發電機室、公共服務空間、管委會使用空間、車道及水錶區等十六項。,鋼筋混凝土造,109年4月9日,十三層,,
RPWQMLPLNHLGFBH96CC,24,73.43,住家用,鋼筋混凝土造,91年4月4日,九層,,
RPWQMLPLNHLGFBH96CC,24,9.74,共有部份,鋼筋混凝土造,91年4月4日,十層,,
RPTQMLPLNHLGFBH66CC,45,24.47,住家用,鋼筋混凝土造,70年4月9日,五層,,
RPWQMLPLNHLGFBH96CC,24,16.64,共有部份,鋼筋混凝土造,91年4月4日,十四層,,
RPURMLPLNHLGFBH86CC,44,89.61,住家用,鋼筋混凝土造,70年12月31日,四層,,
RPUPMLPLNHLGFBH66CC,31,57.42,住家用,鋼筋混凝土造,84年5月18日,九層,,
RPUPMLPLNHLGFBH66CC,31,.95,共有部份,鋼筋混凝土造,84年5月18日,九層,,
RPUPMLPLNHLGFBH66CC,31,2.42,共有部份,鋼筋混凝土造,84年5月18日,九層,,
RPUPMLPLNHLGFBH66CC,31,11.50,共有部份,鋼筋混凝土造,84年5月18日,九層,,
RPWPMLPLNHLGFBH86CC,31,98.10,住家用,鋼筋混凝土造,84年7月15日,七層,,
RPWPMLPLNHLGFBH86CC,31,24.39,共有部份,鋼筋混凝土造,84年7月15日,七層,,
RPXRMLPLNHLGFBH17CC,1,72.52,集合住宅,鋼筋混凝土造,114年10月1日,十四層,,
RPXRMLPLNHLGFBH17CC,1,72.99,本共有部分之項目有：消防泵浦室、污雨水回收機房、蓄水池、停車空間、梯間、發電機室、電信室、機房、防空避難室兼停車空間、垃圾處理室、台電配電場所、集合住宅（附屬管委會使用空間、車道、梯間）、機械室及水箱等１６項。,鋼筋混凝土造,114年10月1日,十四層,,
RPQQMLPLNHLGFBH98CC,18,98.75,住家用,鋼筋混凝土造,97年4月28日,二十四層,,
RPQQMLPLNHLGFBH98CC,18,12.64,共有部份,鋼筋混凝土造,97年4月28日,二十四層,,
RPRRMLPLNHLGFBH56CC,36,12.90,住家用,鋼筋混凝土造,78年12月20日,六層,,
RPQQMLPLNHLGFBH98CC,18,23.05,共有部份,鋼筋混凝土造,97年4月28日,二十四層,,
RPSSMLPLNHLGFBH76CC,38,88.06,住家用,鋼筋混凝土造,77年2月3日,五層,,
RPRRMLPLNHLGFBH56CC,36,6.65,共有部份,鋼筋混凝土造,78年12月20日,六層,,
RPUSMLPLNHLGFBH96CC,25,35.23,住家用,鋼筋混凝土造,90年8月30日,二十二層,,
RPUSMLPLNHLGFBH96CC,25,1.21,共有部份,鋼筋混凝土造,90年8月30日,二十二層,,
RPVNMLPLNHLGFCH66CC,2,65.34,集合住宅,鋼筋混凝土造,113年8月7日,五層,,
RPUSMLPLNHLGFBH96CC,25,8.45,共有部份,鋼筋混凝土造,90年8月30日,二十二層,,
RPVNMLPLNHLGFCH66CC,2,17.64,共有部分：集合住宅（附屬停車空間）、樓梯間、機械室及水箱,鋼筋混凝土造,113年8月7日,五層,,
RPUSMLPLNHLGFBH96CC,25,.95,共有部份,鋼筋混凝土造,90年8月30日,二十二層,,
