編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPOOMLMLNHLGFAH18CC,坡道平面,0,18.00,地下二樓
RPPPMLMLNHLGFAH38CC,坡道平面,2500,24.87,地下二樓
RPOSMLMLNHLGFAH58CC,坡道平面,0,,地下三樓
RPOSMLMLNHLGFAH58CC,坡道平面,0,,地下三樓
RPOSMLMLNHLGFAH58CC,坡道平面,0,,地下三樓
RPRPMLLLNHLGFBH58CC,坡道平面,0,26.47,地下二樓
RPVPMLMLNHLGFBH09CC,一樓平面,0,,一樓
RPVPMLMLNHLGFBH09CC,一樓平面,0,,一樓
RPSOMLLLNHLGFGH09CC,坡道平面,1000,,地下二樓
RPPOMLLLNHLGFEH58CC,坡道平面,0,37.20,地下二樓
RPQNMLNLNHLGFBH48CC,一樓平面,0,,一樓
RPXOMLPLNHLGFAH76CC,坡道平面,0,24.98,地下一樓
RPXOMLPLNHLGFAH76CC,坡道平面,0,24.98,地下一樓
RPQPMLPLNHLGFBH88CC,一樓平面,0,,一樓
RPRPMLMLNHLGFHH66CC,坡道平面,0,27.32,地下三樓
RPSPMLPLNHLGFBH09CC,一樓平面,0,,一樓
RPTNMLMLNHLGFHH66CC,坡道平面,0,39.09,地下二樓
RPTRMLPLNHLGFBH76CC,坡道平面,2014,32.37,地下三樓
RPXRMLPLNHLGFBH17CC,坡道平面,2000,36.44,地下三樓
RPSNMLPLNHLGFDH09CC,坡道平面,0,26.06,地下三樓
RPXNMLPLNHLGFFH17CC,坡道平面,1000,33.75,地下一樓
RPPOMLPLNHLGFGH56CC,坡道平面,2500,,地下一樓
RPOOMLQLNHLGFAH58CC,升降機械,3000,,地下一樓
RPUOMLPLNHLGFEH86CC,坡道平面,3000,26.85,地下一樓
RPTPMLQLNHLGFAH56CC,坡道平面,500,29.26,地下三樓
RPTRMLQLNHLGFAH76CC,坡道平面,0,8.35,地下三樓
RPQRMLQLNHLGFAH09CC,坡道平面,3000,,地下二樓
RPRNMLQLNHLGFBH88CC,一樓平面,2000,,一樓
RPXNMLQLNHLGFBH86CC,坡道機械,500,,地下二樓
RPVOMLQLNHLGFBH76CC,坡道平面,0,,地下一樓
RPPOMLQLNHLGFBH78CC,坡道平面,3500,35.22,地下三樓
RPPNMLQLNHLGFDH88CC,坡道機械,300,,地下一樓
RPUNMLQLNHLGFEH86CC,坡道平面,3000,20.32,地下二樓
RPQPMLQLNHLGFEH66CC,坡道平面,3000,37.95,地下三樓
RPQNMLRLNHLGFAH78CC,升降機械,1000,9.14,無固定樓層
