編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPWPMLTJOHLGFAI07DA,草地尾段,2.53,都市：其他:住宅區,360,1,持分移轉,08750000
RPVPMLTJOHLGFAI96DA,草地尾段,2.53,都市：其他:住宅區,360,1,持分移轉,08750000
RPXOMLKKOHLGFAI88DA,短竹段,.32,都市：其他:住宅區,100000,519,持分移轉,16680000
RPXOMLKKOHLGFAI88DA,短竹段,5.08,都市：其他:住宅區,100000,519,持分移轉,16690000
RPXPMLTJOHLGFAI17DA,草地尾段,30.41,都市：其他:住宅區,30,1,持分移轉,08750000
RPPNMLSKOHLGFAI78DA,車店段車店小段,7.97,都市：其他:住宅區,10000,219,持分移轉,10680000
RPOQMLTJOHLGFAI98DA,草地尾段,25.34,都市：其他:住宅區,36,1,持分移轉,08750000
RPQNMLTLOHLGFAI56EA,溪東段,1.61,都市：其他:農業區,75,1,持分移轉,01610000
RPQNMLTLOHLGFAI56EA,大溪段,8.95,都市：其他:道路用地,75,1,持分移轉,01640000
RPROMLRKOHLGFAI98DA,湖子內段新民小段,22.89,都市：其他:商業區,10000,70,持分移轉,03930000
RPSOMLRKOHLGFAI09DA,榮段三小段,9.09,都市：其他:商業區,10000,162,持分移轉,00370000
RPSNMLRKOHLGFAI98DA,大業段,28.34,都市：其他:住宅區,1124,28,持分移轉,02570000
RPPOMLPKOHLGFAI58DA,湖內段,81.00,都市：其他:住宅區,1,1,全筆移轉,06550000
RPVNMLPKOHLGFAI09DA,台斗坑段,1.68,都市：其他:住宅區,74,2,持分移轉,04410031
RPVNMLPKOHLGFAI09DA,台斗坑段,5.83,都市：其他:住宅區,46,2,持分移轉,04410077
RPVNMLPKOHLGFAI09DA,台斗坑段,91.00,都市：其他:住宅區,1,1,全筆移轉,04510136
RPPNMLMLOHLGFAI38EA,西門段七小段,11.00,都市：其他:商業區,1,1,全筆移轉,00620003
RPPNMLMLOHLGFAI38EA,西門段七小段,18.00,都市：其他:商業區,1,1,全筆移轉,00620011
RPPNMLPKOHLGFAI48DA,竹圍子段中興小段,108.00,都市：其他:商業區,1,1,全筆移轉,00500002
RPPNMLRKOHLGFAI78EA,北湖段,6.50,都市：其他:住宅區,2,1,持分移轉,01810007
RPQNMLRKOHLGFAI88EA,北湖段,6.50,都市：其他:住宅區,2,1,持分移轉,01810007
RPPNMLPLOHLGFAI68EA,下路頭段,67.00,都市：其他:住宅區,1,1,全筆移轉,05850010
RPQNMLPLOHLGFAI78EA,宣信段,73.05,都市：其他:住宅區,1,1,全筆移轉,03430003
RPQNMLPLOHLGFAI78EA,宣信段,1.59,都市：其他:住宅區,1,1,全筆移轉,03430004
RPUOMLRKOHLGFAI66DA,同興段,15.00,都市：其他:住宅區,10000,11,持分移轉,14350000
RPUOMLRKOHLGFAI66DA,同興段,.02,都市：其他:道路用地,10000,11,持分移轉,14350001
RPUOMLRKOHLGFAI66DA,同興段,.01,都市：其他:道路用地,10000,11,持分移轉,14350002
RPRNMLRKOHLGFAI88DA,同興段,50.45,都市：其他:住宅區,10000,37,持分移轉,14350000
RPRNMLRKOHLGFAI88DA,同興段,.07,都市：其他:道路用地,10000,37,持分移轉,14350001
RPRNMLRKOHLGFAI88DA,同興段,.05,都市：其他:道路用地,10000,37,持分移轉,14350002
RPQNMLOLOHLGFAI58DA,湖內段,169.00,都市：其他:乙種工業區,1,1,全筆移轉,16500000
RPOOMLNLOHLGFAI38DA,盧厝段,54.00,都市：其他:住宅區,1,1,全筆移轉,04260037
RPUNMLSKOHLGFAI66DA,新富段二小段,21.86,都市：其他:住宅區,84,1,持分移轉,00590002
RPTNMLOLOHLGFAI88DA,育人段,106.80,都市：其他:住宅區,1,1,全筆移轉,04850007
RPWOMLPLOHLGFAI76DA,湖子內段興安小段,164.00,都市：其他:第一種住宅區,1,1,全筆移轉,01560002
RPRNMLMLOHLGFAI48DA,下路頭段,14.80,都市：其他:住宅區,10000,203,持分移轉,06160016
RPUNMLQLOHLGFAI56DA,埤子頭段新厝小段,17.25,都市：其他:住宅區,4,1,持分移轉,02710000
RPTNMLOLOHLGFAI88DA,育人段,30.96,都市：其他:住宅區,19,1,持分移轉,04850009
RPROMLOLOHLGFAI78DA,南田段,8.58,都市：其他:住宅區,10000,454,持分移轉,14490000
RPPNMLQLOHLGFAI68DA,竹村段,19.15,都市：其他:住宅區,10000,88,持分移轉,04770000
RPVNMLNLOHLGFAI98DA,竹圍子段,33.00,都市：其他:住宅區,1,1,全筆移轉,00410005
RPUNMLOLOHLGFAI98DA,後庄段,65.00,都市：其他:商業區,1,1,全筆移轉,06740017
RPVNMLNLOHLGFAI98DA,竹圍子段,24.00,都市：其他:道路用地,1,1,全筆移轉,00410008
RPVNMLNLOHLGFAI98DA,竹圍子段,4.00,都市：其他:道路用地,1,1,全筆移轉,00410009
RPRNMLOLOHLGFAI68DA,車店段車店小段,88.00,都市：其他:住宅區,1,1,全筆移轉,01500009
RPVOMLPLOHLGFAI66DA,北社尾段,84.00,都市：其他:住宅區,1,1,全筆移轉,04670016
RPVNMLSKOHLGFAI76DA,盧厝段,43.56,都市：其他:住宅區,100000,186,持分移轉,03020000
RPSNMLNLOHLGFAI68DA,北社尾段,54.00,都市：其他:住宅區,1,1,全筆移轉,07300036
RPPNMLNLOHLGFAI38DA,長竹段,.29,都市：其他:住宅區,10000,173,持分移轉,00010003
RPPNMLNLOHLGFAI38DA,盧厝段,26.64,都市：其他:住宅區,10000,173,持分移轉,02440009
RPOOMLOLOHLGFAI48DA,車店段車店小段,8.77,都市：其他:住宅區,10000,18,持分移轉,00450000
RPRNMLQLOHLGFAI88DA,遠東段,21.61,都市：其他:住宅區,100000,387,持分移轉,00680000
RPWNMLOLOHLGFAI56DA,埤子頭段,138.00,都市：其他:住宅區,1,1,全筆移轉,04050033
RPRNMLMKOHLGFAI38DA,車店段車店小段,8.77,都市：其他:住宅區,10000,18,持分移轉,00450000
RPWNMLOLOHLGFAI56DA,埤子頭段,37.50,都市：其他:道路用地,2,1,持分移轉,04050042
RPSNMLQLOHLGFAI98DA,東門段六小段,55.00,都市：其他:住宅區,1,1,全筆移轉,00720002
RPXNMLMLOHLGFAI09DA,鳥岫段,1964.71,都市：其他:農業區,1,1,全筆移轉,01040000
RPPNMLOLOHLGFAI48DA,遠東段,7.14,都市：其他:住宅區,14812,100,持分移轉,00460014
