編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPROMLRKOHLGFAI98DA,坡道平面,0,33.97,地下三樓
RPUNMLSKOHLGFAI66DA,坡道機械,0,,地下一樓
RPVNMLSKOHLGFAI76DA,坡道平面,0,,地下一樓
RPRNMLQLOHLGFAI88DA,坡道平面,0,30.46,地下一樓
RPOOMLRKOHLGFAI68DA,坡道平面,0,,地下一樓
RPPNMLMLOHLGFAI28DA,坡道機械,0,18.85,地下二樓
RPQNMLSKOHLGFAI88DA,坡道平面,1450000,32.77,地下一樓
RPRNMLSKOHLGFAI98DA,坡道平面,1250000,33.97,地下二樓
RPSNMLPLOHLGFAI88DA,一樓平面,1200000,20.63,一樓
RPUNMLPLOHLGFAI09DA,一樓平面,1200000,20.63,一樓
RPRNMLPLOHLGFAI78DA,一樓平面,1200000,20.63,一樓
RPSOMLPJNHLGFAI68DA,坡道平面,1200000,26.94,地下一樓
RPXPMLOKNHLGFAI66DA,坡道機械,0,11.17,地下一樓
RPVQMLOKNHLGFAI56DA,坡道平面,1200000,26.94,地下一樓
RPSNMLOLNHLGFAI68DA,坡道平面,1200000,26.94,二樓含以上
RPOOMLTKNHLGFAI78DA,坡道平面,1000000,26.94,二樓含以上
RPUPMLOKNHLGFAI98DA,坡道機械,0,11.17,地下一樓
RPVNMLTKNHLGFAI76DA,坡道平面,1000000,26.94,地下一樓
RPPNMLOLNHLGFAI38DA,坡道平面,1000000,26.94,地下一樓
RPXNMLKLNHLGFAI78DA,坡道平面,1000000,26.94,地下一樓
RPSOMLPKNHLGFAI78DA,坡道平面,0,18.60,地下一樓
RPQOMLMLNHLGFAI38DA,一樓平面,1000000,26.94,一樓
RPROMLPJNHLGFAI58DA,一樓平面,1000000,26.94,一樓
RPVOMLMLNHLGFAI88DA,坡道平面,1000000,22.05,二樓含以上
RPUOMLMLNHLGFAI78DA,坡道平面,1000000,26.94,二樓含以上
RPTNMLSLNHLGFAI56DA,坡道平面,1000000,26.94,地下一樓
RPTNMLSLNHLGFAI56DA,坡道平面,1000000,26.94,地下一樓
RPRNMLOLNHLGFAI58DA,一樓平面,1000000,26.94,一樓
RPUOMLPKNHLGFAI98DA,坡道機械,0,11.17,地下一樓
RPPNMLRJOHLGFAI58DA,坡道平面,1000000,22.05,地下一樓
RPTNMLQLNHLGFAI98DA,坡道平面,1000000,26.94,地下一樓
RPTNMLQLNHLGFAI98DA,坡道平面,1000000,26.94,二樓含以上
RPSOMLLLNHLGFAI48DA,坡道平面,1000000,22.05,地下一樓
RPSOMLLLNHLGFAI48DA,坡道平面,900000,22.05,二樓含以上
RPUPMLPKNHLGFAI09DA,坡道機械,0,11.17,地下一樓
RPWNMLSKNHLGFAI76DA,坡道平面,1000000,26.94,二樓含以上
RPQPMLTJOHLGFAI09DA,坡道平面,1000000,26.94,二樓含以上
RPUNMLQLNHLGFAI09DA,坡道平面,1000000,26.94,二樓含以上
