鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
嘉義市,租賃房屋,嘉義市嘉義市延平街２０１號,0.0,,,,1150523,土地0建物0車位0,全,5,透天厝,住宅、樓梯間,鋼筋混凝土構造,1120518,19.83,8,0,8,有,無,有,6500,328,,0.0,0,租金總額含網路費；,RPPNMLPLNHLGFAI58CC,分租套房,無,1150601~1160531,無,冷氣、熱水器、洗衣機、冰箱、網路,一般轉租
嘉義市,租賃房屋,嘉義市嘉義市嘉北街６６巷２５號六樓３,0.0,,,,1150521,土地0建物0車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0791015,15.0,4,0,4,有,無,有,8500,567,,0.0,0,租金總額含管理費；網路費；,RPRNMLPLNHLGFAI78CC,分租套房,無,1150522~1160521,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
嘉義市,租賃房屋,嘉義市嘉義市玉山路１５８巷３４號,0.0,,,,1150521,土地0建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0671014,98.38,4,2,2,有,無,有,13000,132,,0.0,0,續租案件；,RPVNMLPLNHLGFAI56CC,整棟(戶)出租,無,1150605~1160604,無,冷氣、熱水器,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市彌陀路１６３號７樓１,0.0,,,,1150521,土地0建物1車位0,七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850311,59.5,1,0,1,有,有,有,8000,134,,0.0,0,續租案件；,RPWNMLPLNHLGFAI66CC,獨立套房,有,1150620~1160619,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
嘉義市,租賃房屋,嘉義市嘉義市小雅路３４３號六樓４,0.0,,,,1150521,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,26.93,1,0,1,有,有,有,5500,204,,0.0,0,續租案件；,RPXNMLPLNHLGFAI76CC,獨立套房,有,1150529~1160528,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
嘉義市,租賃房屋,嘉義市嘉義市博愛路二段１６８號７樓之１１,0.0,,,,1150521,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880421,66.84,1,1,1,有,有,有,13000,194,,0.0,0,續租案件；,RPPOMLPLNHLGFAI68CC,獨立套房,有,1150523~1160522,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
嘉義市,土地,宣信段1215地號,345.32,住,,,1150522,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,10000,29,,0.0,0,宣信段1215地號土地上有一棟未保存登記建物門牌：嘉義市市宅街21巷70號。,RPQNMLPLNHLGFAI78DC,,,1150605~1170604,,,
嘉義市,租賃房屋,嘉義市嘉義市東區新開里市宅街２１巷７６號,0.0,,,,1150522,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0750208,158.01,5,2,2,有,無,無,15000,95,,0.0,0,,RPRNMLPLNHLGFAI88DC,整棟(戶)出租,無,1150605~1170604,無,,
嘉義市,土地,竹圍子段三小段52地號,462.8,住,,,1150524,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,28000,61,,0.0,0,如因本租賃所增加之稅，概由承租方負擔。房屋稅由乙方承租方負擔。,RPSNMLQLNHLGFAI98CC,,,1150601~1200531,,,
嘉義市,租賃房屋,嘉義市嘉義市彌陀路４２號二樓之２,0.0,,,,1150524,土地0建物1車位0,二層,4,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0970303,14.02,1,0,1,有,有,有,4200,300,,0.0,0,含增建或未登記建物；續租案件；,RPTNMLRLNHLGFAI56CC,獨立套房,有,1150701~1151231,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
