鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
竹北市,土地,三崁店段水坑口小段108-1地號,84.83,,特定農業區,甲種建築用地,1150603,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6000000,70730,,0.0,0,,RPSNMLRKOHLGFBJ56DA,0.0,0.0,0.0,無,
關西鎮,土地,正義段595-1地號,17.86,住,,,1150601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,900000,50392,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXNMLSJOHLGFBJ07DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物),新竹縣竹北市縣政七街９號五樓之六,4.9,商,,,1150601,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0941028,33.14,1,1,1,有,有,6470000,195232,,0.0,0,夾層；,RPTOMLOLOHLGFBJ56DA,21.85,1.15,0.0,有,
新埔鎮,土地,寶鎮段1100地號,75.27,,特定農業區,交通用地,1150603,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,480223,6380,,0.0,0,政府機關標讓售；,RPQNMLNLOHLGFBJ78EA,0.0,0.0,0.0,無,
北埔鄉,土地,福林段1086地號,205.46,,山坡地保育區,丙種建築用地,1150613,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,780000,3796,,0.0,0,,RPPNMLSKOHLGFCJ56EA,0.0,0.0,0.0,無,
竹北市,土地,貓兒錠段拔子窟小段1383地號,24.64,,鄉村區,乙種建築用地,1150612,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,819500,33259,,0.0,0,,RPPOMLMLOHLGFBJ58DA,0.0,0.0,0.0,無,001
竹北市,土地,貓兒錠段拔子窟小段1270地號,153.64,,鄉村區,乙種建築用地,1150612,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5111700,33271,,0.0,0,,RPQOMLMLOHLGFBJ68DA,0.0,0.0,0.0,無,001
湖口鄉,土地,下北勢段下北勢小段1064-2地號,172.0,,特定農業區,農牧用地,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1500000,8721,,0.0,0,未登記建物；,RPTNMLNLOHLGFDJ56DA,0.0,0.0,0.0,無,003
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利十二街１９３號,37.66,住,,,1150603,土地1建物1車位1,一層，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1020207,210.58999999999997,0,0,0,無,有,13000000,61731,坡道平面,45.06,0,親友、員工、共有人或其他特殊關係間之交易；,RPTNMLSJOHLGFBJ66DA,109.93,3.25,15.52,有,004
關西鎮,土地,關農段743-1地號,0.55,,,,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,16929,0,,0.0,0,包含公共設施保留地用地；協議價購；,RPUOMLKKOHLGFBJ78DA,0.0,0.0,0.0,無,005
關西鎮,土地,關農段743-1地號,5.46,,,,1150602,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,169294,31006,,0.0,0,包含公共設施保留地用地；協議價購；,RPVOMLKKOHLGFBJ88DA,0.0,0.0,0.0,無,005
關西鎮,土地,關農段743-1地號,3.28,,,,1150616,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,101576,30968,,0.0,0,包含公共設施保留地用地；協議價購；,RPTNMLNLOHLGFBJ98DA,0.0,0.0,0.0,無,005
新埔鎮,土地,和平段355地號,113.31,住,,,1150604,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5142000,45380,,0.0,0,,RPUNMLNLOHLGFBJ09DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市自強南路５９巷３號十二樓之七,7.18,住,,,1150606,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,0930611,52.07,1,1,1,有,有,1510000,29005,升降機械,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOLOHLGFBJ78DA,22.0,0.0,2.86,有,
湖口鄉,房地(土地+建物),新竹縣湖口鄉蘭州二街３９號２樓之１,20.51,,工業區,丁種建築用地,1150602,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1110805,79.17,2,2,1,有,無,7500000,94733,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLNLOHLGFDJ98DA,54.47,0.0,2.95,有,008
竹北市,車位,興隆路二段３４３號等公共設施,0.0,,,,1150611,土地0建物1車位1,,,其他,,,,31.26,0,0,0,無,有,1850000,,坡道平面,31.26,1850000,建物坐落地號：自強段282地號；僅車位交易；,RPOOMLRKOHLGFBJ88DA,0.0,0.0,0.0,有,
竹東鎮,房地(土地+建物),新竹縣竹東鎮生產街７８巷２７號,72.82,住,,,1150603,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0861020,164.75,4,2,3,有,無,9360000,56813,,0.0,0,,RPQNMLRKOHLGFCJ09DA,154.39,7.17,3.19,無,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮惠安街９８號七樓,35.48,住,,,1150618,土地1建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1140122,124.0,2,2,2,有,有,13880000,111935,坡道平面,15.26,0,,RPPNMLPLOHLGFCJ88DA,71.16,0.0,9.89,有,
新豐鄉,房地(土地+建物),新竹縣新豐鄉泰安街１２之２號南室,14.46,住,,,1150610,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700902,41.99,0,0,0,無,無,2600000,61920,,0.0,0,,RPPNMLLKOHLGFDJ48DA,41.99,0.0,0.0,無,
新埔鎮,土地,上旱坑段197地號,2765.68,,山坡地保育區,農牧用地,1150608,土地6建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2600000,940,,0.0,0,,RPRNMLSKOHLGFBJ66EA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路一段３５０號二十二樓,39.92,住,,,1150501,土地1建物1車位1,二十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060705,204.15,3,2,2,有,有,37620000,184276,坡道平面,38.83,0,其他增建；,RPWNMLTJOHLGFBJ07DA,101.23,0.0,10.3,有,009
新埔鎮,房地(土地+建物)+車位,新竹縣新埔鎮福德街８８號八樓之三,30.07,住,,,1150511,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081213,153.35,3,2,2,有,有,15300000,99772,坡道平面,33.48,0,其他增建；,RPXNMLTJOHLGFBJ17DA,73.78,4.63,4.03,有,010
竹北市,土地,竹仁段383-1地號,146.0,住,,,1150518,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,28752000,196932,,0.0,0,,RPPNMLLKOHLGFBJ28DA,0.0,0.0,0.0,無,
關西鎮,土地,上橫坑段615地號,579.5,,山坡地保育區,丙種建築用地,1150511,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2375950,4100,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPOOMLMKOHLGFBJ38DA,0.0,0.0,0.0,無,
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功十街６９號七樓之一,26.09,住,,,1150510,土地1建物1車位1,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1011221,125.11,2,2,1,有,有,18300000,146271,坡道平面,33.63,0,其他增建；,RPPNMLPKOHLGFBJ68DA,54.43,1.62,6.45,有,011
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家五路二段２０８號九樓之七,22.65,住,,,1150506,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980504,155.07,3,2,2,有,有,22680000,146247,坡道平面,0.0,0,,RPVNMLPKOHLGFBJ66DA,78.24,5.06,4.64,有,
竹北市,房地(土地+建物)+車位,新竹縣竹北市十興三街６５號四樓,17.95,住,,,1150514,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030114,133.27999999999997,2,2,1,有,有,19100000,143307,坡道平面,34.84,0,,RPPOMLPKOHLGFBJ78DA,62.55,2.27,3.14,有,012
寶山鄉,土地,深井段553-4地號,2500.0,,山坡地保育區,林業用地,1150515,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9000000,3600,,0.0,0,,RPSNMLSJOHLGFCJ66DA,0.0,0.0,0.0,無,
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉榮華街３９巷１００弄２２號,20.57,,一般農業區,甲種建築用地,1150509,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1131115,102.34,2,2,1,有,有,8100000,82886,坡道平面,22.23,1460000,,RPUNMLMKNHLGFDJ98DA,48.65,0.0,4.74,有,
新豐鄉,房地(土地+建物),新竹縣新豐鄉振興街５４巷６５號,22.69,都市：其他:住宅區,,,1150501,土地2建物1車位0,一層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830208,112.88000000000001,3,2,2,有,無,6000000,53154,,0.0,0,,RPPNMLKMNHLGFDJ48DA,73.98,6.7,0.0,有,
湖口鄉,房地(土地+建物),新竹縣湖口鄉東成街７６之１號,165.0,,特定農業區,甲種建築用地,1150521,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0870301,317.27,15,0,15,有,無,11580000,36499,,0.0,0,,RPTNMLLKOHLGFDJ88DA,286.88,12.6,17.79,無,013
湖口鄉,土地,永安段548地號,107.66,,鄉村區,乙種建築用地,1150528,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3500000,32510,,0.0,0,,RPTNMLPKOHLGFDJ66DA,0.0,0.0,0.0,無,
竹東鎮,房地(土地+建物),新竹縣竹東鎮世界街７１巷３號二樓,25.33,住,,,1150513,土地3建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851231,84.92,3,1,2,有,有,2370000,27909,,0.0,0,,RPPNMLPKOHLGFCJ88EA,51.6,0.0,5.68,無,014
北埔鄉,土地,湖尾段143地號,114.95,,山坡地保育區,農牧用地,1150527,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,114950,1000,,0.0,0,農作物；,RPQNMLPKOHLGFCJ98EA,0.0,0.0,0.0,無,
