編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLRKOHLGFCJ09DA,29,.11,警衛室,鋼筋混凝土造,86年10月20日,五層,一層,持分移轉
RPQNMLRKOHLGFCJ09DA,29,164.64,住家用,鋼筋混凝土造,86年10月20日,四層,一層 二層 三層 四層 陽台 屋頂突出物,全筆移轉
RPPNMLPLOHLGFCJ88DA,1,81.05,集合住宅,鋼筋混凝土造,114年1月22日,八層,七層 陽台,全筆移轉
RPPNMLPLOHLGFCJ88DA,1,42.95,本共有部分之項目有停車空間、樓梯間、機械式及水箱等四項,鋼筋混凝土造,114年1月22日,八層,,持分移轉
RPTNMLSJOHLGFBJ66DA,13,128.70,商業用,鋼筋混凝土造,102年2月7日,十四層,一層 陽台 雨遮 見其他登記事項,全筆移轉
RPTNMLSJOHLGFBJ66DA,13,9.14,本共有部分之項目有梯間、機房、水箱等三項。,鋼筋混凝土造,102年2月7日,十四層,,持分移轉
RPPNMLPKOHLGFBJ68DA,13,62.50,住家用,鋼筋混凝土造,101年12月21日,十層,七層 陽台 雨遮,全筆移轉
RPOOMLRKOHLGFBJ88DA,6,31.26,本共有部分之項目有：防空避難室兼停車空間、停車空間、管理員室、開放空間、管委會空間、樓梯間、排煙室、水箱、機房等九項。,鋼筋混凝土造,109年10月24日,十九層,,持分移轉
RPTNMLSJOHLGFBJ66DA,13,72.74,本共有部分之項目有防空避難室兼停車空間等一項。,鋼筋混凝土造,102年2月7日,十四層,,持分移轉
RPPNMLPKOHLGFBJ68DA,13,14.62,本共有部分之項目有：梯間、機械室、水箱等三項,鋼筋混凝土造,101年12月21日,十層,,持分移轉
RPQNMLOLOHLGFBJ78DA,22,24.84,住商用,鋼筋混凝土造,93年6月11日,十四層,十二層 陽台,全筆移轉
RPPNMLPKOHLGFBJ68DA,13,48.00,本共有部分之項目有：防空避難室兼停車空間、台電配電室、門廳、垃圾處理室等四項,鋼筋混凝土造,101年12月21日,十層,,持分移轉
RPQNMLOLOHLGFBJ78DA,22,.02,管理員室,鋼筋混凝土造,93年6月11日,十四層,地下一層,持分移轉
RPQNMLOLOHLGFBJ78DA,22,4.21,共有部分,鋼筋混凝土造,93年6月11日,十四層,,持分移轉
RPQNMLOLOHLGFBJ78DA,22,15.99,共有部分,鋼筋混凝土造,93年6月11日,十四層,,持分移轉
RPQNMLOLOHLGFBJ78DA,22,7.00,共有部分,鋼筋混凝土造,93年6月11日,十四層,,持分移轉
RPQNMLOLOHLGFBJ78DA,22,.00,共有部分,鋼筋混凝土造,93年6月11日,十四層,,持分移轉
RPTOMLOLOHLGFBJ56DA,21,23.00,商業用,鋼筋混凝土造,94年10月28日,七層,五層 雨遮,全筆移轉
RPTOMLOLOHLGFBJ56DA,21,10.14,共有部分,鋼筋混凝土造,94年10月28日,七層,,持分移轉
RPVNMLPKOHLGFBJ66DA,17,.01,商業用,鋼筋混凝土造,98年5月4日,十五層,一層,持分移轉
RPVNMLPKOHLGFBJ66DA,17,87.93,住家用,鋼筋混凝土造,98年5月4日,十五層,九層 陽台 雨遮,全筆移轉
RPVNMLPKOHLGFBJ66DA,17,32.10,共有部分,鋼筋混凝土造,98年5月4日,十五層,,持分移轉
RPVNMLPKOHLGFBJ66DA,17,7.56,共有部分,鋼筋混凝土造,98年5月4日,十五層,,持分移轉
RPVNMLPKOHLGFBJ66DA,17,.01,共有部分,鋼筋混凝土造,98年5月4日,十五層,,持分移轉
RPVNMLPKOHLGFBJ66DA,17,27.47,共有部分,鋼筋混凝土造,98年5月4日,十五層,,持分移轉
RPOOMLKKOHLGFBJ18DA,5,99.50,住家用,鋼筋混凝土造,110年2月9日,十三層,五層 陽台 雨遮,全筆移轉
RPQNMLSKOHLGFBJ56EA,,111.88,住商用,加強磚造,,二層,一層 二層 騎樓,全筆移轉
RPOOMLKKOHLGFBJ18DA,5,108.27,本共有部分之項目有防空避難室兼停車空間、機房、消防機房、發電機室、梯間、水箱、停車空間、電信室、台電配電室、空調機械室、錶箱室、公共服務空間、垃圾室、頂蓋型開放空間、管理室、車道、排煙室、梯廳等十八項。,鋼筋混凝土造,110年2月9日,十三層,,持分移轉
RPOOMLKKOHLGFBJ18DA,5,22.55,本共有部分之項目有梯間、排煙室、梯廳、機房、水箱等五項。,鋼筋混凝土造,110年2月9日,十三層,,持分移轉
RPPOMLPKOHLGFBJ78DA,12,67.96,住家用,鋼筋混凝土造,103年1月14日,十四層,四層 陽台 雨遮,全筆移轉
RPPOMLPKOHLGFBJ78DA,12,49.19,本共有部分之項目有防空避難室兼停車空間、開放空間等二項。,鋼筋混凝土造,103年1月14日,十四層,,持分移轉
RPPOMLPKOHLGFBJ78DA,12,16.13,本共有部分之項目有樓梯間、機械室、水箱等三項。,鋼筋混凝土造,103年1月14日,十四層,,持分移轉
RPPNMLPKOHLGFCJ88EA,29,57.28,住家用,鋼筋混凝土造,85年12月31日,四層,二層 陽台,全筆移轉
RPPNMLPKOHLGFCJ88EA,29,14.47,共有部分,鋼筋混凝土造,85年12月31日,四層,,持分移轉
RPPNMLPKOHLGFCJ88EA,29,13.17,共有部分,鋼筋混凝土造,85年12月31日,四層,,持分移轉
RPUNMLMKOHLGFBJ88DA,5,211.07,住家用,鋼筋混凝土造,110年1月5日,五層,一層 二層 三層 四層 五層 陽台,全筆移轉
RPOOMLRJNHLGFBJ68DA,7,61.89,住家用,鋼筋混凝土造,108年9月29日,十四層,五層 陽台 雨遮,全筆移轉
RPOOMLRJNHLGFBJ68DA,7,56.48,本共有部分之項目有防空避難室兼停車空間、停車空間、台電配電室、車道、公共服務空間、開放空間、集中式垃圾貯存空間、樓電梯間、機械室、機房、水箱等十一項。,鋼筋混凝土造,108年9月29日,十四層,,持分移轉
RPPNMLRKOHLGFDJ56EA,2,58.43,集合住宅,鋼筋混凝土造,113年11月15日,十四層,十一層 陽台,全筆移轉
RPPNMLRKOHLGFDJ56EA,2,51.68,本共有部分之項目有停車空間、集合住宅（附屬管委會使用空間門廳）、集合住宅（附屬梯間）、梯間、機械室、水箱等６項,鋼筋混凝土造,113年11月15日,十四層,,持分移轉
RPSNMLMLOHLGFCJ88DA,1,81.06,集合住宅,鋼筋混凝土造,114年10月2日,五層,四層 陽台,全筆移轉
RPSNMLMLOHLGFCJ88DA,1,14.67,本共有部分之項目：第一層：停車空間、電信室、梯廳、電梯、安全梯等五項、第一層～第五層及突出物一層：梯廳、電梯、安全梯等三項,鋼筋混凝土造,114年10月2日,五層,,持分移轉
RPWNMLTJOHLGFBJ07DA,9,111.53,住家用,鋼筋混凝土造,106年7月5日,二十二層,二十二層 陽台,全筆移轉
RPWNMLTJOHLGFBJ07DA,9,14.24,本共有部分之項目有社區服務空間、防空避難室兼停車空間、停車空間等三項。,鋼筋混凝土造,106年7月5日,二十二層,,持分移轉
RPWNMLTJOHLGFBJ07DA,9,35.70,本共有部分之項目有中繼機房、梯廳、機房、水箱等四項。,鋼筋混凝土造,106年7月5日,二十二層,,持分移轉
RPWNMLTJOHLGFBJ07DA,9,38.83,本共有部分之項目有防空避難室兼停車空間、停車空間等二項。,鋼筋混凝土造,106年7月5日,二十二層,,持分移轉
RPWNMLTJOHLGFBJ07DA,9,3.85,本共有部分之項目有防空避難室兼停車空間等一項。,鋼筋混凝土造,106年7月5日,二十二層,,持分移轉
RPROMLPKNHLGFBJ88DA,22,.07,守衛室,鋼筋混凝土造,93年9月1日,十層,一層,持分移轉
RPROMLPKNHLGFBJ88DA,22,86.73,住家用,鋼筋混凝土造,93年9月1日,十層,九層 陽台 雨遮,全筆移轉
RPROMLPKNHLGFBJ88DA,22,10.88,共有部分,鋼筋混凝土造,93年9月1日,十層,,持分移轉
RPROMLPKNHLGFBJ88DA,22,30.10,共有部分,鋼筋混凝土造,93年9月1日,十層,,持分移轉
RPROMLPKNHLGFBJ88DA,22,23.71,共有部分,鋼筋混凝土造,93年9月1日,十層,,持分移轉
RPXNMLTJOHLGFBJ17DA,6,82.44,住家用,鋼筋混凝土造,108年12月13日,十四層,八層 陽台 雨遮,全筆移轉
RPXNMLTJOHLGFBJ17DA,6,70.91,本共有部分之項目有：停車空間、公共服務空間、樓梯間、機械室、水箱等５項。,鋼筋混凝土造,108年12月13日,十四層,,持分移轉
RPQOMLPJNHLGFBJ68DA,9,95.65,住家用,鋼筋混凝土造,106年9月15日,十四層,十一層 陽台 雨遮,全筆移轉
RPQOMLPJNHLGFBJ68DA,9,83.05,本共有部分之項目有停車空間、防空避難室兼停車空間、排煙室、緊急升降機、升降機、水箱、揚水泵室、消防機械室、風機室、汙雨水機房兼風機室、安全梯、公共服務空間、水錶室、梯間、機械室、垃圾處理室、緊急發電機室、揚水泵室兼風機室、台電配電室、電信室、電錶室、受電箱室、景觀機房、梯廳、管委會空間、戶外安全梯等二十六項,鋼筋混凝土造,106年9月15日,十三層,,持分移轉
RPVNMLRLNHLGFCJ96DA,,74.70,住家用,加強磚造,,二層,一層 二層,全筆移轉
RPPNMLNLOHLGFBJ68EA,20,.07,管理中心,鋼筋混凝土造,95年5月19日,十五層,一層,持分移轉
RPPNMLNLOHLGFBJ68EA,20,170.16,商業用,鋼筋混凝土造,95年5月19日,十五層,一層 雨遮 見其他登記事項,全筆移轉
RPPNMLNLOHLGFBJ68EA,20,28.73,共有部分,鋼筋混凝土造,95年5月19日,十五層,,持分移轉
RPPNMLNLOHLGFBJ68EA,20,25.58,共有部分,鋼筋混凝土造,95年5月19日,十五層,,持分移轉
RPPNMLNLOHLGFBJ68EA,20,44.62,共有部分,鋼筋混凝土造,95年5月19日,十五層,,持分移轉
RPTNMLMLOHLGFCJ98DA,29,48.74,住家用,鋼筋混凝土造,86年4月9日,二層,一層 二層,持分移轉
RPPNMLOLOHLGFBJ78EA,2,80.15,集合住宅,鋼筋混凝土造,113年11月7日,十三層,六層 陽台,全筆移轉
RPPNMLOLOHLGFBJ78EA,2,76.21,本共有部分之項目有防空避難室兼停車空間、停車空間、公共服務空間、管委會空間、梯間、機房、水箱等七項。,鋼筋混凝土造,113年11月7日,十四層,,持分移轉
RPQNMLOLOHLGFBJ88EA,10,57.94,住家用,鋼筋混凝土造,105年6月8日,二十七層,十二層 陽台 雨遮,全筆移轉
RPQNMLOLOHLGFBJ88EA,10,18.05,本共有部分之項目有管委會使用空間、樓梯間、機械室、水箱等四項,鋼筋混凝土造,105年6月8日,二十七層,,持分移轉
