編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLRKOHLGFCJ09DA,資源段,18.78,都市：其他:住宅區,10000,141,持分移轉,10770000
RPQNMLRKOHLGFCJ09DA,資源段,.04,都市：其他:住宅區,100000,5,持分移轉,10770016
RPQNMLRKOHLGFCJ09DA,資源段,54.00,都市：其他:住宅區,1,1,全筆移轉,10770064
RPPNMLPLOHLGFCJ88DA,東寧段,35.48,都市：其他:住宅區,10000,730,持分移轉,02980000
RPPNMLSKOHLGFCJ56EA,福林段,205.46,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,4,1,持分移轉,10860000
RPQNMLNLOHLGFBJ78EA,寶鎮段,50.25,非都市：特定農業區 ; 非都市編定：交通用地,1,1,全筆移轉,11000000
RPQNMLNLOHLGFBJ78EA,寶鎮段,25.02,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11000001
RPRNMLSKOHLGFBJ66EA,上旱坑段,2734.75,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01970000
RPRNMLSKOHLGFBJ66EA,上旱坑段,7.28,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,100,持分移轉,02000000
RPRNMLSKOHLGFBJ66EA,上旱坑段,13.10,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,100,持分移轉,02050000
RPRNMLSKOHLGFBJ66EA,上旱坑段,2.13,非都市：山坡地保育區 ; 非都市編定：農牧用地,10000,250,持分移轉,02070000
RPRNMLSKOHLGFBJ66EA,上旱坑段,3.11,非都市：山坡地保育區 ; 非都市編定：暫未編定,10000,100,持分移轉,02100000
RPRNMLSKOHLGFBJ66EA,上旱坑段,5.31,非都市：山坡地保育區 ; 非都市編定：暫未編定,10000,100,持分移轉,02160000
RPUNMLNLOHLGFBJ09DA,和平段,113.31,都市：其他:第二種住宅區,1,1,全筆移轉,03550000
RPPOMLMLOHLGFBJ58DA,貓兒錠段拔子窟小段,24.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,25200,1008,持分移轉,13830000
RPUOMLKKOHLGFBJ78DA,關農段,.55,都市：其他:學校用地,108,1,持分移轉,07430001
RPQOMLMLOHLGFBJ68DA,貓兒錠段拔子窟小段,129.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12700000
RPQOMLMLOHLGFBJ68DA,貓兒錠段拔子窟小段,24.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,50,2,持分移轉,13830000
RPPNMLPKOHLGFBJ68DA,自強段,26.09,都市：其他:第一種住宅區,10000,191,持分移轉,00190000
RPTNMLSJOHLGFBJ66DA,莊敬段,37.66,都市：其他:第一種住宅區,10000,84,持分移轉,02930000
RPXNMLSJOHLGFBJ07DA,正義段,17.86,都市：其他:住宅區,12,2,持分移轉,05950001
RPQNMLOLOHLGFBJ78DA,公園段,7.18,都市：其他:第一種住宅區,100000,347,持分移轉,04660000
RPTNMLNLOHLGFBJ98DA,關農段,3.28,都市：其他:學校用地,108,6,持分移轉,07430001
RPOOMLMKOHLGFBJ38DA,上橫坑段,579.50,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,8,4,持分移轉,06150000
RPTOMLOLOHLGFBJ56DA,縣福段,4.90,都市：其他:第二種商業區,100000,1655,持分移轉,02690000
RPPNMLLKOHLGFBJ28DA,竹仁段,135.00,都市：其他:第二種住宅區,1,1,全筆移轉,03830001
RPSNMLRKOHLGFBJ56DA,三崁店段水坑口小段,84.83,非都市：特定農業區 ; 非都市編定：甲種建築用地,12,2,持分移轉,01080001
RPPNMLLKOHLGFBJ28DA,竹仁段,11.00,都市：其他:第二種住宅區,1,1,全筆移轉,03840001
RPVOMLKKOHLGFBJ88DA,關農段,5.46,都市：其他:學校用地,54,5,持分移轉,07430001
RPVNMLPKOHLGFBJ66DA,隘興段,22.65,都市：其他:住宅區,10000,34,持分移轉,06220000
