鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
新豐鄉,房地(土地+建物)+車位,新竹縣新豐鄉振興街6號旁,25.92,住,,,1150524,土地7建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.51,3,2,2,有,無,14100000,104585,坡道平面,21.99,1600000,,RPRNMLPLNHLGFDJ09CB,畫新妝,B棟9號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東二段,39.06,住,,,1150525,土地2建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,232.81,4,2,2,有,無,46470000,260488,坡道平面,76.68,5800000,,RPQNMLQLNHLGFBJ88CB,學好,A棟08號,
竹北市,房地(土地+建物)+車位,新竹縣竹北市六家一路,41.8,住,,,1150521,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,157.74,3,2,2,有,無,33540000,224442,坡道平面,21.58,2980000,,RPTNMLQLNHLGFBJ56CB,IKIGAI,A棟5號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,25.62,其他,,,1150523,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.51,3,2,2,有,無,20780000,153443,坡道平面,29.49,1750000,,RPQNMLRLNHLGFCJ09CB,森?,1G棟6號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,25.62,其他,,,1150523,土地1建物1車位2,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.0,3,2,2,有,無,23960000,163764,坡道平面,58.98,3650000,,RPXNMLRLNHLGFCJ17CB,森?,1L棟8號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,16.67,其他,,,1150522,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.02,2,2,1,有,無,14230000,156836,坡道平面,29.49,1600000,,RPOOMLRLNHLGFCJ98CB,森?,1N棟5號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,16.67,其他,,,1150522,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.02,2,2,1,有,無,14230000,157829,坡道平面,29.49,1520000,,RPPOMLRLNHLGFCJ09CB,森?,1N棟6號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,16.67,其他,,,1150521,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,110.02,2,2,1,有,無,14920000,165404,坡道平面,29.49,1600000,,RPQOMLRLNHLGFCJ56CB,森?,1Q棟4號,
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮旭光二路23號旁,25.62,其他,,,1150523,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.0,3,2,2,有,無,21990000,163469,坡道平面,29.49,1800000,,RPSOMLRLNHLGFCJ76CB,森?,1R棟6號,
