編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUOMLRLNHLGFCJ96CB,坡道平面,1600000,29.49,地下三樓
RPRPMLRLNHLGFCJ76CB,坡道平面,1650000,29.49,地下三樓
RPQPMLRLNHLGFCJ66CB,坡道平面,1540000,29.49,地下二樓
RPQNMLRLNHLGFCJ09CB,坡道平面,1750000,29.49,地下二樓
RPSOMLRLNHLGFCJ76CB,坡道平面,1800000,29.49,地下一樓
RPROMLTLNHLGFBJ76CB,坡道平面,1980000,33.47,地下二樓
RPQOMLRLNHLGFCJ56CB,坡道平面,1600000,29.49,地下三樓
RPTOMLTLNHLGFBJ96CB,坡道平面,2160000,33.47,地下一樓
RPSOMLTLNHLGFBJ86CB,坡道平面,1900000,33.47,地下三樓
RPSNMLSLNHLGFDJ86CB,一樓平面,1300000,13.25,一樓
RPXNMLRLNHLGFCJ17CB,坡道平面,1950000,29.49,地下一樓
RPXNMLRLNHLGFCJ17CB,坡道平面,1700000,29.49,地下二樓
RPTOMLRLNHLGFCJ86CB,坡道平面,1420000,28.39,地下三樓
RPTOMLRLNHLGFCJ86CB,坡道平面,1600000,29.49,地下三樓
RPVOMLRLNHLGFCJ07CB,坡道平面,1700000,29.49,地下二樓
RPQOMLTLNHLGFBJ66CB,坡道平面,2100000,33.47,地下一樓
RPPOMLRLNHLGFCJ09CB,坡道平面,1520000,29.49,地下三樓
RPTNMLQLNHLGFBJ56CB,坡道平面,2980000,21.58,地下一樓
RPTNMLMJOHLGFCJ78CB,坡道平面,1500000,25.10,地下二樓
RPTNMLMJOHLGFCJ78CB,坡道平面,1500000,25.10,地下二樓
RPPPMLRLNHLGFCJ56CB,坡道平面,1650000,29.49,地下三樓
RPOOMLRLNHLGFCJ98CB,坡道平面,1600000,29.49,地下三樓
RPPNMLMJOHLGFDJ48CB,坡道平面,1550000,22.64,地下一樓
RPPOMLTLNHLGFBJ56CB,坡道平面,1900000,33.47,地下三樓
RPUNMLMJOHLGFBJ78CB,一樓平面,2840000,25.66,一樓
RPUNMLTLNHLGFBJ96CB,坡道平面,0,34.35,地下二樓
RPVNMLMJOHLGFBJ88CB,一樓平面,2840000,25.66,一樓
RPPNMLMJOHLGFBJ28CB,坡道平面,2700000,38.34,地下三樓
RPRNMLLJOHLGFCJ48CB,其他,800000,5.62,一樓
RPTNMLMJOHLGFBJ68CB,一樓平面,2840000,25.66,一樓
RPTNMLLJOHLGFBJ58CB,一樓平面,1500000,26.46,一樓
RPRNMLPLNHLGFDJ09CB,坡道平面,1600000,21.99,地下二樓
