鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
寶山鄉,租賃房屋,新竹縣寶山鄉雙豐路１６６號五樓,0.0,,,,1150521,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821026,116.19999999999999,3,2,2,有,有,有,21000,181,,0.0,0,續租案件；,RPQNMLPLNHLGFCJ98CC,整棟(戶)出租,有,1150605~1160604,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
竹北市,租賃房屋+車位,新竹縣竹北市環北路三段８５號二樓之２,0.0,,,,1150525,土地0建物1車位1,二層,10,廠辦,工廠,鋼筋混凝土造,1121207,286.72,0,0,0,無,有,無,73000,255,坡道平面,34.72,0,租賃建物部分範圍，且未計入共有部分面積；,RPRNMLQLNHLGFBJ09CC,,有,1150601~1180715,有,,
竹北市,租賃房屋+車位,新竹縣竹北市復興二路２２９號１０樓之五,0.0,,,,1150526,土地0建物1車位1,十層,13,辦公商業大樓,商業用,鋼筋混凝土造,0961204,89.0,0,1,0,有,有,有,43235,486,坡道平面,0.0,0,租金總額含稅；,RPQNMLRLNHLGFBJ09CC,,有,1150601~1180531,有,冷氣,
竹北市,租賃房屋,新竹縣竹北市台元一街６號２樓之３,0.0,,,,1150521,土地0建物1車位0,二層,10,廠辦,工業用,鋼筋混凝土造,1020318,959.83,0,0,0,無,有,無,290000,302,,0.0,0,租金總額含稅；,RPUNMLRLNHLGFBJ86CC,,有,1150701~1170630,有,,
湖口鄉,租賃房屋,新竹縣湖口鄉中平路一段７０６號６樓,0.0,,,,1150522,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1041010,119.63,3,2,2,有,有,有,16000,134,,0.0,0,,RPPNMLTLNHLGFDJ76CC,整棟(戶)出租,有,1150525~1160524,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
湖口鄉,租賃房屋,新竹縣湖口鄉榮光一路１６８號,0.0,,,,1150526,土地0建物0車位0,全,4,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1040821,20.26,9,0,10,有,無,有,6000,296,,0.0,0,續租案件；,RPQNMLTLNHLGFDJ86CC,分租套房,無,1150527~1160526,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
湖口鄉,租賃房屋,新竹縣湖口鄉榮光一路１７８巷１２號,0.0,,,,1150527,土地0建物0車位0,全,4,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1040821,20.26,9,0,10,有,無,有,5500,271,,0.0,0,續租案件；,RPRNMLTLNHLGFDJ96CC,分租套房,無,1150528~1160327,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
竹北市,租賃房屋,新竹縣竹北市復興七路５號,0.0,,,,1150531,土地0建物0車位0,全,4,透天厝,住商用,鋼筋混凝土造,0960412,24.8,7,0,7,有,無,有,13000,524,,0.0,0,租金總額含水費；瓦斯費；網路費；續租案件；,RPQNMLLJOHLGFBJ38CC,分租套房,無,1150610~1160609,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,一般轉租
湖口鄉,租賃房屋,新竹縣湖口鄉榮光一路１７８巷３號,0.0,,,,1150522,土地0建物0車位0,全,4,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1040821,19.99,9,0,10,有,有,有,5500,275,,0.0,0,續租案件；,RPPNMLLJOHLGFDJ48CC,分租套房,無,1150521~1160520,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般代管
